,users,values,time,fails,response_time_50,response_time_95
0,1,0.0,11:40:01,0.0,0.0,0.0
1,11,32.0,11:40:06,32.0,5.0,9.0
2,26,940.375,11:40:11,940.375,10.0,19.0
3,41,1133.9,11:40:16,1133.9,19.0,26.0
4,56,1283.1,11:40:21,1283.1,29.0,41.0
5,71,1281.9,11:40:26,1281.9,40.0,55.0
6,86,1279.1,11:40:31,1279.1,51.0,64.0
7,96,1280.5,11:40:36,1280.5,63.0,76.0
8,112,1274.3,11:40:41,1274.3,74.0,92.0
9,126,1265.3,11:40:46,1265.3,86.0,100.0
10,141,1264.1,11:40:51,1264.1,98.0,110.0
11,151,1250.9,11:40:56,1250.9,110.0,130.0
12,151,1240.9,11:41:01,1240.9,120.0,140.0
