"Time","CPU","Memory"
2021-06-20T11:48:00.788,1063897136,9150464
2021-06-20T11:48:01.793,2257285087,42184704
2021-06-20T11:48:02.798,2874868081,42127360
2021-06-20T11:48:03.803,2880679042,42119168
2021-06-20T11:48:04.808,2886112111,42139648
2021-06-20T11:48:05.812,2891881702,42164224
2021-06-20T11:48:06.817,2897707021,42156032
2021-06-20T11:48:07.821,2903427535,42172416
2021-06-20T11:48:08.826,2909050483,42168320
2021-06-20T11:48:09.831,2914658460,42180608
2021-06-20T11:48:10.835,2920405104,42196992
2021-06-20T11:48:11.840,2925961649,42196992
2021-06-20T11:48:12.845,2931563761,42209280
2021-06-20T11:48:13.849,2937491308,42217472
2021-06-20T11:48:14.854,2943184153,42213376
2021-06-20T11:48:15.859,2948818355,42225664
2021-06-20T11:48:16.863,2954862310,42242048
2021-06-20T11:48:17.868,2960415648,42266624
2021-06-20T11:48:18.872,2965981611,42262528
2021-06-20T11:48:19.877,2971655908,42229760
2021-06-20T11:48:20.882,2977127382,42250240
2021-06-20T11:48:21.886,2982977532,42233856
2021-06-20T11:48:22.891,2988594102,42266624
2021-06-20T11:48:23.895,2994396610,42246144
2021-06-20T11:48:24.900,3000220285,42205184
2021-06-20T11:48:25.906,3005937108,42221568
2021-06-20T11:48:26.910,3011723913,42217472
2021-06-20T11:48:27.915,3017479105,42242048
2021-06-20T11:48:28.920,3023027177,42254336
2021-06-20T11:48:29.925,3028487678,42233856
2021-06-20T11:48:30.930,3033934913,42250240
2021-06-20T11:48:31.935,3039743432,42250240
2021-06-20T11:48:32.940,3045210498,42266624
2021-06-20T11:48:33.946,3050786133,42250240
2021-06-20T11:48:34.964,3056789527,42229760
2021-06-20T11:48:35.970,3069899361,42872832
2021-06-20T11:48:36.982,3470063755,37068800
2021-06-20T11:48:37.990,4592116176,37789696
2021-06-20T11:48:38.996,5735557837,38596608
2021-06-20T11:48:40.012,6891070397,39612416
2021-06-20T11:48:41.022,8041982194,39829504
2021-06-20T11:48:42.031,9192749889,40226816
2021-06-20T11:48:43.040,10370493452,40456192
2021-06-20T11:48:44.049,11531538746,40415232
2021-06-20T11:48:45.060,12667861373,40554496
2021-06-20T11:48:46.067,13805244355,40988672
2021-06-20T11:48:47.072,14915100042,41336832
2021-06-20T11:48:48.077,16038840672,43253760
2021-06-20T11:48:49.085,17155865737,43388928
2021-06-20T11:48:50.090,18267616987,43442176
2021-06-20T11:48:51.102,19380397165,43421696
2021-06-20T11:48:52.108,20491510052,43425792
2021-06-20T11:48:53.114,21609142784,43606016
2021-06-20T11:48:54.122,22727121289,43782144
2021-06-20T11:48:55.171,23835671369,43352064
2021-06-20T11:48:56.176,24947211838,43552768
2021-06-20T11:48:57.183,26050123336,43667456
2021-06-20T11:48:58.189,27161378281,43720704
2021-06-20T11:48:59.197,28271312892,43941888
2021-06-20T11:49:00.322,29511511111,43925504
2021-06-20T11:49:01.330,30627248408,44326912
2021-06-20T11:49:02.342,31751621758,44535808
2021-06-20T11:49:03.350,32872263660,44675072
2021-06-20T11:49:04.361,33972135501,44556288
2021-06-20T11:49:05.367,35085335368,44589056
2021-06-20T11:49:06.374,36191766972,44916736
2021-06-20T11:49:07.379,37299898449,45121536
2021-06-20T11:49:08.390,38353192331,45195264
2021-06-20T11:49:09.396,39464744293,45936640
2021-06-20T11:49:10.435,40609193535,45920256
2021-06-20T11:49:11.443,41719262122,45944832
2021-06-20T11:49:12.451,42823077897,46157824
2021-06-20T11:49:13.458,43939446306,46530560
2021-06-20T11:49:14.464,45046677065,46665728
2021-06-20T11:49:15.473,46166022552,46993408
2021-06-20T11:49:16.480,47268693420,47034368
2021-06-20T11:49:17.485,48387751072,47370240
2021-06-20T11:49:18.494,49487682048,47464448
2021-06-20T11:49:19.500,50608749245,47677440
2021-06-20T11:49:20.519,51730136641,47656960
2021-06-20T11:49:21.526,52819074566,48189440
2021-06-20T11:49:22.541,53925858554,48283648
2021-06-20T11:49:23.550,55047026194,48775168
2021-06-20T11:49:24.557,56155530163,48762880
2021-06-20T11:49:25.575,57276818849,48857088
2021-06-20T11:49:26.585,58381246195,48988160
2021-06-20T11:49:27.593,59495877570,49709056
2021-06-20T11:49:28.606,60613963250,49758208
2021-06-20T11:49:29.615,61705877586,50069504
2021-06-20T11:49:30.628,62809540929,49987584
