"Time","CPU","Memory"
2021-06-20T12:28:06.592,350791663,39170048
2021-06-20T12:28:07.597,391971027,40939520
2021-06-20T12:28:08.602,398130129,40833024
2021-06-20T12:28:09.608,404326417,40841216
2021-06-20T12:28:10.613,410545213,40845312
2021-06-20T12:28:11.618,416798201,40845312
2021-06-20T12:28:12.623,422930115,40865792
2021-06-20T12:28:13.629,429148985,40873984
2021-06-20T12:28:14.634,435425435,40894464
2021-06-20T12:28:15.640,441568687,40890368
2021-06-20T12:28:16.645,447822380,40906752
2021-06-20T12:28:17.650,453936033,40890368
2021-06-20T12:28:18.656,460581453,40869888
2021-06-20T12:28:19.661,466913671,40869888
2021-06-20T12:28:20.666,473026701,40886272
2021-06-20T12:28:21.672,479403865,40902656
2021-06-20T12:28:22.677,485730086,40882176
2021-06-20T12:28:23.682,492015493,40878080
2021-06-20T12:28:24.689,498190261,40886272
2021-06-20T12:28:25.694,504342728,40906752
2021-06-20T12:28:26.804,510905108,40902656
2021-06-20T12:28:27.809,517105715,40902656
2021-06-20T12:28:28.814,523336943,40906752
2021-06-20T12:28:29.819,529709070,40890368
2021-06-20T12:28:30.825,535974778,40873984
2021-06-20T12:28:31.837,541871436,40906752
2021-06-20T12:28:32.843,548024156,40931328
2021-06-20T12:28:33.849,553986155,40931328
2021-06-20T12:28:34.854,560222901,40931328
2021-06-20T12:28:35.859,566575657,40947712
2021-06-20T12:28:36.864,572749665,40943616
2021-06-20T12:28:37.870,578903439,40964096
2021-06-20T12:28:38.875,585057255,40968192
2021-06-20T12:28:39.880,591293250,40947712
2021-06-20T12:28:40.885,597553021,40955904
2021-06-20T12:28:41.891,603721758,40968192
2021-06-20T12:28:42.896,609942203,40972288
2021-06-20T12:28:43.901,616106493,40968192
2021-06-20T12:28:44.906,622318186,40960000
2021-06-20T12:28:45.911,628633761,40972288
2021-06-20T12:28:46.916,634724859,40960000
2021-06-20T12:28:47.922,640925759,40980480
2021-06-20T12:28:48.927,647171190,40980480
2021-06-20T12:28:49.932,653329077,40964096
2021-06-20T12:28:50.937,659556309,40964096
2021-06-20T12:28:51.943,665760771,40984576
2021-06-20T12:28:52.948,672026481,41000960
2021-06-20T12:28:53.953,678191329,40980480
2021-06-20T12:28:54.958,684418746,40984576
2021-06-20T12:28:55.963,690619681,40964096
2021-06-20T12:28:56.969,696850150,41005056
2021-06-20T12:28:57.974,702974686,40976384
2021-06-20T12:28:58.979,709339940,40984576
2021-06-20T12:28:59.984,715407191,40960000
2021-06-20T12:29:00.989,721530950,40960000
2021-06-20T12:29:01.995,727727816,40960000
2021-06-20T12:29:03.000,734097842,40980480
2021-06-20T12:29:04.005,740261226,40972288
2021-06-20T12:29:05.011,746429951,40984576
2021-06-20T12:29:06.016,752957157,40984576
2021-06-20T12:29:07.025,759520086,41005056
2021-06-20T12:29:08.031,765642063,41005056
2021-06-20T12:29:09.037,772001410,41025536
2021-06-20T12:29:10.043,778630709,41054208
2021-06-20T12:29:11.050,785035822,41070592
2021-06-20T12:29:12.056,791108591,41066496
2021-06-20T12:29:13.066,797343614,41070592
2021-06-20T12:29:14.072,803790212,41066496
2021-06-20T12:29:15.078,810106508,41062400
2021-06-20T12:29:16.084,816216788,41091072
2021-06-20T12:29:17.090,822365080,41091072
2021-06-20T12:29:18.097,828666367,41095168
2021-06-20T12:29:19.103,834878756,41095168
2021-06-20T12:29:20.109,841156811,41111552
2021-06-20T12:29:21.115,847371679,41115648
2021-06-20T12:29:22.122,853848007,41078784
2021-06-20T12:29:23.128,860183212,41074688
2021-06-20T12:29:24.135,866433094,41058304
2021-06-20T12:29:25.141,873038767,41078784
2021-06-20T12:29:26.147,879294890,41078784
2021-06-20T12:29:27.168,885946988,41058304
2021-06-20T12:29:28.174,892075705,41058304
2021-06-20T12:29:29.181,898685784,41058304
2021-06-20T12:29:30.187,905086435,41062400
2021-06-20T12:29:31.193,911628265,41058304
2021-06-20T12:29:32.200,918246450,41062400
2021-06-20T12:29:33.210,924605912,41078784
2021-06-20T12:29:34.216,931095499,41062400
2021-06-20T12:29:35.222,937348001,41074688
2021-06-20T12:29:36.228,943967182,41078784
2021-06-20T12:29:37.237,950047691,41062400
2021-06-20T12:29:38.243,956545934,41041920
2021-06-20T12:29:39.249,963149760,41078784
2021-06-20T12:29:40.256,969712080,41082880
2021-06-20T12:29:41.262,976113428,41082880
2021-06-20T12:29:42.272,982366892,41074688
2021-06-20T12:29:43.278,988837299,41086976
2021-06-20T12:29:44.286,995262092,40980480
2021-06-20T12:29:45.292,1001634539,40984576
2021-06-20T12:29:46.302,1008236007,40980480
2021-06-20T12:29:47.308,1014543253,41000960
2021-06-20T12:29:48.317,1021253392,40992768
2021-06-20T12:29:49.323,1027675796,40996864
