"Time","CPU","Memory"
2021-06-20T12:28:31.677,1066973306,9097216
2021-06-20T12:28:32.682,2243927988,42217472
2021-06-20T12:28:33.687,2891958885,42266624
2021-06-20T12:28:34.692,2897869699,42225664
2021-06-20T12:28:35.697,2903644767,42225664
2021-06-20T12:28:36.702,2909320360,42221568
2021-06-20T12:28:37.708,2915405266,42229760
2021-06-20T12:28:38.715,2921083352,42217472
2021-06-20T12:28:39.719,2926839395,42217472
2021-06-20T12:28:40.724,2932620388,42217472
2021-06-20T12:28:41.728,2938467136,42221568
2021-06-20T12:28:42.734,2944037382,42217472
2021-06-20T12:28:43.739,2949712389,42237952
2021-06-20T12:28:44.744,2955655702,42242048
2021-06-20T12:28:45.748,2961491893,42237952
2021-06-20T12:28:46.755,2967197756,42242048
2021-06-20T12:28:47.760,2973218179,42262528
2021-06-20T12:28:48.765,2978905713,42266624
2021-06-20T12:28:49.769,2984754127,42254336
2021-06-20T12:28:50.774,2990425490,42262528
2021-06-20T12:28:51.779,2996137211,42274816
2021-06-20T12:28:52.783,3002069537,42278912
2021-06-20T12:28:53.788,3007946529,42283008
2021-06-20T12:28:54.793,3013789028,42262528
2021-06-20T12:28:55.798,3019730445,42266624
2021-06-20T12:28:56.814,3025679028,42262528
2021-06-20T12:28:57.818,3031552012,42283008
2021-06-20T12:28:58.823,3037428522,42418176
2021-06-20T12:28:59.828,3043018904,42254336
2021-06-20T12:29:00.832,3048541986,42250240
2021-06-20T12:29:01.837,3054132887,42278912
2021-06-20T12:29:02.842,3060236443,42266624
2021-06-20T12:29:03.847,3075638779,43032576
2021-06-20T12:29:04.852,3623848960,37818368
2021-06-20T12:29:05.861,4656605585,38612992
2021-06-20T12:29:06.916,5842928904,40075264
2021-06-20T12:29:07.926,6989157322,40153088
2021-06-20T12:29:08.932,8149864408,40357888
2021-06-20T12:29:09.941,9284510793,40685568
2021-06-20T12:29:10.956,10439239219,41742336
2021-06-20T12:29:11.962,11588100456,42209280
2021-06-20T12:29:12.968,12720767416,42471424
2021-06-20T12:29:13.973,13829512804,42418176
2021-06-20T12:29:14.980,14948525547,42475520
2021-06-20T12:29:15.986,16063321361,42733568
2021-06-20T12:29:17.000,17171532858,43200512
2021-06-20T12:29:18.006,18289579574,43356160
2021-06-20T12:29:19.011,19409349588,43429888
2021-06-20T12:29:20.019,20521193069,43524096
2021-06-20T12:29:21.025,21638286641,44056576
2021-06-20T12:29:22.031,22752200523,44285952
2021-06-20T12:29:23.037,23865366305,44748800
2021-06-20T12:29:24.042,24981871295,44912640
2021-06-20T12:29:25.050,26094884356,44797952
2021-06-20T12:29:26.056,27206900491,45424640
2021-06-20T12:29:27.063,28311385517,45678592
2021-06-20T12:29:28.069,29429995073,45867008
2021-06-20T12:29:29.076,30540852021,45924352
2021-06-20T12:29:30.082,31638580743,46301184
2021-06-20T12:29:31.088,32754992514,46809088
2021-06-20T12:29:32.093,33866162787,46628864
2021-06-20T12:29:33.099,34982913219,46858240
2021-06-20T12:29:34.106,36089787213,47124480
2021-06-20T12:29:35.113,37198464729,47521792
2021-06-20T12:29:36.118,38310008102,47566848
2021-06-20T12:29:37.124,39424378179,48132096
2021-06-20T12:29:38.129,40530038181,48361472
2021-06-20T12:29:39.138,41641865721,48390144
2021-06-20T12:29:40.145,42760268575,48525312
2021-06-20T12:29:41.151,43877368888,49106944
2021-06-20T12:29:42.157,44986490487,49090560
2021-06-20T12:29:43.163,46100543104,49254400
2021-06-20T12:29:44.170,47210756550,49807360
2021-06-20T12:29:45.176,48321073195,49942528
2021-06-20T12:29:46.181,49429294706,50135040
2021-06-20T12:29:47.188,50536733339,50266112
2021-06-20T12:29:48.210,51635154004,50520064
2021-06-20T12:29:49.217,52749480730,50774016
2021-06-20T12:29:50.224,53845807101,50675712
