"Time","CPU","Memory"
2021-06-20T12:35:35.294,363903095,39395328
2021-06-20T12:35:36.300,390342700,40288256
2021-06-20T12:35:37.306,396678242,40255488
2021-06-20T12:35:38.311,402964256,40275968
2021-06-20T12:35:39.316,409241116,40259584
2021-06-20T12:35:40.321,415427910,40259584
2021-06-20T12:35:41.326,421563455,40263680
2021-06-20T12:35:42.332,427829410,40259584
2021-06-20T12:35:43.337,433977249,40280064
2021-06-20T12:35:44.342,440079626,40259584
2021-06-20T12:35:45.347,446419982,40263680
2021-06-20T12:35:46.352,452568939,40247296
2021-06-20T12:35:47.358,458859173,40247296
2021-06-20T12:35:48.363,465472674,40235008
2021-06-20T12:35:49.368,471702625,40247296
2021-06-20T12:35:50.373,478085449,40243200
2021-06-20T12:35:51.378,484167337,40255488
2021-06-20T12:35:52.526,490677935,40259584
2021-06-20T12:35:53.532,496903765,40259584
2021-06-20T12:35:54.537,503171746,40394752
2021-06-20T12:35:55.542,509497311,40267776
2021-06-20T12:35:56.547,515685682,40267776
2021-06-20T12:35:57.580,522125262,40271872
2021-06-20T12:35:58.585,528273274,40284160
2021-06-20T12:35:59.590,534623051,40267776
2021-06-20T12:36:00.595,540984835,40263680
2021-06-20T12:36:01.601,547354752,40267776
2021-06-20T12:36:02.606,553506981,40275968
2021-06-20T12:36:03.611,559748100,40267776
2021-06-20T12:36:04.616,566081569,40288256
2021-06-20T12:36:05.622,572352060,40267776
2021-06-20T12:36:06.627,578637819,40284160
2021-06-20T12:36:07.632,584961861,40296448
2021-06-20T12:36:08.637,591225579,40316928
2021-06-20T12:36:09.642,597462794,40300544
2021-06-20T12:36:10.647,603796100,40312832
2021-06-20T12:36:11.652,609910657,40284160
2021-06-20T12:36:12.657,616099446,40284160
2021-06-20T12:36:13.662,622206087,40280064
2021-06-20T12:36:14.668,628506674,40284160
2021-06-20T12:36:15.673,634680721,40316928
2021-06-20T12:36:16.678,640848000,40325120
2021-06-20T12:36:17.683,647017232,40341504
2021-06-20T12:36:18.688,653247238,40374272
2021-06-20T12:36:19.693,659440460,40275968
2021-06-20T12:36:20.698,665784411,40288256
2021-06-20T12:36:21.703,672167968,40280064
2021-06-20T12:36:22.708,678225224,40255488
2021-06-20T12:36:23.713,684413875,40259584
2021-06-20T12:36:24.719,690651894,40280064
2021-06-20T12:36:25.725,696930098,40271872
2021-06-20T12:36:26.731,705036358,40263680
