"Time","CPU","Memory"
2021-06-20T12:36:33.972,1068862790,9129984
2021-06-20T12:36:34.977,2253563067,42233856
2021-06-20T12:36:35.982,2858392721,42192896
2021-06-20T12:36:36.986,2864022130,42225664
2021-06-20T12:36:37.991,2869735963,42250240
2021-06-20T12:36:38.996,2875242028,42233856
2021-06-20T12:36:40.000,2881014875,42274816
2021-06-20T12:36:41.005,2886756638,42278912
2021-06-20T12:36:42.010,2892514481,42283008
2021-06-20T12:36:43.014,2898321509,42274816
2021-06-20T12:36:44.019,2904015838,42287104
2021-06-20T12:36:45.023,2909569641,42311680
2021-06-20T12:36:46.028,2915260427,42319872
2021-06-20T12:36:47.033,2921240417,42393600
2021-06-20T12:36:48.037,2926936866,42381312
2021-06-20T12:36:49.042,2932537513,42401792
2021-06-20T12:36:50.047,2938628647,42389504
2021-06-20T12:36:51.051,2944327737,42389504
2021-06-20T12:36:52.056,2950037059,42373120
2021-06-20T12:36:53.061,2955997663,42385408
2021-06-20T12:36:54.066,2961526380,42381312
2021-06-20T12:36:55.070,2967668294,42377216
2021-06-20T12:36:56.075,2973464041,42381312
2021-06-20T12:36:57.080,2979168898,42381312
2021-06-20T12:36:58.085,2985075084,42401792
2021-06-20T12:36:59.089,2990883267,42409984
2021-06-20T12:37:00.094,2996607256,42348544
2021-06-20T12:37:01.099,3002267466,42352640
2021-06-20T12:37:02.104,3013340167,42893312
2021-06-20T12:37:03.109,3024770330,43122688
2021-06-20T12:37:04.114,4125040588,37871616
2021-06-20T12:37:05.121,5265344753,39387136
2021-06-20T12:37:06.194,6490107027,39706624
2021-06-20T12:37:07.200,7658721387,40960000
2021-06-20T12:37:08.206,8829953413,40886272
2021-06-20T12:37:09.213,9985811584,41136128
2021-06-20T12:37:10.220,11113036572,41402368
2021-06-20T12:37:11.227,12052510049,41615360
2021-06-20T12:37:12.234,13175224970,42450944
2021-06-20T12:37:13.240,14290978872,42881024
2021-06-20T12:37:14.245,15409278550,43020288
2021-06-20T12:37:15.251,16524876465,43216896
2021-06-20T12:37:16.260,17635408829,43290624
2021-06-20T12:37:17.265,18756894443,43556864
2021-06-20T12:37:18.272,19873198682,43536384
2021-06-20T12:37:19.278,20981431307,43761664
2021-06-20T12:37:20.284,22094655158,44421120
2021-06-20T12:37:21.290,23201882255,44408832
2021-06-20T12:37:22.296,24308655982,44675072
2021-06-20T12:37:23.303,25415266762,44716032
2021-06-20T12:37:24.309,26524470020,44789760
2021-06-20T12:37:25.315,27631927376,44929024
2021-06-20T12:37:26.322,28741566082,45244416
2021-06-20T12:37:27.327,29860204850,45244416
2021-06-20T12:37:28.334,30965773208,45633536
2021-06-20T12:37:29.339,32084430420,45703168
2021-06-20T12:37:30.344,33200581625,46125056
2021-06-20T12:37:31.350,34309333632,46252032
2021-06-20T12:37:32.360,35393680905,46669824
2021-06-20T12:37:33.365,36510200796,46678016
2021-06-20T12:37:34.371,37617288128,46600192
2021-06-20T12:37:35.377,38717006543,47349760
2021-06-20T12:37:36.384,39825185419,48033792
2021-06-20T12:37:37.390,40936039008,48062464
2021-06-20T12:37:38.412,42072148731,48111616
2021-06-20T12:37:39.419,43182211650,48201728
2021-06-20T12:37:40.424,44285050159,48513024
2021-06-20T12:37:41.432,45386746595,48619520
2021-06-20T12:37:42.439,46484087014,48951296
2021-06-20T12:37:43.444,47594488883,48988160
2021-06-20T12:37:44.450,48701831072,48812032
2021-06-20T12:37:45.456,49811667687,49717248
2021-06-20T12:37:46.468,50922017733,49844224
2021-06-20T12:37:47.476,52050195002,50147328
2021-06-20T12:37:48.496,53179905284,50270208
2021-06-20T12:37:49.508,54289279639,50266112
2021-06-20T12:37:50.516,55375789030,50348032
2021-06-20T12:37:51.530,56449661366,50434048
