"Time","CPU","Memory"
2021-06-20T12:42:30.168,1067460964,9199616
2021-06-20T12:42:31.174,2238658063,42233856
2021-06-20T12:42:32.179,2873911490,42209280
2021-06-20T12:42:33.183,2879591487,42201088
2021-06-20T12:42:34.188,2885430231,42225664
2021-06-20T12:42:35.193,2891139840,42209280
2021-06-20T12:42:36.198,2897102727,42242048
2021-06-20T12:42:37.202,2902858475,42250240
2021-06-20T12:42:38.207,2908649189,42258432
2021-06-20T12:42:39.212,2914596164,42291200
2021-06-20T12:42:40.217,2920473388,42295296
2021-06-20T12:42:41.222,2926304987,42295296
2021-06-20T12:42:42.226,2932050209,42295296
2021-06-20T12:42:43.231,2938285552,42319872
2021-06-20T12:42:44.236,2944060748,42332160
2021-06-20T12:42:45.241,2949767411,42319872
2021-06-20T12:42:46.245,2955719752,42311680
2021-06-20T12:42:47.250,2961488035,42319872
2021-06-20T12:42:48.255,2967243208,42315776
2021-06-20T12:42:49.259,2973087765,42319872
2021-06-20T12:42:50.264,2978443788,42323968
2021-06-20T12:42:51.269,2984561185,42360832
2021-06-20T12:42:52.274,2990381607,42373120
2021-06-20T12:42:53.279,2995957938,42356736
2021-06-20T12:42:54.283,3001743155,42364928
2021-06-20T12:42:55.288,3007589677,42364928
2021-06-20T12:42:56.293,3013320280,42389504
2021-06-20T12:42:57.298,3018909983,42377216
2021-06-20T12:42:58.302,3024714364,42373120
2021-06-20T12:42:59.307,3030282960,42373120
2021-06-20T12:43:00.311,3043482284,43012096
2021-06-20T12:43:01.317,3684413234,38068224
2021-06-20T12:43:02.327,4820349652,38490112
2021-06-20T12:43:03.333,5966225513,39321600
2021-06-20T12:43:04.338,7109281712,40308736
2021-06-20T12:43:05.345,8255833140,40185856
2021-06-20T12:43:06.354,9419995762,40849408
2021-06-20T12:43:07.361,10572341918,41328640
2021-06-20T12:43:08.368,11705945662,41713664
2021-06-20T12:43:09.373,12830802140,41926656
2021-06-20T12:43:10.379,13960850630,42442752
2021-06-20T12:43:11.389,15082408162,42745856
2021-06-20T12:43:12.395,16201426772,42921984
2021-06-20T12:43:13.402,17314283705,42819584
2021-06-20T12:43:14.410,18429399632,43184128
2021-06-20T12:43:15.416,19543517662,43208704
2021-06-20T12:43:16.424,20663662693,43216896
2021-06-20T12:43:17.431,21777981590,43282432
2021-06-20T12:43:18.436,22891890749,43859968
2021-06-20T12:43:19.442,24000154598,44019712
2021-06-20T12:43:20.448,25103474694,44257280
2021-06-20T12:43:21.458,26217906139,44785664
2021-06-20T12:43:22.465,27333489383,44756992
2021-06-20T12:43:23.472,28451536920,45191168
2021-06-20T12:43:24.479,29562197965,45232128
2021-06-20T12:43:25.484,30674236337,45178880
2021-06-20T12:43:26.490,31783012721,45178880
2021-06-20T12:43:27.495,32895423870,45465600
2021-06-20T12:43:28.503,34005416251,45543424
2021-06-20T12:43:29.509,35122979532,45817856
2021-06-20T12:43:30.518,36224329220,45891584
2021-06-20T12:43:31.525,37345936768,46714880
2021-06-20T12:43:32.530,38449478940,46747648
2021-06-20T12:43:33.535,39566044100,46891008
2021-06-20T12:43:34.543,40675385579,46903296
2021-06-20T12:43:35.549,41788972606,46964736
2021-06-20T12:43:36.557,42907031484,47190016
2021-06-20T12:43:37.564,44017999892,47198208
2021-06-20T12:43:38.569,45119313514,47648768
2021-06-20T12:43:39.575,46229392970,48046080
2021-06-20T12:43:40.585,47342142792,48259072
2021-06-20T12:43:41.592,48455217205,48177152
2021-06-20T12:43:42.598,49574950676,48766976
2021-06-20T12:43:43.604,50690857383,49029120
2021-06-20T12:43:44.613,51810574890,48910336
2021-06-20T12:43:45.621,52915896361,49582080
2021-06-20T12:43:46.631,54027104665,49782784
2021-06-20T12:43:47.636,55145939632,49766400
2021-06-20T12:43:48.644,56255796496,50163712
2021-06-20T12:43:49.660,57367949620,49926144
2021-06-20T12:43:50.674,58453510378,50552832
2021-06-20T12:43:51.687,59567040792,50745344
