"Time","CPU","Memory"
2021-06-20T13:07:53.311,125649406,29618176
2021-06-20T13:07:54.316,170967914,35581952
2021-06-20T13:07:55.391,281647752,51351552
2021-06-20T13:07:56.397,368265377,62644224
2021-06-20T13:07:57.401,373756608,62574592
2021-06-20T13:07:58.406,379073804,62574592
2021-06-20T13:07:59.411,384458853,62578688
2021-06-20T13:08:00.416,389818096,62590976
2021-06-20T13:08:01.420,395249209,62599168
2021-06-20T13:08:02.425,400711103,62611456
2021-06-20T13:08:03.430,406051838,62599168
2021-06-20T13:08:04.435,411461856,62582784
2021-06-20T13:08:05.440,416961840,62599168
2021-06-20T13:08:06.445,422494146,62599168
2021-06-20T13:08:07.449,428118479,62595072
2021-06-20T13:08:08.454,433547298,62595072
2021-06-20T13:08:09.459,439006097,62574592
2021-06-20T13:08:10.464,444449553,62582784
2021-06-20T13:08:11.469,449785948,62590976
2021-06-20T13:08:12.475,455187351,62619648
2021-06-20T13:08:13.501,460874476,62599168
2021-06-20T13:08:14.505,466248188,62578688
2021-06-20T13:08:15.511,471616931,62603264
2021-06-20T13:08:16.515,477064092,62586880
2021-06-20T13:08:17.520,482500758,62578688
2021-06-20T13:08:18.525,487950059,62586880
2021-06-20T13:08:19.529,493331858,62603264
2021-06-20T13:08:20.534,498818027,62599168
2021-06-20T13:08:21.539,504216459,62533632
2021-06-20T13:08:22.545,509698277,62537728
2021-06-20T13:08:23.549,515101646,62550016
2021-06-20T13:08:24.554,520543095,62517248
2021-06-20T13:08:25.559,526105825,62537728
2021-06-20T13:08:26.563,531405734,62545920
2021-06-20T13:08:27.568,536794053,62550016
2021-06-20T13:08:28.573,542209051,62533632
2021-06-20T13:08:29.578,547754185,62586880
2021-06-20T13:08:30.583,553257163,62599168
2021-06-20T13:08:31.588,558684365,62595072
2021-06-20T13:08:32.592,564303917,62599168
2021-06-20T13:08:33.597,569770201,62590976
2021-06-20T13:08:34.602,575254636,62590976
2021-06-20T13:08:35.607,580623297,62611456
2021-06-20T13:08:36.611,586134719,62619648
2021-06-20T13:08:37.616,591509904,62603264
2021-06-20T13:08:38.621,596940858,62607360
2021-06-20T13:08:39.625,602489468,62623744
2021-06-20T13:08:40.630,607780733,62590976
