"Time","CPU","Memory"
2021-06-20T13:09:31.917,393378737,18829312
2021-06-20T13:09:32.928,1521380659,34619392
2021-06-20T13:09:33.934,2678014799,59060224
2021-06-20T13:09:34.939,2905935733,59101184
2021-06-20T13:09:35.943,2911401328,59088896
2021-06-20T13:09:36.948,2917163895,59109376
2021-06-20T13:09:37.953,2922633712,59125760
2021-06-20T13:09:38.957,2928486225,59117568
2021-06-20T13:09:39.962,2934232849,59138048
2021-06-20T13:09:40.967,2939963321,59138048
2021-06-20T13:09:41.971,2945603310,59113472
2021-06-20T13:09:42.976,2951473134,59133952
2021-06-20T13:09:43.981,2957284953,59142144
2021-06-20T13:09:44.985,2962721374,59158528
2021-06-20T13:09:45.990,2968951257,59183104
2021-06-20T13:09:46.995,2974592870,59179008
2021-06-20T13:09:47.999,2980306037,59199488
2021-06-20T13:09:49.004,2986388104,59203584
2021-06-20T13:09:50.009,2992113588,59203584
2021-06-20T13:09:51.014,2997838043,59203584
2021-06-20T13:09:52.018,3003688669,59199488
2021-06-20T13:09:53.023,3009260908,59228160
2021-06-20T13:09:54.028,3015158855,59219968
2021-06-20T13:09:55.033,3020940384,59203584
2021-06-20T13:09:56.037,3026773702,59228160
2021-06-20T13:09:57.042,3032637285,59228160
2021-06-20T13:09:58.047,3038428626,59244544
2021-06-20T13:09:59.051,3044336551,59256832
2021-06-20T13:10:00.056,3049923673,59269120
2021-06-20T13:10:01.061,3055692482,59260928
2021-06-20T13:10:02.066,3061570375,59256832
2021-06-20T13:10:03.070,3067388361,59256832
2021-06-20T13:10:04.075,3073605693,59236352
2021-06-20T13:10:05.080,3079390275,59256832
2021-06-20T13:10:06.084,3084912044,59269120
2021-06-20T13:10:07.089,3090683161,59269120
2021-06-20T13:10:08.094,3104676567,59985920
2021-06-20T13:10:09.099,3300807073,54808576
2021-06-20T13:10:10.106,4425508782,55635968
2021-06-20T13:10:11.113,5569026967,56692736
2021-06-20T13:10:12.129,6728931235,57561088
2021-06-20T13:10:13.137,7884396388,57802752
2021-06-20T13:10:14.145,9043645563,58163200
2021-06-20T13:10:15.151,10167129726,59084800
2021-06-20T13:10:16.157,11298495560,59146240
2021-06-20T13:10:17.172,12426167644,59748352
2021-06-20T13:10:18.177,13534590030,59928576
2021-06-20T13:10:19.183,14642825282,59924480
2021-06-20T13:10:20.190,15757499983,60325888
2021-06-20T13:10:21.196,16876169779,60354560
2021-06-20T13:10:22.212,17982860907,61145088
2021-06-20T13:10:23.217,19091371687,61394944
2021-06-20T13:10:24.223,20199702943,61509632
2021-06-20T13:10:25.228,21311221275,61652992
2021-06-20T13:10:26.238,22423242945,61800448
2021-06-20T13:10:27.245,23546482920,61882368
2021-06-20T13:10:28.255,24656034406,62091264
2021-06-20T13:10:29.261,25762694256,62578688
2021-06-20T13:10:30.270,26869319534,62545920
2021-06-20T13:10:31.275,27989463544,62869504
2021-06-20T13:10:32.283,29101550482,63115264
2021-06-20T13:10:33.289,30214394729,63238144
2021-06-20T13:10:34.297,31321988162,63496192
2021-06-20T13:10:35.304,32433646994,63954944
2021-06-20T13:10:36.311,33548727341,64045056
2021-06-20T13:10:37.317,34667381450,64217088
2021-06-20T13:10:38.323,35770818426,64585728
2021-06-20T13:10:39.330,36874950824,64716800
2021-06-20T13:10:40.337,37969291926,64847872
2021-06-20T13:10:41.344,39078739588,65171456
2021-06-20T13:10:42.349,40192947312,65564672
2021-06-20T13:10:43.355,41310647918,66015232
2021-06-20T13:10:44.361,42409258503,66113536
2021-06-20T13:10:45.367,43509085724,66084864
2021-06-20T13:10:46.372,44621608386,66641920
2021-06-20T13:10:47.379,45732118461,66617344
2021-06-20T13:10:48.386,46845459732,66961408
2021-06-20T13:10:49.392,47965540442,67551232
2021-06-20T13:10:50.398,49057833569,67764224
2021-06-20T13:10:51.405,50154213610,67756032
2021-06-20T13:10:52.411,51231848570,68136960
