"Time","CPU","Memory"
2021-06-18T13:40:05.898,182356222,16785408
2021-06-18T13:40:06.994,290547976,28798976
2021-06-18T13:40:08.101,326281442,32681984
2021-06-18T13:40:09.105,331748526,32727040
2021-06-18T13:40:10.110,337142668,32735232
2021-06-18T13:40:11.115,342440913,32735232
2021-06-18T13:40:12.120,347771553,32747520
2021-06-18T13:40:13.125,353032031,32772096
2021-06-18T13:40:14.130,358220577,32772096
2021-06-18T13:40:15.135,363330586,32780288
2021-06-18T13:40:16.140,368652285,32792576
2021-06-18T13:40:17.145,374069844,32796672
2021-06-18T13:40:18.149,379571732,32800768
2021-06-18T13:40:19.154,384942775,32796672
2021-06-18T13:40:20.159,390220803,32776192
2021-06-18T13:40:21.164,395627490,32780288
2021-06-18T13:40:22.168,400937462,32788480
2021-06-18T13:40:23.173,406265721,32821248
2021-06-18T13:40:24.178,411584785,32768000
2021-06-18T13:40:25.183,416992284,32784384
2021-06-18T13:40:26.187,422473073,32776192
2021-06-18T13:40:27.192,427797491,32784384
2021-06-18T13:40:28.197,433241679,32804864
2021-06-18T13:40:29.202,438572743,32804864
2021-06-18T13:40:30.206,443977082,32808960
2021-06-18T13:40:31.211,449203923,32808960
2021-06-18T13:40:32.216,454399459,32808960
2021-06-18T13:40:33.220,459802812,32849920
2021-06-18T13:40:34.225,465033580,32833536
2021-06-18T13:40:35.230,470339775,32829440
2021-06-18T13:40:36.234,475680972,32829440
2021-06-18T13:40:37.239,481046152,32837632
2021-06-18T13:40:38.244,486287876,32841728
2021-06-18T13:40:39.248,491639996,32821248
2021-06-18T13:40:40.253,497018042,32837632
2021-06-18T13:40:41.258,502480863,32841728
2021-06-18T13:40:42.263,507745955,32841728
2021-06-18T13:40:43.267,513245914,32837632
2021-06-18T13:40:44.272,518585579,32821248
2021-06-18T13:40:45.277,523956064,32825344
2021-06-18T13:40:46.281,529311308,32837632
2021-06-18T13:40:47.286,534706942,32841728
2021-06-18T13:40:48.302,549547696,32845824
2021-06-18T13:40:49.333,564021181,32862208
2021-06-18T13:40:50.346,579077158,32866304
2021-06-18T13:40:51.374,594756550,32866304
2021-06-18T13:40:52.391,608555029,32804864
2021-06-18T13:40:53.418,621483160,32792576
2021-06-18T13:40:54.455,641673863,32776192
2021-06-18T13:40:55.475,655098975,32788480
2021-06-18T13:40:56.497,669089633,32788480
2021-06-18T13:40:57.528,684318932,32788480
2021-06-18T13:40:58.557,705465887,32772096
2021-06-18T13:40:59.595,723698438,32800768
2021-06-18T13:41:00.619,742107544,32780288
2021-06-18T13:41:01.654,758578513,32800768
2021-06-18T13:41:02.682,775621375,32800768
2021-06-18T13:41:03.717,792007222,32817152
2021-06-18T13:41:04.754,812491571,32825344
2021-06-18T13:41:05.782,829320381,32825344
2021-06-18T13:41:06.802,846369540,32829440
2021-06-18T13:41:07.826,861627249,32854016
2021-06-18T13:41:08.844,880949276,32849920
2021-06-18T13:41:09.866,896253941,32858112
2021-06-18T13:41:10.902,913805508,32858112
2021-06-18T13:41:11.921,929859048,32874496
2021-06-18T13:41:12.942,948020412,32854016
2021-06-18T13:41:13.973,964278289,32837632
2021-06-18T13:41:14.994,979109188,32837632
2021-06-18T13:41:16.012,996667905,32854016
2021-06-18T13:41:17.042,1011477752,32841728
2021-06-18T13:41:18.069,1026893389,32866304
2021-06-18T13:41:19.111,1042325493,32866304
2021-06-18T13:41:20.140,1059937401,32849920
2021-06-18T13:41:21.178,1076736345,32878592
2021-06-18T13:41:22.230,1094577066,32878592
2021-06-18T13:41:23.263,1113782921,32870400
2021-06-18T13:41:24.306,1129730670,32866304
2021-06-18T13:41:25.353,1146640249,32796672
2021-06-18T13:41:26.378,1161541408,32808960
