"Time","CPU","Memory"
2021-06-18T13:40:02.930,80131530,4001792
2021-06-18T13:40:03.958,126590151,8265728
2021-06-18T13:40:04.962,131822241,8290304
2021-06-18T13:40:05.967,137175238,8298496
2021-06-18T13:40:06.971,142489617,8273920
2021-06-18T13:40:07.976,147913597,8261632
2021-06-18T13:40:08.981,153827283,8273920
2021-06-18T13:40:09.986,159101200,8302592
2021-06-18T13:40:10.990,164384772,8298496
2021-06-18T13:40:11.995,169616026,8290304
2021-06-18T13:40:12.999,174892672,8302592
2021-06-18T13:40:14.004,179963427,8302592
2021-06-18T13:40:15.010,185153662,8294400
2021-06-18T13:40:16.014,190506811,8310784
2021-06-18T13:40:17.019,195921785,8314880
2021-06-18T13:40:18.024,201343007,8306688
2021-06-18T13:40:19.028,206649804,8306688
2021-06-18T13:40:20.033,211867064,8314880
2021-06-18T13:40:21.037,217087637,8327168
2021-06-18T13:40:22.042,222416028,8265728
2021-06-18T13:40:23.046,227761429,8286208
2021-06-18T13:40:24.051,233126645,8290304
2021-06-18T13:40:25.056,238441035,8282112
2021-06-18T13:40:26.061,243716166,8306688
2021-06-18T13:40:27.066,249012216,8331264
2021-06-18T13:40:28.070,254362835,8347648
2021-06-18T13:40:29.075,259862702,8339456
2021-06-18T13:40:30.080,265152837,8364032
2021-06-18T13:40:31.085,270711647,8396800
2021-06-18T13:40:32.089,275992376,8380416
2021-06-18T13:40:33.094,281251744,8376320
2021-06-18T13:40:34.098,286527694,8392704
2021-06-18T13:40:35.103,291780482,8396800
2021-06-18T13:40:36.107,297049180,8380416
2021-06-18T13:40:37.112,302547412,8396800
2021-06-18T13:40:38.116,307804538,8376320
2021-06-18T13:40:39.121,313058659,8392704
2021-06-18T13:40:40.125,318226978,8380416
2021-06-18T13:40:41.130,323536772,8392704
2021-06-18T13:40:42.135,328789535,8392704
2021-06-18T13:40:43.139,334053679,8409088
2021-06-18T13:40:44.153,339518766,8392704
2021-06-18T13:40:45.158,344871368,8392704
2021-06-18T13:40:46.163,350494138,8376320
2021-06-18T13:40:47.167,355765568,8396800
2021-06-18T13:40:48.178,1034026289,9043968
2021-06-18T13:40:49.203,1920076525,8929280
2021-06-18T13:40:50.212,2789201125,9056256
2021-06-18T13:40:51.239,3686213471,9023488
2021-06-18T13:40:52.258,4598262911,8941568
2021-06-18T13:40:53.269,5491496186,9035776
2021-06-18T13:40:54.290,6435408874,9175040
2021-06-18T13:40:55.306,7379089272,9048064
2021-06-18T13:40:56.323,8320628722,9064448
2021-06-18T13:40:57.328,9220178987,9142272
2021-06-18T13:40:58.351,10141862813,9064448
2021-06-18T13:40:59.359,11100126118,8978432
2021-06-18T13:41:00.373,11961897268,9039872
2021-06-18T13:41:01.397,12863585862,9142272
2021-06-18T13:41:02.409,13748968708,8945664
2021-06-18T13:41:03.423,14689319060,8970240
2021-06-18T13:41:04.440,15587305711,9076736
2021-06-18T13:41:05.451,16546453857,9039872
2021-06-18T13:41:06.469,17482232446,9084928
2021-06-18T13:41:07.490,18448623426,8945664
2021-06-18T13:41:08.502,19375329776,9068544
2021-06-18T13:41:09.513,20298910535,9043968
2021-06-18T13:41:10.528,21227661927,9060352
2021-06-18T13:41:11.545,22177727335,9027584
2021-06-18T13:41:12.558,23067518901,9191424
2021-06-18T13:41:13.570,24010514847,8990720
2021-06-18T13:41:14.590,24950630748,8933376
2021-06-18T13:41:15.601,25853255872,9146368
2021-06-18T13:41:16.617,26768097050,9134080
2021-06-18T13:41:17.626,27698406961,8974336
2021-06-18T13:41:18.638,28596386184,9043968
2021-06-18T13:41:19.651,29489145541,8978432
2021-06-18T13:41:20.664,30436510127,8957952
2021-06-18T13:41:21.686,31373732073,9003008
2021-06-18T13:41:22.701,32357837494,9023488
2021-06-18T13:41:23.718,33265245121,8957952
2021-06-18T13:41:24.744,34197651460,8974336
2021-06-18T13:41:25.762,35118303894,8929280
2021-06-18T13:41:26.773,36014439604,9056256
