"Time","CPU","Memory"
2021-06-18T13:40:13.100,1065337112,9109504
2021-06-18T13:40:14.105,2252983873,42160128
2021-06-18T13:40:15.110,2887459974,42106880
2021-06-18T13:40:16.115,2893392410,42160128
2021-06-18T13:40:17.120,2899127374,42192896
2021-06-18T13:40:18.125,2904866068,42201088
2021-06-18T13:40:19.129,2910745770,42221568
2021-06-18T13:40:20.134,2916462982,42217472
2021-06-18T13:40:21.139,2922075691,42258432
2021-06-18T13:40:22.143,2927717041,42254336
2021-06-18T13:40:23.148,2933393754,42262528
2021-06-18T13:40:24.153,2939190669,42283008
2021-06-18T13:40:25.158,2944862655,42295296
2021-06-18T13:40:26.163,2950862774,42242048
2021-06-18T13:40:27.167,2956624446,42258432
2021-06-18T13:40:28.172,2962426070,42258432
2021-06-18T13:40:29.177,2968315017,42254336
2021-06-18T13:40:30.181,2974171041,42274816
2021-06-18T13:40:31.186,2979725293,42299392
2021-06-18T13:40:32.191,2985514650,42319872
2021-06-18T13:40:33.195,2990870570,42319872
2021-06-18T13:40:34.200,2996711549,42303488
2021-06-18T13:40:35.205,3002476890,42307584
2021-06-18T13:40:36.209,3008214432,42307584
2021-06-18T13:40:37.214,3013993277,42323968
2021-06-18T13:40:38.218,3019749151,42336256
2021-06-18T13:40:39.223,3025502570,42332160
2021-06-18T13:40:40.228,3031083694,42356736
2021-06-18T13:40:41.233,3037029143,42250240
2021-06-18T13:40:42.238,3042870980,42250240
2021-06-18T13:40:43.242,3048529667,42278912
2021-06-18T13:40:44.247,3054563316,42303488
2021-06-18T13:40:45.252,3060099143,42307584
2021-06-18T13:40:46.256,3065539708,42307584
2021-06-18T13:40:47.261,3071288812,42291200
2021-06-18T13:40:48.274,3787704904,43298816
2021-06-18T13:40:49.290,4663383105,43220992
2021-06-18T13:40:50.307,5556894526,43257856
2021-06-18T13:40:51.324,6461163598,43278336
2021-06-18T13:40:52.350,7379504557,43274240
2021-06-18T13:40:53.368,8315100479,43286528
2021-06-18T13:40:54.391,9246159352,43319296
2021-06-18T13:40:55.434,10158159321,43327488
2021-06-18T13:40:56.462,11114521764,43323392
2021-06-18T13:40:57.486,11989049031,43307008
2021-06-18T13:40:58.507,12910170535,43323392
2021-06-18T13:40:59.527,13838102651,43343872
2021-06-18T13:41:00.554,14787508125,43368448
2021-06-18T13:41:01.574,15713624675,43352064
2021-06-18T13:41:02.584,16650640692,43364352
2021-06-18T13:41:03.603,17524555035,43380736
2021-06-18T13:41:04.625,18428365934,43413504
2021-06-18T13:41:05.631,19333907290,43429888
2021-06-18T13:41:06.673,20210469827,43429888
2021-06-18T13:41:07.694,21169879955,43417600
2021-06-18T13:41:08.712,22115212388,43413504
2021-06-18T13:41:09.739,23041579718,43532288
2021-06-18T13:41:10.763,23965431805,43425792
2021-06-18T13:41:11.783,24908329322,43429888
2021-06-18T13:41:12.822,25869040087,43438080
2021-06-18T13:41:13.839,26771220472,43470848
2021-06-18T13:41:14.855,27697375018,43466752
2021-06-18T13:41:15.874,28615558379,43470848
2021-06-18T13:41:16.898,29503753739,43454464
2021-06-18T13:41:17.918,30420448732,43446272
2021-06-18T13:41:18.935,31362015782,43470848
2021-06-18T13:41:19.946,32308642587,43450368
2021-06-18T13:41:20.968,33190736691,43466752
2021-06-18T13:41:22.002,34060547306,43470848
2021-06-18T13:41:23.022,34965372320,43479040
2021-06-18T13:41:24.031,35881745379,43495424
2021-06-18T13:41:25.039,36766027395,43462656
2021-06-18T13:41:26.059,37684598378,43479040
2021-06-18T13:41:27.082,38325702786,43479040
