"Time","CPU","Memory"
2021-06-20T13:25:58.388,1069911215,9080832
2021-06-20T13:25:59.393,2256109077,42106880
2021-06-20T13:26:00.398,2870513089,42168320
2021-06-20T13:26:01.403,2876344503,42094592
2021-06-20T13:26:02.407,2881639027,42098688
2021-06-20T13:26:03.412,2887155860,42094592
2021-06-20T13:26:04.417,2892922371,42106880
2021-06-20T13:26:05.421,2898860773,42106880
2021-06-20T13:26:06.426,2904525167,42151936
2021-06-20T13:26:07.431,2910142871,42139648
2021-06-20T13:26:08.435,2915912613,42131456
2021-06-20T13:26:09.440,2921417700,42135552
2021-06-20T13:26:10.444,2926888549,42131456
2021-06-20T13:26:11.449,2932824571,42156032
2021-06-20T13:26:12.462,2938613983,42164224
2021-06-20T13:26:13.467,2944289936,42188800
2021-06-20T13:26:14.472,2950382285,42213376
2021-06-20T13:26:15.476,2956020364,42229760
2021-06-20T13:26:16.481,2961605512,42254336
2021-06-20T13:26:17.496,2967422653,42205184
2021-06-20T13:26:18.500,2972828178,42209280
2021-06-20T13:26:19.505,2978536370,42225664
2021-06-20T13:26:20.510,2984235865,42229760
2021-06-20T13:26:21.514,2989884727,42250240
2021-06-20T13:26:22.519,2995602068,42364928
2021-06-20T13:26:23.524,3001373618,42237952
2021-06-20T13:26:24.528,3007253389,42233856
2021-06-20T13:26:25.532,3012581514,42221568
2021-06-20T13:26:26.537,3018182647,42242048
2021-06-20T13:26:27.541,3023813171,42217472
2021-06-20T13:26:28.546,3029705528,42217472
2021-06-20T13:26:29.551,3035557503,42217472
2021-06-20T13:26:30.555,3041102463,42221568
2021-06-20T13:26:31.560,3046727851,42225664
2021-06-20T13:26:32.565,3052111455,42242048
2021-06-20T13:26:33.569,3057833906,42246144
2021-06-20T13:26:34.574,3063864731,42242048
2021-06-20T13:26:35.578,3069660002,42233856
2021-06-20T13:26:36.583,3075351738,42246144
2021-06-20T13:26:37.588,3081009433,42250240
2021-06-20T13:26:38.592,3086966066,42160128
2021-06-20T13:26:39.597,3092611439,42160128
2021-06-20T13:26:40.601,3098123269,42147840
2021-06-20T13:26:41.606,3103863665,42156032
2021-06-20T13:26:42.611,3109665392,42176512
2021-06-20T13:26:43.630,3115460162,42201088
2021-06-20T13:26:44.635,3121266212,42225664
2021-06-20T13:26:45.640,3126846266,42319872
2021-06-20T13:26:46.644,3132324264,42217472
2021-06-20T13:26:47.649,3138022047,42201088
2021-06-20T13:26:48.653,3143446483,42217472
2021-06-20T13:26:49.658,3149161243,42205184
2021-06-20T13:26:50.662,3154836467,42201088
2021-06-20T13:26:51.668,3160328761,42201088
2021-06-20T13:26:52.672,3173464281,42958848
2021-06-20T13:26:53.758,3416029411,36687872
2021-06-20T13:26:54.762,4325399672,37056512
2021-06-20T13:26:55.769,5459638439,37572608
2021-06-20T13:26:56.778,6595610113,38817792
2021-06-20T13:26:57.790,7710917821,39751680
2021-06-20T13:26:58.925,9014939036,40001536
2021-06-20T13:26:59.933,10143568736,39972864
2021-06-20T13:27:00.940,11307952315,40296448
2021-06-20T13:27:01.950,12458109442,40148992
2021-06-20T13:27:02.961,13628508590,40288256
2021-06-20T13:27:03.968,14774933540,40308736
2021-06-20T13:27:04.974,15931107292,40550400
2021-06-20T13:27:05.983,17080733265,41185280
2021-06-20T13:27:06.989,18217256950,41566208
2021-06-20T13:27:07.994,19346972772,42188800
2021-06-20T13:27:08.999,20456366856,42352640
2021-06-20T13:27:10.005,21552378164,42479616
2021-06-20T13:27:11.011,22661735273,42766336
2021-06-20T13:27:12.018,23775029752,43077632
2021-06-20T13:27:13.030,24887943883,43266048
2021-06-20T13:27:14.057,26027789290,43020288
2021-06-20T13:27:15.064,27135033680,43479040
2021-06-20T13:27:16.070,28246510621,43483136
2021-06-20T13:27:17.075,29358559344,43802624
2021-06-20T13:27:18.081,30466622956,43945984
2021-06-20T13:27:19.100,31592922009,43970560
2021-06-20T13:27:20.106,32690319019,44056576
2021-06-20T13:27:21.113,33791133467,44437504
2021-06-20T13:27:22.118,34897361280,44761088
2021-06-20T13:27:23.125,36017385268,44654592
2021-06-20T13:27:24.130,37133413230,44867584
2021-06-20T13:27:25.135,38241335743,45305856
2021-06-20T13:27:26.141,39354124464,45735936
2021-06-20T13:27:27.146,40459517661,45875200
2021-06-20T13:27:28.153,41578860453,46043136
2021-06-20T13:27:29.160,42687753140,46583808
2021-06-20T13:27:30.165,43782859440,46325760
2021-06-20T13:27:31.173,44898711440,46723072
2021-06-20T13:27:32.178,46010732699,46727168
2021-06-20T13:27:33.185,47130468508,46686208
2021-06-20T13:27:34.191,48240268291,46727168
2021-06-20T13:27:35.197,49363198611,47312896
2021-06-20T13:27:36.203,50470194977,47263744
2021-06-20T13:27:37.210,51585434926,47837184
2021-06-20T13:27:38.218,52693759543,48041984
2021-06-20T13:27:39.223,53809377354,48185344
2021-06-20T13:27:40.230,54839897418,48390144
2021-06-20T13:27:41.236,55954699661,48644096
2021-06-20T13:27:42.252,57071077125,48717824
2021-06-20T13:27:43.261,58196909516,48898048
2021-06-20T13:27:44.266,59307261557,49475584
2021-06-20T13:27:45.273,60417195824,49446912
2021-06-20T13:27:46.279,61522356916,49586176
2021-06-20T13:27:47.287,62626932024,50065408
2021-06-20T13:27:48.296,63711821291,50540544
