"Time","CPU","Memory"
2021-06-20T13:30:59.229,84004194,4186112
2021-06-20T13:31:00.234,239324039,20987904
2021-06-20T13:31:01.239,244825515,20815872
2021-06-20T13:31:02.245,250503259,20828160
2021-06-20T13:31:03.404,256386259,20824064
2021-06-20T13:31:04.409,261947518,20844544
2021-06-20T13:31:05.415,267640850,20865024
2021-06-20T13:31:06.419,283866394,20914176
2021-06-20T13:31:07.424,289485991,20930560
2021-06-20T13:31:08.429,294962051,20942848
2021-06-20T13:31:09.434,300691203,20971520
2021-06-20T13:31:10.438,306080722,20979712
2021-06-20T13:31:11.443,311594404,20967424
2021-06-20T13:31:12.448,317188743,20963328
2021-06-20T13:31:13.456,322474878,20996096
2021-06-20T13:31:14.464,327996568,20983808
2021-06-20T13:31:15.471,333379467,21008384
2021-06-20T13:31:16.476,338796650,20996096
2021-06-20T13:31:17.481,344264990,20975616
2021-06-20T13:31:18.485,349677130,20983808
2021-06-20T13:31:19.490,355445285,21008384
2021-06-20T13:31:20.495,360954926,21024768
2021-06-20T13:31:21.499,366523299,21008384
2021-06-20T13:31:22.504,371886384,21028864
2021-06-20T13:31:23.509,377401512,21016576
2021-06-20T13:31:24.514,382857840,21020672
2021-06-20T13:31:25.519,388403149,21020672
2021-06-20T13:31:26.524,393949388,21016576
2021-06-20T13:31:27.528,399371820,21020672
2021-06-20T13:31:28.533,404946641,21032960
2021-06-20T13:31:29.537,410485445,21032960
2021-06-20T13:31:30.542,416455634,21114880
2021-06-20T13:31:31.547,422787478,21155840
2021-06-20T13:31:32.552,428343160,21159936
2021-06-20T13:31:33.558,434076346,21135360
2021-06-20T13:31:34.563,439854534,21139456
2021-06-20T13:31:35.572,445385224,21135360
2021-06-20T13:31:36.578,451359523,21139456
2021-06-20T13:31:37.589,457188061,21135360
2021-06-20T13:31:38.594,463098591,21139456
2021-06-20T13:31:39.599,468584142,21143552
2021-06-20T13:31:40.607,474143867,21143552
2021-06-20T13:31:41.613,479795254,21143552
2021-06-20T13:31:42.619,485393068,21143552
2021-06-20T13:31:43.627,490820773,21155840
2021-06-20T13:31:44.635,496393112,21147648
2021-06-20T13:31:45.643,502086340,21151744
2021-06-20T13:31:46.648,507600937,21147648
2021-06-20T13:31:47.660,513232803,21147648
2021-06-20T13:31:48.667,519136334,21151744
2021-06-20T13:31:49.675,525660914,21147648
2021-06-20T13:31:50.684,531897375,21151744
2021-06-20T13:31:51.689,537753654,21151744
2021-06-20T13:31:52.696,543313802,21151744
2021-06-20T13:31:53.702,549146378,21151744
2021-06-20T13:31:54.710,556483426,21315584
2021-06-20T13:31:55.716,562269861,21311488
2021-06-20T13:31:56.724,567917075,21311488
2021-06-20T13:31:57.730,573867785,21315584
2021-06-20T13:31:58.736,579495956,21315584
2021-06-20T13:31:59.743,585395057,21311488
2021-06-20T13:32:00.750,590971419,21315584
2021-06-20T13:32:01.756,596740535,21311488
2021-06-20T13:32:02.761,602506378,21331968
2021-06-20T13:32:03.767,608483047,21315584
2021-06-20T13:32:04.774,614188389,21315584
2021-06-20T13:32:05.780,619852113,21311488
2021-06-20T13:32:06.786,625665341,21311488
2021-06-20T13:32:07.791,631369594,21315584
2021-06-20T13:32:08.804,637122013,21315584
2021-06-20T13:32:09.809,643226913,21315584
2021-06-20T13:32:10.815,648660445,21315584
2021-06-20T13:32:11.825,654394905,21331968
2021-06-20T13:32:12.837,660241840,21311488
2021-06-20T13:32:13.844,666157256,21311488
