"Time","CPU","Memory"
2021-06-20T13:48:52.493,187311151,17420288
2021-06-20T13:48:53.592,305131377,30515200
2021-06-20T13:48:54.693,330399164,32817152
2021-06-20T13:48:55.698,335959395,32821248
2021-06-20T13:48:56.703,341596992,32813056
2021-06-20T13:48:57.707,347072989,32821248
2021-06-20T13:48:58.712,352788871,32829440
2021-06-20T13:48:59.717,358367678,32804864
2021-06-20T13:49:00.723,364142547,32837632
2021-06-20T13:49:01.728,369532373,32821248
2021-06-20T13:49:02.733,374984072,32817152
2021-06-20T13:49:03.738,380656411,32837632
2021-06-20T13:49:04.743,386174299,32841728
2021-06-20T13:49:05.748,391822450,32845824
2021-06-20T13:49:06.752,397335272,32833536
2021-06-20T13:49:07.757,402819090,32829440
2021-06-20T13:49:08.762,408759860,32841728
2021-06-20T13:49:09.767,414348531,32841728
2021-06-20T13:49:10.772,419918442,32849920
2021-06-20T13:49:11.777,425493296,32858112
2021-06-20T13:49:12.782,430962690,32858112
2021-06-20T13:49:13.797,437009138,32882688
2021-06-20T13:49:14.802,442576702,32882688
2021-06-20T13:49:15.807,448002006,32829440
2021-06-20T13:49:16.812,453584456,32833536
2021-06-20T13:49:17.817,459013879,32813056
2021-06-20T13:49:18.821,464609995,32833536
2021-06-20T13:49:19.826,470173141,32849920
2021-06-20T13:49:20.831,475748432,32837632
2021-06-20T13:49:21.836,481143203,32817152
2021-06-20T13:49:22.841,486554479,32817152
2021-06-20T13:49:23.846,492114779,32817152
2021-06-20T13:49:24.851,497582326,32829440
2021-06-20T13:49:25.855,503092302,32845824
2021-06-20T13:49:26.860,508569185,32849920
2021-06-20T13:49:27.865,514031748,32870400
2021-06-20T13:49:28.870,519459449,32886784
2021-06-20T13:49:29.875,524978754,32911360
2021-06-20T13:49:30.880,530600959,32903168
2021-06-20T13:49:31.885,536172838,32878592
2021-06-20T13:49:32.890,541791664,32890880
2021-06-20T13:49:33.895,547581040,32907264
2021-06-20T13:49:34.900,553158283,32923648
2021-06-20T13:49:35.905,558848028,32890880
2021-06-20T13:49:36.910,564563786,32841728
2021-06-20T13:49:37.915,570003844,32862208
2021-06-20T13:49:38.920,575488689,32825344
2021-06-20T13:49:39.931,581102235,32845824
2021-06-20T13:49:40.936,586383483,32841728
2021-06-20T13:49:41.941,591815221,32845824
2021-06-20T13:49:42.946,597434773,32825344
2021-06-20T13:49:43.951,603003954,32825344
2021-06-20T13:49:44.964,608497461,32825344
2021-06-20T13:49:45.969,614089787,32841728
2021-06-20T13:49:46.974,619672137,32833536
2021-06-20T13:49:47.979,625239428,32841728
2021-06-20T13:49:48.984,630708643,32849920
2021-06-20T13:49:49.998,636436909,32833536
2021-06-20T13:49:51.003,642042610,32849920
2021-06-20T13:49:52.008,647529552,32837632
2021-06-20T13:49:53.013,653012349,32874496
2021-06-20T13:49:54.018,658567034,32874496
2021-06-20T13:49:55.023,674617838,32940032
2021-06-20T13:49:56.028,680200837,32923648
2021-06-20T13:49:57.032,685852680,32944128
2021-06-20T13:49:58.037,691367939,32968704
2021-06-20T13:49:59.042,696872119,32964608
2021-06-20T13:50:00.047,702478396,32948224
2021-06-20T13:50:01.052,708029755,32956416
2021-06-20T13:50:02.057,713568453,32956416
2021-06-20T13:50:03.062,719204427,32919552
2021-06-20T13:50:04.067,724598048,32923648
2021-06-20T13:50:05.071,730107262,32919552
2021-06-20T13:50:06.076,735611592,32940032
2021-06-20T13:50:07.081,741249733,32956416
2021-06-20T13:50:08.086,746690831,32944128
2021-06-20T13:50:09.091,752225520,32960512
2021-06-20T13:50:10.096,757741383,32960512
2021-06-20T13:50:11.101,763152193,32940032
2021-06-20T13:50:12.106,768786579,32923648
2021-06-20T13:50:13.111,774287094,32944128
2021-06-20T13:50:14.116,779791786,32944128
2021-06-20T13:50:15.121,785371170,32940032
2021-06-20T13:50:16.141,791280802,32944128
2021-06-20T13:50:17.146,796748364,32948224
2021-06-20T13:50:18.151,802207308,32944128
2021-06-20T13:50:19.156,807777953,32964608
2021-06-20T13:50:20.160,813192189,32944128
2021-06-20T13:50:21.291,818916876,32964608
2021-06-20T13:50:22.296,824496552,32944128
2021-06-20T13:50:23.301,830150424,32944128
2021-06-20T13:50:24.306,835581688,32964608
2021-06-20T13:50:25.311,841290049,32960512
2021-06-20T13:50:26.316,847257385,32948224
2021-06-20T13:50:27.321,852767121,32968704
2021-06-20T13:50:28.326,858316025,32956416
2021-06-20T13:50:29.330,863821128,32964608
2021-06-20T13:50:30.335,869414610,32931840
2021-06-20T13:50:31.341,874954690,32919552
2021-06-20T13:50:32.346,880639226,32894976
2021-06-20T13:50:33.351,886364756,32907264
2021-06-20T13:50:34.356,891813835,32911360
2021-06-20T13:50:35.361,897313304,32940032
2021-06-20T13:50:36.374,902779162,32940032
2021-06-20T13:50:37.379,908205211,32927744
2021-06-20T13:50:38.384,913752925,32935936
2021-06-20T13:50:39.389,919193325,32952320
2021-06-20T13:50:40.394,924835825,32960512
2021-06-20T13:50:41.409,930509898,32935936
2021-06-20T13:50:42.414,936011151,32948224
2021-06-20T13:50:43.419,941575014,32931840
2021-06-20T13:50:44.424,947041126,32952320
2021-06-20T13:50:45.429,952710291,32944128
2021-06-20T13:50:46.442,958415654,32948224
2021-06-20T13:50:47.447,963959270,32927744
2021-06-20T13:50:48.452,969619234,32931840
2021-06-20T13:50:49.456,975337999,32935936
2021-06-20T13:50:50.461,980869905,32956416
2021-06-20T13:50:51.466,986448317,32985088
2021-06-20T13:50:52.471,992064263,32915456
2021-06-20T13:50:53.476,997582682,32899072
2021-06-20T13:50:54.481,1003139905,32903168
2021-06-20T13:50:55.486,1008705228,32915456
2021-06-20T13:50:56.491,1014610719,32944128
2021-06-20T13:50:57.496,1020110732,32944128
2021-06-20T13:50:58.501,1025754559,32923648
2021-06-20T13:50:59.506,1031332552,32923648
2021-06-20T13:51:00.511,1037125878,32940032
2021-06-20T13:51:01.516,1042559177,32952320
2021-06-20T13:51:02.521,1048146420,32956416
2021-06-20T13:51:03.526,1053648462,32940032
2021-06-20T13:51:04.531,1059305532,32940032
2021-06-20T13:51:05.536,1064762348,32940032
2021-06-20T13:51:06.541,1070319728,32927744
2021-06-20T13:51:07.546,1075847624,32923648
2021-06-20T13:51:08.551,1081494150,32927744
2021-06-20T13:51:09.556,1086998906,32948224
2021-06-20T13:51:10.561,1092576325,32956416
2021-06-20T13:51:11.566,1098235536,32964608
2021-06-20T13:51:12.571,1103740869,32960512
2021-06-20T13:51:13.576,1109391452,32899072
2021-06-20T13:51:14.581,1114934034,32899072
