"Time","CPU","Memory"
2021-06-20T13:51:58.928,86800691,4022272
2021-06-20T13:51:59.988,244204649,20766720
2021-06-20T13:52:00.992,249594158,20774912
2021-06-20T13:52:01.997,254852230,20758528
2021-06-20T13:52:03.001,260250764,20758528
2021-06-20T13:52:04.006,265604791,20770816
2021-06-20T13:52:05.010,271004815,20774912
2021-06-20T13:52:06.015,276485648,20783104
2021-06-20T13:52:07.020,281937490,20795392
2021-06-20T13:52:08.024,287319871,20770816
2021-06-20T13:52:09.029,292696572,20795392
2021-06-20T13:52:10.034,298075584,20791296
2021-06-20T13:52:11.038,303497268,20815872
2021-06-20T13:52:12.043,308865902,20844544
2021-06-20T13:52:13.050,314151594,20869120
2021-06-20T13:52:14.054,319494242,20869120
2021-06-20T13:52:15.059,324882310,20881408
2021-06-20T13:52:16.064,330328382,20832256
2021-06-20T13:52:17.069,335714342,20840448
2021-06-20T13:52:18.075,341405747,20848640
2021-06-20T13:52:19.079,346889360,20848640
2021-06-20T13:52:20.085,352343635,20844544
2021-06-20T13:52:21.090,357962151,20836352
2021-06-20T13:52:22.094,363434371,20836352
2021-06-20T13:52:23.099,368831292,20836352
2021-06-20T13:52:24.111,374223469,20856832
2021-06-20T13:52:25.115,379560483,20860928
2021-06-20T13:52:26.120,385087399,20856832
2021-06-20T13:52:27.125,390502542,20860928
2021-06-20T13:52:28.130,395767285,20856832
2021-06-20T13:52:29.134,401252733,20869120
2021-06-20T13:52:30.139,406627714,20873216
2021-06-20T13:52:31.143,412060806,20881408
2021-06-20T13:52:32.148,417320918,20889600
2021-06-20T13:52:33.153,422820919,20922368
2021-06-20T13:52:34.158,428260016,20918272
2021-06-20T13:52:35.162,433755713,20934656
2021-06-20T13:52:36.167,439919031,20975616
2021-06-20T13:52:37.172,445950337,20992000
2021-06-20T13:52:38.177,451466706,21020672
2021-06-20T13:52:39.184,457092606,21008384
2021-06-20T13:52:40.189,462816449,21020672
2021-06-20T13:52:41.195,468293175,21012480
2021-06-20T13:52:42.203,474013873,21008384
2021-06-20T13:52:43.209,479555961,21004288
2021-06-20T13:52:44.214,485159216,20992000
2021-06-20T13:52:45.219,490420560,21012480
2021-06-20T13:52:46.227,496111124,21008384
2021-06-20T13:52:47.236,501514742,21008384
2021-06-20T13:52:48.244,507068598,21008384
2021-06-20T13:52:49.249,512785897,21008384
2021-06-20T13:52:50.255,518188847,20938752
2021-06-20T13:52:51.262,525292923,21123072
2021-06-20T13:52:52.267,530732647,21143552
2021-06-20T13:52:53.275,536521055,21110784
2021-06-20T13:52:54.281,541920572,21106688
2021-06-20T13:52:55.287,547419050,21106688
2021-06-20T13:52:56.296,553178747,21131264
2021-06-20T13:52:57.301,558855062,21123072
2021-06-20T13:52:58.307,564566329,21114880
2021-06-20T13:52:59.316,570133270,21110784
2021-06-20T13:53:00.323,575442138,21139456
2021-06-20T13:53:01.331,580965797,21151744
2021-06-20T13:53:02.340,586551365,21155840
2021-06-20T13:53:03.348,592544407,21135360
2021-06-20T13:53:04.355,598028023,21135360
2021-06-20T13:53:05.361,603861850,21147648
2021-06-20T13:53:06.366,609315402,21151744
2021-06-20T13:53:07.372,614613901,21155840
2021-06-20T13:53:08.379,620115646,21151744
2021-06-20T13:53:09.387,625671269,21139456
2021-06-20T13:53:10.397,631320354,21135360
2021-06-20T13:53:11.403,637078615,21135360
2021-06-20T13:53:12.408,642927558,21139456
2021-06-20T13:53:13.414,648761329,21139456
2021-06-20T13:53:14.420,654254998,21139456
2021-06-20T13:53:15.426,659809982,21139456
2021-06-20T13:53:16.431,665529188,21139456
2021-06-20T13:53:17.439,671044642,21139456
2021-06-20T13:53:18.447,676740249,21180416
2021-06-20T13:53:19.455,682280910,21139456
2021-06-20T13:53:20.461,687922205,21139456
2021-06-20T13:53:21.467,694348565,21159936
2021-06-20T13:53:22.474,699734964,21159936
2021-06-20T13:53:23.486,705283190,21176320
2021-06-20T13:53:24.496,710581980,21155840
2021-06-20T13:53:25.502,716376712,21155840
