"Time","CPU","Memory"
2021-06-20T13:51:58.594,365788123,39452672
2021-06-20T13:51:59.599,391014415,40202240
2021-06-20T13:52:00.604,397164780,40128512
2021-06-20T13:52:01.610,403383185,40128512
2021-06-20T13:52:02.615,409897945,40165376
2021-06-20T13:52:03.672,416349826,40169472
2021-06-20T13:52:04.764,422898032,40185856
2021-06-20T13:52:05.769,429141663,40177664
2021-06-20T13:52:06.774,435333136,40177664
2021-06-20T13:52:07.780,441555001,40185856
2021-06-20T13:52:08.785,447786320,40189952
2021-06-20T13:52:09.791,454054358,40181760
2021-06-20T13:52:10.797,459925248,40189952
2021-06-20T13:52:11.802,466299550,40185856
2021-06-20T13:52:12.808,472485410,40194048
2021-06-20T13:52:13.814,478693526,40206336
2021-06-20T13:52:14.819,485099702,40194048
2021-06-20T13:52:15.824,491160261,40189952
2021-06-20T13:52:16.829,497373177,40189952
2021-06-20T13:52:17.834,503567234,40189952
2021-06-20T13:52:18.839,509835100,40185856
2021-06-20T13:52:19.844,515930203,40222720
2021-06-20T13:52:20.850,522167577,40206336
2021-06-20T13:52:21.855,528452883,40206336
2021-06-20T13:52:22.860,534554083,40214528
2021-06-20T13:52:23.865,540675807,40222720
2021-06-20T13:52:24.871,546968786,40222720
2021-06-20T13:52:25.884,553167929,40243200
2021-06-20T13:52:26.890,559546005,40226816
2021-06-20T13:52:27.895,565829069,40239104
2021-06-20T13:52:28.900,572045204,40267776
2021-06-20T13:52:29.905,578344381,40267776
2021-06-20T13:52:30.911,584526885,40263680
2021-06-20T13:52:31.916,590834005,40275968
2021-06-20T13:52:32.921,597053026,40271872
2021-06-20T13:52:33.926,603466208,40267776
2021-06-20T13:52:34.931,609503759,40271872
2021-06-20T13:52:35.937,615806651,40292352
2021-06-20T13:52:36.942,622225608,40296448
2021-06-20T13:52:37.947,628517106,40239104
2021-06-20T13:52:38.953,635065600,40239104
2021-06-20T13:52:39.958,641576602,40243200
2021-06-20T13:52:40.963,648163424,40247296
2021-06-20T13:52:41.969,654604718,40226816
2021-06-20T13:52:42.974,661049035,40206336
2021-06-20T13:52:43.979,667417586,40230912
2021-06-20T13:52:44.985,674013312,40239104
2021-06-20T13:52:45.990,680445997,40243200
2021-06-20T13:52:46.996,687020363,40247296
2021-06-20T13:52:48.002,693613358,40263680
2021-06-20T13:52:49.007,699758469,40292352
2021-06-20T13:52:50.012,705976892,40304640
2021-06-20T13:52:51.017,712229268,40329216
2021-06-20T13:52:52.023,718510830,40337408
2021-06-20T13:52:53.036,725829202,40333312
2021-06-20T13:52:54.041,732375081,40337408
2021-06-20T13:52:55.047,738926101,40259584
2021-06-20T13:52:56.053,745364250,40275968
2021-06-20T13:52:57.058,751921516,40280064
2021-06-20T13:52:58.065,758703903,40284160
2021-06-20T13:52:59.070,765440373,40280064
2021-06-20T13:53:00.078,772178009,40271872
2021-06-20T13:53:01.083,778767570,40284160
2021-06-20T13:53:02.090,785420115,40292352
2021-06-20T13:53:03.102,792023236,40292352
2021-06-20T13:53:04.108,798620875,40337408
2021-06-20T13:53:05.113,804934587,40337408
2021-06-20T13:53:06.119,811607933,40321024
2021-06-20T13:53:07.124,818372174,40325120
2021-06-20T13:53:08.130,824771855,40321024
2021-06-20T13:53:09.135,831445524,40341504
2021-06-20T13:53:10.140,837677008,40333312
2021-06-20T13:53:11.146,844129048,40341504
2021-06-20T13:53:12.151,850502130,40337408
2021-06-20T13:53:13.157,856916655,40316928
2021-06-20T13:53:14.162,863336301,40329216
2021-06-20T13:53:15.167,869737663,40255488
2021-06-20T13:53:16.173,875973614,40259584
2021-06-20T13:53:17.178,882455607,40259584
2021-06-20T13:53:18.184,889212508,40255488
2021-06-20T13:53:19.189,895533750,40300544
2021-06-20T13:53:20.195,902640818,40312832
2021-06-20T13:53:21.200,908913038,40321024
2021-06-20T13:53:22.206,915423456,40235008
2021-06-20T13:53:23.211,921771433,40235008
2021-06-20T13:53:24.216,928119173,40218624
2021-06-20T13:53:25.222,934419200,40206336
2021-06-20T13:53:26.230,940684708,40218624
