"Time","CPU","Memory"
2021-06-20T13:52:12.694,1054504300,9109504
2021-06-20T13:52:13.710,2262745314,42172416
2021-06-20T13:52:14.716,2994004724,42110976
2021-06-20T13:52:15.721,2999856389,42123264
2021-06-20T13:52:16.725,3005408592,42143744
2021-06-20T13:52:17.730,3011170556,42131456
2021-06-20T13:52:18.734,3017137879,42143744
2021-06-20T13:52:19.739,3022895010,42168320
2021-06-20T13:52:20.744,3028496166,42172416
2021-06-20T13:52:21.749,3034411330,42168320
2021-06-20T13:52:22.754,3040307780,42156032
2021-06-20T13:52:23.759,3046089463,42192896
2021-06-20T13:52:24.763,3051669772,42205184
2021-06-20T13:52:25.768,3057676538,42225664
2021-06-20T13:52:26.772,3063353098,42229760
2021-06-20T13:52:27.777,3069036332,42246144
2021-06-20T13:52:28.782,3075226824,42270720
2021-06-20T13:52:29.787,3080944879,42254336
2021-06-20T13:52:30.791,3086708709,42254336
2021-06-20T13:52:31.796,3092725073,42381312
2021-06-20T13:52:32.801,3098325649,42266624
2021-06-20T13:52:33.806,3104017515,42287104
2021-06-20T13:52:34.810,3109763276,42270720
2021-06-20T13:52:35.815,3115264840,42283008
2021-06-20T13:52:36.820,3131648817,43069440
2021-06-20T13:52:37.825,4122917627,38141952
2021-06-20T13:52:38.832,5266702571,38432768
2021-06-20T13:52:39.847,6433491148,39444480
2021-06-20T13:52:40.854,7564088011,39636992
2021-06-20T13:52:41.863,8726203832,39776256
2021-06-20T13:52:42.871,9872488044,40075264
2021-06-20T13:52:43.878,11019664873,41009152
2021-06-20T13:52:44.896,12174770635,41074688
2021-06-20T13:52:45.903,13313933468,41205760
2021-06-20T13:52:46.911,14435047718,41340928
2021-06-20T13:52:47.917,15553110010,42463232
2021-06-20T13:52:48.930,16677910144,42536960
2021-06-20T13:52:49.946,17796176154,42672128
2021-06-20T13:52:50.953,18898932919,42647552
2021-06-20T13:52:51.959,20018383698,43315200
2021-06-20T13:52:52.964,21119108161,43429888
2021-06-20T13:52:53.971,22240350036,43532288
2021-06-20T13:52:54.977,23348915732,43651072
2021-06-20T13:52:55.984,24452884338,43507712
2021-06-20T13:52:56.997,25562793821,43700224
2021-06-20T13:52:58.004,26678398464,43589632
2021-06-20T13:52:59.016,27794161696,44150784
2021-06-20T13:53:00.023,28914577653,44826624
2021-06-20T13:53:01.028,30021576711,44912640
2021-06-20T13:53:02.035,31145144871,44969984
2021-06-20T13:53:03.043,32247163338,45252608
2021-06-20T13:53:04.063,33364215684,45322240
2021-06-20T13:53:05.069,34467505979,45514752
2021-06-20T13:53:06.075,35582482840,45559808
2021-06-20T13:53:07.085,36691766138,46346240
2021-06-20T13:53:08.098,37804826372,46505984
2021-06-20T13:53:09.114,38928553698,46514176
2021-06-20T13:53:10.120,40035107089,46383104
2021-06-20T13:53:11.127,41151214797,46571520
2021-06-20T13:53:12.133,42208303226,47316992
2021-06-20T13:53:13.139,43304060249,47689728
2021-06-20T13:53:14.274,44552375664,47747072
2021-06-20T13:53:15.279,45658470745,47898624
2021-06-20T13:53:16.286,46766184024,48316416
2021-06-20T13:53:17.292,47869329900,48562176
2021-06-20T13:53:18.299,48982098965,48418816
2021-06-20T13:53:19.323,50119462275,48975872
2021-06-20T13:53:20.329,51218944204,49008640
2021-06-20T13:53:21.335,52328907852,49225728
2021-06-20T13:53:22.341,53434215733,49418240
2021-06-20T13:53:23.348,54543527856,49541120
2021-06-20T13:53:24.365,55662073309,49758208
2021-06-20T13:53:25.370,56750754053,50167808
2021-06-20T13:53:26.376,57816839717,50233344
