"Time","CPU","Memory"
2021-06-20T14:20:49.967,89315754,2985984
2021-06-20T14:20:51.089,285366499,20873216
2021-06-20T14:20:52.102,291356348,20877312
2021-06-20T14:20:53.114,296709202,20905984
2021-06-20T14:20:54.119,302346961,20918272
2021-06-20T14:20:55.124,307761883,20926464
2021-06-20T14:20:56.129,313261516,20918272
2021-06-20T14:20:57.135,318726042,20877312
2021-06-20T14:20:58.140,324347601,20873216
2021-06-20T14:20:59.145,329756738,20889600
2021-06-20T14:21:00.464,335121126,20885504
2021-06-20T14:21:01.478,341396053,20942848
2021-06-20T14:21:02.482,347472913,20938752
2021-06-20T14:21:03.487,352908867,20926464
2021-06-20T14:21:04.491,358356926,20934656
2021-06-20T14:21:05.497,363772441,20934656
2021-06-20T14:21:06.502,369402315,20934656
2021-06-20T14:21:07.681,374975429,20951040
2021-06-20T14:21:08.686,380628660,20959232
2021-06-20T14:21:09.691,385969008,20836352
2021-06-20T14:21:10.696,391417392,20840448
2021-06-20T14:21:11.700,396756480,20856832
2021-06-20T14:21:12.705,402227904,20869120
2021-06-20T14:21:13.709,407872240,20869120
2021-06-20T14:21:14.714,413158269,20885504
2021-06-20T14:21:15.719,418732152,20877312
2021-06-20T14:21:16.723,424244680,20856832
2021-06-20T14:21:17.728,429651278,20856832
2021-06-20T14:21:18.733,435174380,20865024
2021-06-20T14:21:19.737,440642364,20881408
2021-06-20T14:21:20.744,446048044,20885504
2021-06-20T14:21:21.749,451562735,20910080
2021-06-20T14:21:22.753,457138111,20926464
2021-06-20T14:21:23.758,462594786,20934656
2021-06-20T14:21:24.763,467986499,20959232
2021-06-20T14:21:25.767,473570914,20963328
2021-06-20T14:21:26.772,479007683,20946944
2021-06-20T14:21:27.777,484331951,20963328
2021-06-20T14:21:28.782,489842045,20971520
2021-06-20T14:21:29.786,495341633,20918272
2021-06-20T14:21:30.791,500680489,20910080
2021-06-20T14:21:31.800,505991669,20914176
2021-06-20T14:21:32.808,511657183,20934656
2021-06-20T14:21:33.813,517142008,20967424
2021-06-20T14:21:34.818,522734001,20987904
2021-06-20T14:21:35.823,528286285,20967424
2021-06-20T14:21:36.828,533650785,20987904
2021-06-20T14:21:37.832,539187578,21004288
2021-06-20T14:21:38.837,544760802,21037056
2021-06-20T14:21:39.842,550152595,21028864
2021-06-20T14:21:40.846,555547451,21024768
2021-06-20T14:21:41.851,561011942,21012480
2021-06-20T14:21:42.856,566509364,21020672
2021-06-20T14:21:43.867,572183623,21032960
2021-06-20T14:21:44.872,577632059,21032960
2021-06-20T14:21:45.877,583079733,21032960
2021-06-20T14:21:46.882,588715561,21000192
2021-06-20T14:21:47.886,596511772,22081536
2021-06-20T14:21:48.891,601941350,22102016
2021-06-20T14:21:49.896,608070126,22089728
2021-06-20T14:21:50.902,614193764,22126592
2021-06-20T14:21:51.907,619825346,22126592
2021-06-20T14:21:52.913,625528686,22147072
2021-06-20T14:21:53.923,631216321,22130688
2021-06-20T14:21:54.931,636899461,22126592
2021-06-20T14:21:55.937,642370190,22130688
2021-06-20T14:21:56.943,648198181,22126592
2021-06-20T14:21:57.951,653842544,22147072
2021-06-20T14:21:58.957,659314675,22147072
2021-06-20T14:21:59.963,664733344,22183936
2021-06-20T14:22:00.972,670374067,22142976
2021-06-20T14:22:01.977,675985402,22130688
2021-06-20T14:22:02.983,681717864,22142976
2021-06-20T14:22:03.991,687179133,22147072
2021-06-20T14:22:04.997,692608942,22142976
2021-06-20T14:22:06.002,698189398,22142976
2021-06-20T14:22:07.007,703684909,22147072
2021-06-20T14:22:08.013,709214383,22142976
2021-06-20T14:22:09.019,714787505,22159360
2021-06-20T14:22:10.026,720723649,22167552
2021-06-20T14:22:11.031,726400046,22163456
2021-06-20T14:22:12.040,732340193,22155264
2021-06-20T14:22:13.047,738172261,22155264
2021-06-20T14:22:14.053,743915745,22138880
2021-06-20T14:22:15.058,749583235,22138880
2021-06-20T14:22:16.063,754947480,22138880
2021-06-20T14:22:17.070,760469211,22138880
2021-06-20T14:22:18.076,766832683,22159360
2021-06-20T14:22:19.083,772365368,22159360
2021-06-20T14:22:20.090,777809246,22155264
2021-06-20T14:22:21.103,783435304,22171648
2021-06-20T14:22:22.112,789351044,22171648
2021-06-20T14:22:23.118,794915145,22171648
2021-06-20T14:22:24.139,800673597,22175744
2021-06-20T14:22:25.149,806226180,22175744
2021-06-20T14:22:26.156,811887445,22188032
2021-06-20T14:22:27.162,817509692,22183936
2021-06-20T14:22:28.167,823157042,22192128
2021-06-20T14:22:29.189,828947762,22183936
2021-06-20T14:22:30.194,834385183,22167552
2021-06-20T14:22:31.200,839821131,22167552
2021-06-20T14:22:32.206,845557215,22171648
2021-06-20T14:22:33.211,851172399,22179840
