"Time","CPU","Memory"
2021-06-20T14:20:49.510,361458143,38944768
2021-06-20T14:20:50.517,401122355,40263680
2021-06-20T14:20:51.522,408115355,40185856
2021-06-20T14:20:52.527,414464615,40198144
2021-06-20T14:20:53.534,420934570,40214528
2021-06-20T14:20:54.541,429085485,40210432
2021-06-20T14:20:55.546,435305588,40218624
2021-06-20T14:20:56.551,441599652,40218624
2021-06-20T14:20:57.556,447865779,40222720
2021-06-20T14:20:58.561,454126212,40222720
2021-06-20T14:20:59.567,460477030,40239104
2021-06-20T14:21:00.572,466743192,40255488
2021-06-20T14:21:01.577,473374042,40251392
2021-06-20T14:21:02.583,479630230,40235008
2021-06-20T14:21:03.588,485832501,40263680
2021-06-20T14:21:04.593,492206821,40230912
2021-06-20T14:21:05.598,498501629,40251392
2021-06-20T14:21:06.604,504753306,40271872
2021-06-20T14:21:07.610,511021245,40300544
2021-06-20T14:21:08.615,517594154,40284160
2021-06-20T14:21:09.621,523768673,40280064
2021-06-20T14:21:10.626,530017189,40300544
2021-06-20T14:21:11.631,536225231,40296448
2021-06-20T14:21:12.636,542518363,40284160
2021-06-20T14:21:13.642,548820364,40284160
2021-06-20T14:21:14.647,555042162,40280064
2021-06-20T14:21:15.652,561229385,40296448
2021-06-20T14:21:16.657,567402504,40308736
2021-06-20T14:21:17.662,573621872,40312832
2021-06-20T14:21:18.667,580082675,40308736
2021-06-20T14:21:19.673,586359581,40316928
2021-06-20T14:21:20.678,592655064,40337408
2021-06-20T14:21:21.683,598862961,40337408
2021-06-20T14:21:22.688,605164383,40300544
2021-06-20T14:21:23.694,611375640,40284160
2021-06-20T14:21:24.699,617708382,40284160
2021-06-20T14:21:25.705,623908518,40275968
2021-06-20T14:21:26.711,630151990,40308736
2021-06-20T14:21:27.716,636524762,40304640
2021-06-20T14:21:28.721,642745599,40321024
2021-06-20T14:21:29.727,648987371,40329216
2021-06-20T14:21:30.742,655151827,40308736
2021-06-20T14:21:31.747,661823181,40333312
2021-06-20T14:21:32.753,669100088,40321024
2021-06-20T14:21:33.762,678407733,40316928
2021-06-20T14:21:34.768,684573857,40321024
2021-06-20T14:21:35.773,690815017,40341504
2021-06-20T14:21:36.778,697033122,40341504
2021-06-20T14:21:37.783,703405945,40304640
2021-06-20T14:21:38.789,709583228,40308736
2021-06-20T14:21:39.794,715852725,40304640
2021-06-20T14:21:40.799,722104177,40304640
2021-06-20T14:21:41.804,728303482,40321024
2021-06-20T14:21:42.809,734430577,40321024
2021-06-20T14:21:43.815,740939253,40316928
2021-06-20T14:21:44.820,747209005,40321024
2021-06-20T14:21:45.826,753574413,40337408
2021-06-20T14:21:46.831,759913978,40345600
2021-06-20T14:21:47.836,766343259,40329216
2021-06-20T14:21:48.842,772527175,40325120
2021-06-20T14:21:49.847,778829260,40325120
2021-06-20T14:21:50.852,785111182,40341504
2021-06-20T14:21:51.858,792286259,40345600
2021-06-20T14:21:52.864,798965513,40308736
2021-06-20T14:21:53.878,813788278,40316928
2021-06-20T14:21:54.884,820205137,40308736
2021-06-20T14:21:55.890,826916537,40308736
2021-06-20T14:21:56.896,834974206,40329216
2021-06-20T14:21:57.901,841623187,40321024
2021-06-20T14:21:58.907,848218208,40333312
2021-06-20T14:21:59.918,854811117,40329216
2021-06-20T14:22:00.923,861701256,40341504
2021-06-20T14:22:01.929,868085066,40345600
2021-06-20T14:22:02.934,874511872,40329216
2021-06-20T14:22:03.940,881118855,40321024
2021-06-20T14:22:04.947,887691998,40349696
2021-06-20T14:22:05.953,894197442,40333312
2021-06-20T14:22:06.958,900819749,40353792
2021-06-20T14:22:07.963,907463216,40353792
2021-06-20T14:22:08.969,914183216,40349696
2021-06-20T14:22:09.974,920658176,40275968
2021-06-20T14:22:10.980,927011116,40292352
2021-06-20T14:22:11.986,934146238,40288256
2021-06-20T14:22:12.992,940780502,40300544
2021-06-20T14:22:13.997,947705394,40280064
2021-06-20T14:22:15.002,954085268,40304640
2021-06-20T14:22:16.008,960535289,40304640
2021-06-20T14:22:17.013,967308197,40325120
2021-06-20T14:22:18.018,973655798,40292352
2021-06-20T14:22:19.024,980333496,40288256
2021-06-20T14:22:20.029,987099448,40300544
2021-06-20T14:22:21.044,993672654,40402944
2021-06-20T14:22:22.049,1000606954,40361984
2021-06-20T14:22:23.055,1007625237,40353792
2021-06-20T14:22:24.060,1014299465,40263680
2021-06-20T14:22:25.066,1020952103,40263680
2021-06-20T14:22:26.077,1027730781,40271872
2021-06-20T14:22:27.083,1034350097,40300544
2021-06-20T14:22:28.088,1040756441,40312832
2021-06-20T14:22:29.093,1047145355,40333312
2021-06-20T14:22:30.098,1053481943,40333312
2021-06-20T14:22:31.110,1060113663,40329216
2021-06-20T14:22:32.116,1066766145,40349696
2021-06-20T14:22:33.122,1073412306,40329216
2021-06-20T14:22:34.128,1080174014,40292352
