"Time","CPU","Memory"
2021-06-20T14:21:30.621,153586705,18804736
2021-06-20T14:21:31.626,1169394509,22212608
2021-06-20T14:21:32.639,2296753681,40251392
2021-06-20T14:21:33.645,2938854010,68018176
2021-06-20T14:21:34.649,2944687376,68300800
2021-06-20T14:21:35.654,2950098343,68055040
2021-06-20T14:21:36.659,2955913195,68046848
2021-06-20T14:21:37.664,2961568331,68067328
2021-06-20T14:21:38.668,2967509990,68100096
2021-06-20T14:21:39.673,2973240496,68112384
2021-06-20T14:21:40.678,2979165491,68149248
2021-06-20T14:21:41.683,2984769702,68145152
2021-06-20T14:21:42.688,2990417820,68132864
2021-06-20T14:21:43.692,2996203821,68136960
2021-06-20T14:21:44.697,3001717460,68153344
2021-06-20T14:21:45.702,3007592060,68190208
2021-06-20T14:21:46.707,3013160698,68177920
2021-06-20T14:21:47.712,3018788611,68169728
2021-06-20T14:21:48.717,3024681940,68210688
2021-06-20T14:21:49.721,3039356790,69017600
2021-06-20T14:21:50.727,3528862912,63762432
2021-06-20T14:21:51.735,4666078785,64471040
2021-06-20T14:21:52.741,5803882580,65490944
2021-06-20T14:21:53.747,6937845774,66383872
2021-06-20T14:21:54.756,8097175813,66506752
2021-06-20T14:21:55.761,9258487654,66686976
2021-06-20T14:21:56.769,10410324326,67239936
2021-06-20T14:21:57.776,11560795194,67338240
2021-06-20T14:21:58.782,12686972655,68366336
2021-06-20T14:21:59.788,13806984779,68636672
2021-06-20T14:22:00.794,14924980563,68534272
2021-06-20T14:22:01.800,16035436851,69046272
2021-06-20T14:22:02.807,17152147398,68935680
2021-06-20T14:22:03.813,18252080258,69378048
2021-06-20T14:22:04.819,19368914090,69791744
2021-06-20T14:22:05.825,20481429255,70000640
2021-06-20T14:22:06.831,21588589529,69963776
2021-06-20T14:22:07.837,22700830700,70205440
2021-06-20T14:22:08.842,23810037781,70623232
2021-06-20T14:22:09.849,24920939698,70893568
2021-06-20T14:22:10.858,26028735938,70905856
2021-06-20T14:22:11.867,27142379043,71331840
2021-06-20T14:22:12.872,28247631573,71741440
2021-06-20T14:22:13.879,29358430650,71958528
2021-06-20T14:22:14.884,30470416373,72241152
2021-06-20T14:22:15.891,31584742440,72441856
2021-06-20T14:22:16.902,32696070122,72892416
2021-06-20T14:22:17.911,33800514252,72806400
2021-06-20T14:22:18.918,34904598893,73302016
2021-06-20T14:22:19.927,36017904693,73261056
2021-06-20T14:22:20.933,37132579523,73584640
2021-06-20T14:22:21.938,38230446774,73732096
2021-06-20T14:22:22.944,39337412421,74067968
2021-06-20T14:22:23.950,40439219593,74129408
2021-06-20T14:22:24.957,41551739916,74481664
2021-06-20T14:22:25.962,42656417671,74780672
2021-06-20T14:22:26.969,43768206932,75026432
2021-06-20T14:22:27.975,44874108804,75386880
2021-06-20T14:22:28.985,45985048765,75374592
2021-06-20T14:22:29.990,47094537551,75698176
2021-06-20T14:22:31.001,48206280093,75927552
2021-06-20T14:22:32.012,49312422034,76222464
2021-06-20T14:22:33.023,50401037768,76378112
2021-06-20T14:22:34.038,51460747093,76177408
