"Time","CPU","Memory"
2021-06-20T14:25:53.104,83977630,9428992
2021-06-20T14:25:54.119,250098774,32006144
2021-06-20T14:25:55.124,265984151,33206272
2021-06-20T14:25:56.128,271443514,33218560
2021-06-20T14:25:57.133,276977070,33206272
2021-06-20T14:25:58.138,282495168,33239040
2021-06-20T14:25:59.142,287831225,33243136
2021-06-20T14:26:00.147,293261553,33239040
2021-06-20T14:26:01.152,298741048,33255424
2021-06-20T14:26:02.157,304139055,33239040
2021-06-20T14:26:03.161,309531990,33271808
2021-06-20T14:26:04.166,315109053,33280000
2021-06-20T14:26:05.171,320529439,33300480
2021-06-20T14:26:06.176,325961750,33300480
2021-06-20T14:26:07.180,331333319,33308672
2021-06-20T14:26:08.185,336687590,33345536
2021-06-20T14:26:09.190,342156069,33333248
2021-06-20T14:26:10.194,347594155,33284096
2021-06-20T14:26:11.199,353043725,33296384
2021-06-20T14:26:12.203,358392670,33292288
2021-06-20T14:26:13.208,363725877,33292288
2021-06-20T14:26:14.213,369216159,33292288
2021-06-20T14:26:15.218,374668763,33308672
2021-06-20T14:26:16.223,380005353,33308672
2021-06-20T14:26:17.228,385236324,33320960
2021-06-20T14:26:18.234,390801809,33353728
2021-06-20T14:26:19.239,396103568,33345536
2021-06-20T14:26:20.244,401543642,33361920
2021-06-20T14:26:21.248,407020553,33357824
2021-06-20T14:26:22.253,412433073,33374208
2021-06-20T14:26:23.258,417863890,33353728
2021-06-20T14:26:24.267,423483762,33386496
2021-06-20T14:26:25.272,428951762,33394688
2021-06-20T14:26:26.276,434417944,33390592
2021-06-20T14:26:27.284,439853084,33374208
2021-06-20T14:26:28.289,445427732,33398784
2021-06-20T14:26:29.294,450826254,33398784
2021-06-20T14:26:30.298,456285055,33398784
2021-06-20T14:26:31.303,461612583,33406976
2021-06-20T14:26:32.307,466943688,33390592
2021-06-20T14:26:33.312,472326415,33390592
2021-06-20T14:26:34.317,477745708,33382400
2021-06-20T14:26:35.321,483222541,33382400
2021-06-20T14:26:36.326,488497619,33382400
2021-06-20T14:26:37.330,493861401,33382400
2021-06-20T14:26:38.335,499170634,33366016
2021-06-20T14:26:39.340,504477333,33386496
2021-06-20T14:26:40.345,509992861,33382400
2021-06-20T14:26:41.349,515671968,33366016
2021-06-20T14:26:42.354,520832200,33366016
2021-06-20T14:26:43.359,526194968,33370112
2021-06-20T14:26:44.363,533312712,33628160
2021-06-20T14:26:45.368,538676273,33648640
2021-06-20T14:26:46.373,544183154,33673216
2021-06-20T14:26:47.377,549453767,33665024
2021-06-20T14:26:48.382,554933484,33656832
2021-06-20T14:26:49.386,560298021,33669120
2021-06-20T14:26:50.391,565717225,33652736
2021-06-20T14:26:51.396,571629608,33660928
2021-06-20T14:26:52.403,577575251,33669120
2021-06-20T14:26:53.410,583747749,33673216
2021-06-20T14:26:54.417,589435529,33718272
2021-06-20T14:26:55.423,595138434,33718272
2021-06-20T14:26:56.428,600916405,33685504
2021-06-20T14:26:57.434,606379583,33681408
2021-06-20T14:26:58.439,611970001,33685504
2021-06-20T14:26:59.448,617602563,33685504
2021-06-20T14:27:00.454,623306547,33685504
2021-06-20T14:27:01.459,629053402,33681408
2021-06-20T14:27:02.465,634625524,33697792
2021-06-20T14:27:03.475,640216573,33685504
2021-06-20T14:27:04.483,645768076,33685504
2021-06-20T14:27:05.491,651496242,33689600
2021-06-20T14:27:06.500,657143401,33685504
2021-06-20T14:27:07.506,662743712,33681408
2021-06-20T14:27:08.515,668456947,33697792
2021-06-20T14:27:09.524,674369500,33701888
2021-06-20T14:27:10.530,680060298,33718272
2021-06-20T14:27:11.536,685376275,33755136
2021-06-20T14:27:12.541,691313707,33718272
2021-06-20T14:27:13.546,696891645,33722368
2021-06-20T14:27:14.556,703543234,33705984
2021-06-20T14:27:15.562,709327318,33710080
2021-06-20T14:27:16.568,714678662,33714176
2021-06-20T14:27:17.576,720583944,33710080
2021-06-20T14:27:18.581,726115414,33726464
2021-06-20T14:27:19.587,731806498,33734656
2021-06-20T14:27:20.596,737486427,33726464
2021-06-20T14:27:21.602,743221417,33697792
2021-06-20T14:27:22.607,748572415,33697792
2021-06-20T14:27:23.616,753964152,33714176
2021-06-20T14:27:24.622,759607867,33710080
2021-06-20T14:27:25.631,765181924,33730560
2021-06-20T14:27:26.640,770993867,33619968
2021-06-20T14:27:27.645,776881430,33615872
2021-06-20T14:27:28.655,782365227,33624064
2021-06-20T14:27:29.660,788249726,33632256
2021-06-20T14:27:30.666,794009037,33624064
2021-06-20T14:27:31.672,799457314,33632256
2021-06-20T14:27:32.677,805300321,33640448
2021-06-20T14:27:33.683,810960301,33636352
2021-06-20T14:27:34.688,816447189,33640448
2021-06-20T14:27:35.694,822040258,33640448
2021-06-20T14:27:36.699,828234745,33665024
2021-06-20T14:27:37.708,833885384,33632256
2021-06-20T14:27:38.714,839728882,33628160
