"Time","CPU","Memory"
2021-06-20T14:25:51.627,383632928,40136704
2021-06-20T14:25:52.634,389894218,40263680
2021-06-20T14:25:53.639,396089067,40140800
2021-06-20T14:25:54.644,402522397,40140800
2021-06-20T14:25:55.649,408732604,40132608
2021-06-20T14:25:56.703,415093260,40132608
2021-06-20T14:25:57.708,421278057,40140800
2021-06-20T14:25:58.714,427434681,40153088
2021-06-20T14:25:59.719,433625330,40128512
2021-06-20T14:26:00.724,439937240,40157184
2021-06-20T14:26:01.729,446095869,40136704
2021-06-20T14:26:02.734,452246858,40153088
2021-06-20T14:26:03.740,458507428,40153088
2021-06-20T14:26:04.747,465273979,40177664
2021-06-20T14:26:05.752,471235524,40214528
2021-06-20T14:26:06.758,477453657,40210432
2021-06-20T14:26:07.763,483631942,40206336
2021-06-20T14:26:08.777,489832202,40210432
2021-06-20T14:26:09.782,496093106,40218624
2021-06-20T14:26:10.787,502493500,40181760
2021-06-20T14:26:11.792,508592091,40189952
2021-06-20T14:26:12.798,514764295,40185856
2021-06-20T14:26:13.802,520795635,40185856
2021-06-20T14:26:14.808,526914487,40185856
2021-06-20T14:26:15.813,533206602,40185856
2021-06-20T14:26:16.818,539402260,40218624
2021-06-20T14:26:17.823,545656014,40214528
2021-06-20T14:26:18.828,551727676,40202240
2021-06-20T14:26:19.834,557887181,40210432
2021-06-20T14:26:20.839,564055988,40230912
2021-06-20T14:26:21.844,570212020,40247296
2021-06-20T14:26:22.849,576378458,40259584
2021-06-20T14:26:23.854,582653674,40243200
2021-06-20T14:26:24.859,588900865,40243200
2021-06-20T14:26:25.865,595023655,40243200
2021-06-20T14:26:26.870,601138856,40243200
2021-06-20T14:26:27.875,607403131,40255488
2021-06-20T14:26:28.881,613592464,40247296
2021-06-20T14:26:29.886,619771286,40226816
2021-06-20T14:26:30.891,626139546,40210432
2021-06-20T14:26:31.897,632272608,40206336
2021-06-20T14:26:32.902,638558415,40210432
2021-06-20T14:26:33.907,644819221,40214528
2021-06-20T14:26:34.912,650867210,40206336
2021-06-20T14:26:35.917,656998721,40210432
2021-06-20T14:26:36.922,663107320,40210432
2021-06-20T14:26:37.928,669284871,40214528
2021-06-20T14:26:38.933,675526505,40226816
2021-06-20T14:26:39.938,681743247,40247296
2021-06-20T14:26:40.943,687980478,40247296
2021-06-20T14:26:41.949,694065256,40243200
2021-06-20T14:26:42.954,700283426,40230912
2021-06-20T14:26:43.959,706452338,40222720
2021-06-20T14:26:44.964,712555912,40243200
2021-06-20T14:26:45.969,718751506,40230912
2021-06-20T14:26:46.975,724985015,40243200
2021-06-20T14:26:47.980,731060131,40275968
2021-06-20T14:26:48.985,737275978,40263680
2021-06-20T14:26:49.990,743372727,40230912
2021-06-20T14:26:50.995,749815480,40251392
2021-06-20T14:26:52.001,755978091,40271872
2021-06-20T14:26:53.006,762886741,40251392
2021-06-20T14:26:54.012,769491682,40214528
2021-06-20T14:26:55.017,775875536,40230912
2021-06-20T14:26:56.022,782358523,40226816
2021-06-20T14:26:57.028,788800670,40230912
2021-06-20T14:26:58.040,795290584,40251392
2021-06-20T14:26:59.045,801893372,40235008
2021-06-20T14:27:00.050,808343734,40239104
2021-06-20T14:27:01.055,814649958,40251392
2021-06-20T14:27:02.060,820808487,40251392
2021-06-20T14:27:03.066,827213402,40226816
2021-06-20T14:27:04.071,833860863,40235008
2021-06-20T14:27:05.077,840230072,40230912
2021-06-20T14:27:06.082,846550891,40239104
2021-06-20T14:27:07.088,853317287,40247296
2021-06-20T14:27:08.093,859661290,40230912
2021-06-20T14:27:09.098,865969152,40230912
2021-06-20T14:27:10.103,872429951,40226816
2021-06-20T14:27:11.108,878609120,40230912
2021-06-20T14:27:12.114,885225197,40259584
2021-06-20T14:27:13.120,891692796,40255488
2021-06-20T14:27:14.125,898344502,40263680
2021-06-20T14:27:15.130,904638450,40284160
2021-06-20T14:27:16.136,911083337,40255488
2021-06-20T14:27:17.141,917431448,40235008
2021-06-20T14:27:18.146,923780807,40230912
2021-06-20T14:27:19.152,930355750,40251392
2021-06-20T14:27:20.158,937262943,40247296
2021-06-20T14:27:21.163,943852494,40267776
2021-06-20T14:27:22.169,950162572,40267776
2021-06-20T14:27:23.174,956388655,40247296
2021-06-20T14:27:24.179,962647771,40271872
2021-06-20T14:27:25.191,969210858,40255488
2021-06-20T14:27:26.196,975543003,40271872
2021-06-20T14:27:27.202,982398838,40259584
2021-06-20T14:27:28.207,988997607,40251392
2021-06-20T14:27:29.213,995302664,40259584
2021-06-20T14:27:30.225,1002646639,40259584
2021-06-20T14:27:31.236,1014589545,40263680
2021-06-20T14:27:32.246,1027620616,40284160
2021-06-20T14:27:33.251,1034351445,40288256
2021-06-20T14:27:34.257,1040686978,40288256
2021-06-20T14:27:35.262,1047428250,40316928
2021-06-20T14:27:36.268,1053947826,40288256
2021-06-20T14:27:37.273,1060128081,40284160
2021-06-20T14:27:38.278,1066614345,40280064
2021-06-20T14:27:39.286,1073051076,40271872
