"Time","CPU","Memory"
2021-06-20T14:29:32.961,94591995,4911104
2021-06-20T14:29:33.971,242421053,20951040
2021-06-20T14:29:34.976,247865582,20865024
2021-06-20T14:29:35.980,253185626,20869120
2021-06-20T14:29:36.985,258634822,20905984
2021-06-20T14:29:37.990,264248274,20914176
2021-06-20T14:29:38.994,269605976,20910080
2021-06-20T14:29:39.999,275054815,20934656
2021-06-20T14:29:41.004,280510742,20914176
2021-06-20T14:29:42.008,285840566,20918272
2021-06-20T14:29:43.013,291249355,20914176
2021-06-20T14:29:44.018,296656499,20905984
2021-06-20T14:29:45.022,302218360,20922368
2021-06-20T14:29:46.027,307865451,20930560
2021-06-20T14:29:47.032,313230624,20951040
2021-06-20T14:29:48.037,318573276,20942848
2021-06-20T14:29:49.042,324203610,20930560
2021-06-20T14:29:50.046,329857592,20930560
2021-06-20T14:29:51.051,335308472,20930560
2021-06-20T14:29:52.069,340820804,20959232
2021-06-20T14:29:53.074,346301768,20983808
2021-06-20T14:29:54.078,351664135,21004288
2021-06-20T14:29:55.083,357141558,20955136
2021-06-20T14:29:56.088,362502262,20951040
2021-06-20T14:29:57.092,367890905,20959232
2021-06-20T14:29:58.097,373406500,20955136
2021-06-20T14:29:59.102,378813617,20951040
2021-06-20T14:30:00.106,384369192,20959232
2021-06-20T14:30:01.111,389990039,20975616
2021-06-20T14:30:02.116,395474718,20983808
2021-06-20T14:30:03.120,400949698,20971520
2021-06-20T14:30:04.125,406562651,21000192
2021-06-20T14:30:05.130,412046667,20971520
2021-06-20T14:30:06.134,417497493,20971520
2021-06-20T14:30:07.139,423031053,20971520
2021-06-20T14:30:08.144,428492401,20996096
2021-06-20T14:30:09.148,434061625,20992000
2021-06-20T14:30:10.153,439662461,21012480
2021-06-20T14:30:11.158,445182649,20996096
2021-06-20T14:30:12.162,450707950,20992000
2021-06-20T14:30:13.167,456091023,20983808
2021-06-20T14:30:14.172,461554246,20983808
2021-06-20T14:30:15.176,467025066,21004288
2021-06-20T14:30:16.181,472501408,21004288
2021-06-20T14:30:17.186,478114086,20992000
2021-06-20T14:30:18.191,483533377,20983808
2021-06-20T14:30:19.196,488894380,21020672
2021-06-20T14:30:20.200,496148309,21266432
2021-06-20T14:30:21.205,501499497,21274624
2021-06-20T14:30:22.209,506959485,21270528
2021-06-20T14:30:23.214,512459714,21270528
2021-06-20T14:30:24.219,517939636,21270528
2021-06-20T14:30:25.223,523475597,21262336
2021-06-20T14:30:26.228,528973223,21196800
2021-06-20T14:30:27.233,534395479,21200896
2021-06-20T14:30:28.237,539900141,21200896
2021-06-20T14:30:29.242,545369993,21200896
2021-06-20T14:30:30.246,550872186,21200896
2021-06-20T14:30:31.251,556270642,21196800
2021-06-20T14:30:32.256,561727879,21200896
2021-06-20T14:30:33.260,567227136,21213184
2021-06-20T14:30:34.265,572803685,21209088
2021-06-20T14:30:35.270,578309719,21213184
2021-06-20T14:30:36.278,583939848,21233664
2021-06-20T14:30:37.282,589346272,21196800
2021-06-20T14:30:38.287,594735900,21209088
2021-06-20T14:30:39.293,600203581,21221376
2021-06-20T14:30:40.298,605734284,21225472
2021-06-20T14:30:41.303,611208511,21200896
2021-06-20T14:30:42.308,616654864,21213184
2021-06-20T14:30:43.313,622192763,21221376
2021-06-20T14:30:44.317,627709337,21229568
2021-06-20T14:30:45.323,634716587,21229568
2021-06-20T14:30:46.328,640173759,21237760
2021-06-20T14:30:47.333,645704246,21233664
2021-06-20T14:30:48.337,651156917,21233664
2021-06-20T14:30:49.342,656750466,21237760
2021-06-20T14:30:50.347,663170528,21245952
2021-06-20T14:30:51.353,668726562,21258240
2021-06-20T14:30:52.358,674102407,21262336
2021-06-20T14:30:53.372,679495711,21254144
2021-06-20T14:30:54.376,684873125,21237760
2021-06-20T14:30:55.381,690251482,21217280
2021-06-20T14:30:56.385,695794930,21254144
2021-06-20T14:30:57.390,701189342,21217280
2021-06-20T14:30:58.405,706769361,21217280
2021-06-20T14:30:59.410,712229552,21217280
2021-06-20T14:31:00.415,717645344,21233664
2021-06-20T14:31:01.419,723155261,21245952
2021-06-20T14:31:02.424,728590096,21213184
2021-06-20T14:31:03.439,734076099,21217280
2021-06-20T14:31:04.443,739498563,21254144
2021-06-20T14:31:05.448,744838300,21250048
2021-06-20T14:31:06.453,750282641,21241856
2021-06-20T14:31:07.458,755817717,21241856
2021-06-20T14:31:08.472,761267145,21254144
2021-06-20T14:31:09.477,766755586,21250048
2021-06-20T14:31:10.482,772327057,21250048
2021-06-20T14:31:11.487,777791498,21254144
2021-06-20T14:31:12.492,783365193,21262336
2021-06-20T14:31:13.496,788937706,21262336
2021-06-20T14:31:14.501,794226608,21262336
2021-06-20T14:31:15.505,799805438,21266432
2021-06-20T14:31:16.510,805278964,21278720
2021-06-20T14:31:17.515,810703942,21266432
2021-06-20T14:31:18.520,816180764,21286912
2021-06-20T14:31:19.524,821595469,21303296
2021-06-20T14:31:20.529,828096626,21286912
2021-06-20T14:31:21.534,833479490,21295104
2021-06-20T14:31:22.538,838995049,21291008
2021-06-20T14:31:23.543,844990732,21303296
2021-06-20T14:31:24.548,850876734,21319680
2021-06-20T14:31:25.553,856631153,21319680
