"Time","CPU","Memory"
2021-06-20T14:39:26.024,84715757,3923968
2021-06-20T14:39:27.029,240737420,20873216
2021-06-20T14:39:28.034,246197973,20787200
2021-06-20T14:39:29.039,252142967,20803584
2021-06-20T14:39:30.044,257903628,20824064
2021-06-20T14:39:31.049,263531318,20815872
2021-06-20T14:39:32.053,269053589,20836352
2021-06-20T14:39:33.205,274763069,20840448
2021-06-20T14:39:34.210,280303273,20819968
2021-06-20T14:39:35.214,285889328,20819968
2021-06-20T14:39:36.219,291455033,20819968
2021-06-20T14:39:37.224,297065410,20824064
2021-06-20T14:39:38.229,302511115,20856832
2021-06-20T14:39:39.233,308102048,20869120
2021-06-20T14:39:40.240,313442207,20803584
2021-06-20T14:39:41.248,319133182,20783104
2021-06-20T14:39:42.252,324603858,20774912
2021-06-20T14:39:43.257,329914906,20799488
2021-06-20T14:39:44.262,335372971,20803584
2021-06-20T14:39:45.267,340656076,20791296
2021-06-20T14:39:46.272,346050267,20811776
2021-06-20T14:39:47.277,351651390,20815872
2021-06-20T14:39:48.282,357218943,20815872
2021-06-20T14:39:49.286,362628646,20832256
2021-06-20T14:39:50.291,368160821,20828160
2021-06-20T14:39:51.296,373724517,20828160
2021-06-20T14:39:52.301,379251429,20828160
2021-06-20T14:39:53.306,384813081,20832256
2021-06-20T14:39:54.310,390185081,20832256
2021-06-20T14:39:55.316,396438826,20885504
2021-06-20T14:39:56.321,402610122,20934656
2021-06-20T14:39:57.327,408380163,20938752
2021-06-20T14:39:58.334,413880567,20938752
2021-06-20T14:39:59.339,419458718,20946944
2021-06-20T14:40:00.345,424882233,20938752
2021-06-20T14:40:01.352,430885298,20951040
2021-06-20T14:40:02.365,436897528,21221376
2021-06-20T14:40:03.371,443878421,21110784
2021-06-20T14:40:04.379,449700855,21114880
2021-06-20T14:40:05.388,455749594,21114880
2021-06-20T14:40:06.394,461459144,21114880
2021-06-20T14:40:07.399,466782040,21118976
2021-06-20T14:40:08.407,472207356,21114880
2021-06-20T14:40:09.413,477909236,21131264
2021-06-20T14:40:10.424,483690687,21127168
2021-06-20T14:40:11.433,489666396,21110784
2021-06-20T14:40:12.439,495512552,21114880
2021-06-20T14:40:13.446,501232664,21110784
2021-06-20T14:40:14.452,506796657,21114880
2021-06-20T14:40:15.459,512571692,21114880
2021-06-20T14:40:16.468,518130501,21110784
2021-06-20T14:40:17.474,523847794,21131264
2021-06-20T14:40:18.480,529386145,21127168
2021-06-20T14:40:19.488,535101537,21147648
2021-06-20T14:40:20.494,540918030,21164032
2021-06-20T14:40:21.500,546442478,21151744
2021-06-20T14:40:22.505,551873673,21127168
2021-06-20T14:40:23.513,557510063,21127168
2021-06-20T14:40:24.518,563208509,21143552
2021-06-20T14:40:25.523,568671216,21155840
2021-06-20T14:40:26.532,574548874,21143552
2021-06-20T14:40:27.547,580221094,21127168
2021-06-20T14:40:28.555,585656551,21123072
2021-06-20T14:40:29.562,591323855,21147648
2021-06-20T14:40:30.568,597904276,21131264
2021-06-20T14:40:31.574,603552832,21110784
2021-06-20T14:40:32.579,610427124,21118976
2021-06-20T14:40:33.586,616157247,21123072
2021-06-20T14:40:34.591,621884230,21123072
2021-06-20T14:40:35.599,627619751,21118976
2021-06-20T14:40:36.605,633269374,21131264
2021-06-20T14:40:37.616,639034463,21123072
