"Time","CPU","Memory"
2021-06-20T14:39:43.103,1067521607,9043968
2021-06-20T14:39:44.109,2255653681,42205184
2021-06-20T14:39:45.114,2862193479,42201088
2021-06-20T14:39:46.206,2868009139,42201088
2021-06-20T14:39:47.210,2873758918,42225664
2021-06-20T14:39:48.215,2879180759,42209280
2021-06-20T14:39:49.219,2885141229,42242048
2021-06-20T14:39:50.224,2890827477,42213376
2021-06-20T14:39:51.229,2896617328,42229760
2021-06-20T14:39:52.237,2902102353,42237952
2021-06-20T14:39:53.241,2907619235,42237952
2021-06-20T14:39:54.246,2913373883,42270720
2021-06-20T14:39:55.251,2931638879,43147264
2021-06-20T14:39:56.256,3945696614,37945344
2021-06-20T14:39:57.263,5099686517,39165952
2021-06-20T14:39:58.269,6248488657,39481344
2021-06-20T14:39:59.277,7404596129,40325120
2021-06-20T14:40:00.284,8554887777,40230912
2021-06-20T14:40:01.292,9703987233,41107456
2021-06-20T14:40:02.298,10844728199,41394176
2021-06-20T14:40:03.304,11948997788,41656320
2021-06-20T14:40:04.310,13061451538,42422272
2021-06-20T14:40:05.320,14180016869,42745856
2021-06-20T14:40:06.325,15292532961,42614784
2021-06-20T14:40:07.332,16419883995,42958848
2021-06-20T14:40:08.340,17528620890,43134976
2021-06-20T14:40:09.346,18643577615,43360256
2021-06-20T14:40:10.351,19752753965,43565056
2021-06-20T14:40:11.357,20860636908,43880448
2021-06-20T14:40:12.372,21988782075,44347392
2021-06-20T14:40:13.382,23103639420,44331008
2021-06-20T14:40:14.387,24222098923,45326336
2021-06-20T14:40:15.393,25332950901,45326336
2021-06-20T14:40:16.398,26443796384,45400064
2021-06-20T14:40:17.414,27564311902,45518848
2021-06-20T14:40:18.420,28674478987,46120960
2021-06-20T14:40:19.435,29797116377,46186496
2021-06-20T14:40:20.441,30900347867,46383104
2021-06-20T14:40:21.447,32018901091,46366720
2021-06-20T14:40:22.498,33176349335,46481408
2021-06-20T14:40:23.506,34293167943,46518272
2021-06-20T14:40:24.524,35410642462,46960640
2021-06-20T14:40:25.531,36514053845,47071232
2021-06-20T14:40:26.538,37623831125,47173632
2021-06-20T14:40:27.551,38738684395,47751168
2021-06-20T14:40:28.560,39857619357,47788032
2021-06-20T14:40:29.567,40967524010,47796224
2021-06-20T14:40:30.577,42077100374,48541696
2021-06-20T14:40:31.583,43185440645,48758784
2021-06-20T14:40:32.589,44291150297,48922624
2021-06-20T14:40:33.594,45408840539,49012736
2021-06-20T14:40:34.608,46526847683,49537024
2021-06-20T14:40:35.614,47651066998,49643520
2021-06-20T14:40:36.621,48756794768,49754112
2021-06-20T14:40:37.626,49860629963,50196480
2021-06-20T14:40:38.631,50928465913,50315264
