"Time","CPU","Memory"
2021-06-20T14:54:00.190,317317617,34160640
2021-06-20T14:54:01.195,328901817,34869248
2021-06-20T14:54:02.199,334374407,34766848
2021-06-20T14:54:03.204,339856658,34754560
2021-06-20T14:54:04.217,345636989,34750464
2021-06-20T14:54:05.222,351373358,34738176
2021-06-20T14:54:06.227,356747073,34742272
2021-06-20T14:54:07.231,362297106,34766848
2021-06-20T14:54:08.236,367700444,34779136
2021-06-20T14:54:09.241,373182292,34807808
2021-06-20T14:54:10.246,378653723,34824192
2021-06-20T14:54:11.253,384333661,34832384
2021-06-20T14:54:12.258,389796142,34832384
2021-06-20T14:54:13.262,395433969,34848768
2021-06-20T14:54:14.267,400777483,34844672
2021-06-20T14:54:15.272,406237730,34852864
2021-06-20T14:54:16.278,411578050,34856960
2021-06-20T14:54:17.283,416876600,34885632
2021-06-20T14:54:18.288,422396708,34816000
2021-06-20T14:54:19.293,427892610,34836480
2021-06-20T14:54:20.305,433480757,34807808
2021-06-20T14:54:21.310,438998945,34795520
2021-06-20T14:54:22.315,444501240,34811904
2021-06-20T14:54:23.319,449848817,34795520
2021-06-20T14:54:24.324,455163774,34807808
2021-06-20T14:54:25.329,460727136,34803712
2021-06-20T14:54:26.334,466152095,34807808
2021-06-20T14:54:27.338,471673225,34803712
2021-06-20T14:54:28.343,477247949,34820096
2021-06-20T14:54:29.348,482514364,34840576
2021-06-20T14:54:30.353,488140084,34856960
2021-06-20T14:54:31.358,493686218,34865152
2021-06-20T14:54:32.363,499055893,34865152
2021-06-20T14:54:33.368,504577555,34852864
2021-06-20T14:54:34.373,510092197,34848768
2021-06-20T14:54:35.377,515533902,34856960
2021-06-20T14:54:36.382,521002886,34852864
2021-06-20T14:54:37.387,526647571,34869248
2021-06-20T14:54:38.392,532026274,34869248
2021-06-20T14:54:39.397,537460634,34881536
2021-06-20T14:54:40.402,542905912,34881536
2021-06-20T14:54:41.406,548592192,34873344
