"Time","CPU","Memory"
2021-06-20T14:56:07.531,113228322,12267520
2021-06-20T14:56:08.536,172050245,21323776
2021-06-20T14:56:09.541,264454599,30658560
2021-06-20T14:56:10.546,293519737,33619968
2021-06-20T14:56:11.551,299202468,33636352
2021-06-20T14:56:12.556,304731749,33624064
2021-06-20T14:56:13.594,310396702,33636352
2021-06-20T14:56:14.599,315707139,33628160
2021-06-20T14:56:15.605,321228647,33665024
2021-06-20T14:56:16.609,326809794,33665024
2021-06-20T14:56:17.615,332124378,33660928
2021-06-20T14:56:18.619,337571828,33665024
2021-06-20T14:56:19.625,343284555,33681408
2021-06-20T14:56:20.630,348589251,33685504
2021-06-20T14:56:21.635,354213120,33693696
2021-06-20T14:56:22.640,359531521,33714176
2021-06-20T14:56:23.645,365047314,33714176
2021-06-20T14:56:24.650,370789194,33701888
2021-06-20T14:56:25.654,376359910,33710080
2021-06-20T14:56:26.659,381759480,33726464
2021-06-20T14:56:27.664,387112335,33726464
2021-06-20T14:56:28.669,392968036,33730560
2021-06-20T14:56:29.674,398531458,33726464
2021-06-20T14:56:30.679,404008835,33714176
2021-06-20T14:56:31.684,409566176,33730560
2021-06-20T14:56:32.688,979835972,34103296
2021-06-20T14:56:33.694,1993359470,33955840
2021-06-20T14:56:34.699,3005133185,34099200
2021-06-20T14:56:35.704,4016025713,34070528
2021-06-20T14:56:36.717,5038509253,34054144
2021-06-20T14:56:37.723,6051620760,34045952
2021-06-20T14:56:38.729,7059568469,34070528
2021-06-20T14:56:39.734,8076533432,34062336
2021-06-20T14:56:40.740,9083046423,34111488
2021-06-20T14:56:41.753,10103678894,33927168
2021-06-20T14:56:42.758,11117779344,34062336
2021-06-20T14:56:43.763,12127052887,34078720
2021-06-20T14:56:44.768,13136660708,34058240
2021-06-20T14:56:45.774,14153026542,33988608
2021-06-20T14:56:46.784,15167357832,34115584
2021-06-20T14:56:47.793,16178408240,34078720
2021-06-20T14:56:48.798,17199422543,33996800
2021-06-20T14:56:49.804,18211894776,33964032
2021-06-20T14:56:50.809,19222678207,34037760
2021-06-20T14:56:51.828,20245726828,34004992
2021-06-20T14:56:52.833,21256726871,34054144
2021-06-20T14:56:53.851,22280314067,33959936
2021-06-20T14:56:54.870,23309681173,34004992
2021-06-20T14:56:55.876,24323282751,34025472
2021-06-20T14:56:56.885,25338587141,34107392
2021-06-20T14:56:57.890,26353273010,34004992
2021-06-20T14:56:58.902,27370213882,34304000
2021-06-20T14:56:59.907,28385861128,34324480
2021-06-20T14:57:00.913,29396901289,34213888
2021-06-20T14:57:01.918,30411012312,34148352
2021-06-20T14:57:02.923,31422297099,34226176
2021-06-20T14:57:03.928,32431088925,34349056
2021-06-20T14:57:04.944,33454662720,34328576
2021-06-20T14:57:05.949,34466314237,34250752
2021-06-20T14:57:06.954,35482279936,34250752
2021-06-20T14:57:07.960,36494254164,34353152
2021-06-20T14:57:08.965,37504946606,34234368
2021-06-20T14:57:09.972,38519879053,34291712
2021-06-20T14:57:10.980,39525365604,34275328
2021-06-20T14:57:11.998,40548676859,34238464
2021-06-20T14:57:13.003,41563307533,34263040
2021-06-20T14:57:14.011,42577000963,34385920
2021-06-20T14:57:15.021,43595006449,34217984
