"Time","CPU","Memory"
2021-06-20T14:56:01.893,367802704,39157760
2021-06-20T14:56:02.899,398285895,40218624
2021-06-20T14:56:03.904,404603409,40161280
2021-06-20T14:56:04.910,410788648,40161280
2021-06-20T14:56:05.915,417115280,40161280
2021-06-20T14:56:06.920,423562953,40169472
2021-06-20T14:56:07.925,429812935,40181760
2021-06-20T14:56:08.934,436086186,40177664
2021-06-20T14:56:09.939,442551727,40202240
2021-06-20T14:56:10.944,448726204,40198144
2021-06-20T14:56:11.949,455022252,40185856
2021-06-20T14:56:12.954,461206958,40181760
2021-06-20T14:56:13.959,467362443,40198144
2021-06-20T14:56:14.965,473503290,40202240
2021-06-20T14:56:16.043,479677729,39694336
2021-06-20T14:56:17.049,486414113,39686144
2021-06-20T14:56:18.054,492511983,39686144
2021-06-20T14:56:19.059,498632215,39690240
2021-06-20T14:56:20.064,504758160,39694336
2021-06-20T14:56:21.069,510979992,39710720
2021-06-20T14:56:22.075,517090933,39694336
2021-06-20T14:56:23.080,523422536,39706624
2021-06-20T14:56:24.085,529547093,39710720
2021-06-20T14:56:25.090,535667911,39714816
2021-06-20T14:56:26.095,541842183,39727104
2021-06-20T14:56:27.101,548103926,39776256
2021-06-20T14:56:28.107,554026122,39780352
2021-06-20T14:56:29.112,560222340,39780352
2021-06-20T14:56:30.117,566467757,39743488
2021-06-20T14:56:31.123,572693406,39751680
2021-06-20T14:56:32.130,579451625,39886848
2021-06-20T14:56:33.135,609691855,40370176
2021-06-20T14:56:34.153,629301896,40333312
2021-06-20T14:56:35.159,645088913,40329216
2021-06-20T14:56:36.165,662188531,40337408
2021-06-20T14:56:37.171,680433905,40431616
2021-06-20T14:56:38.177,696098412,40452096
2021-06-20T14:56:39.195,714612399,40402944
2021-06-20T14:56:40.201,730814823,40423424
2021-06-20T14:56:41.207,748139503,40374272
2021-06-20T14:56:42.213,766264077,40374272
2021-06-20T14:56:43.220,782093178,40370176
2021-06-20T14:56:44.238,799460500,40370176
2021-06-20T14:56:45.243,815442969,40374272
2021-06-20T14:56:46.249,832368251,40370176
2021-06-20T14:56:47.255,849429687,40370176
2021-06-20T14:56:48.261,867521538,40390656
2021-06-20T14:56:49.267,885674085,40370176
2021-06-20T14:56:50.273,902712536,40374272
2021-06-20T14:56:51.279,919745741,40370176
2021-06-20T14:56:52.287,938025793,40374272
2021-06-20T14:56:53.294,956353419,40374272
2021-06-20T14:56:54.301,977027273,40374272
2021-06-20T14:56:55.308,995368982,40390656
2021-06-20T14:56:56.314,1015302797,40390656
2021-06-20T14:56:57.321,1033847476,40407040
2021-06-20T14:56:58.327,1050982228,40484864
2021-06-20T14:56:59.333,1070320727,40529920
2021-06-20T14:57:00.340,1086415582,40423424
2021-06-20T14:57:01.346,1104759764,40542208
2021-06-20T14:57:02.352,1123003927,40460288
2021-06-20T14:57:03.358,1142472666,40427520
2021-06-20T14:57:04.363,1160648790,40423424
2021-06-20T14:57:05.371,1177735305,40411136
2021-06-20T14:57:06.377,1195202797,40407040
2021-06-20T14:57:07.385,1213441068,40456192
2021-06-20T14:57:08.391,1229459648,40542208
2021-06-20T14:57:09.397,1244064591,40419328
2021-06-20T14:57:10.403,1262412382,40423424
2021-06-20T14:57:11.409,1278155524,40423424
2021-06-20T14:57:12.415,1295542894,40411136
2021-06-20T14:57:13.421,1315108938,40411136
2021-06-20T14:57:14.427,1330985456,40501248
2021-06-20T14:57:15.432,1349227948,40407040
