"Time","CPU","Memory"
2021-06-20T14:56:25.198,121744805,23474176
2021-06-20T14:56:26.203,1173780623,27209728
2021-06-20T14:56:27.209,2372667923,49483776
2021-06-20T14:56:28.215,2939000438,70234112
2021-06-20T14:56:29.220,2974505884,75108352
2021-06-20T14:56:30.228,2982585041,75161600
2021-06-20T14:56:31.233,2988448136,75177984
2021-06-20T14:56:32.238,3108849221,76177408
2021-06-20T14:56:33.246,4148829097,76570624
2021-06-20T14:56:34.251,5183525953,76783616
2021-06-20T14:56:35.257,6214858959,77004800
2021-06-20T14:56:36.262,7242020373,77320192
2021-06-20T14:56:37.268,8277333570,77529088
2021-06-20T14:56:38.274,9308969015,77783040
2021-06-20T14:56:39.279,10344522793,77864960
2021-06-20T14:56:40.285,11378338889,78262272
2021-06-20T14:56:41.290,12413274122,78372864
2021-06-20T14:56:42.296,13450165253,78663680
2021-06-20T14:56:43.307,14487400274,78925824
2021-06-20T14:56:44.314,15515952940,79257600
2021-06-20T14:56:45.320,16548679663,79466496
2021-06-20T14:56:46.327,17571527842,79507456
2021-06-20T14:56:47.345,18619685384,79937536
2021-06-20T14:56:48.351,19651480722,80068608
2021-06-20T14:56:49.357,20684964844,80232448
2021-06-20T14:56:50.362,21721209821,80482304
2021-06-20T14:56:51.368,22752991542,80683008
2021-06-20T14:56:52.380,23790523249,80953344
2021-06-20T14:56:53.385,24820157771,81321984
2021-06-20T14:56:54.391,25853722199,81428480
2021-06-20T14:56:55.397,26889800941,81625088
2021-06-20T14:56:56.402,27916044550,81883136
2021-06-20T14:56:57.420,28967155540,82116608
2021-06-20T14:56:58.426,29995340673,82309120
2021-06-20T14:56:59.431,31030147519,82497536
2021-06-20T14:57:00.437,32054863210,82812928
2021-06-20T14:57:01.442,33087733266,82948096
2021-06-20T14:57:02.454,34126550568,83247104
2021-06-20T14:57:03.460,35164899024,83546112
2021-06-20T14:57:04.466,36197064555,83791872
2021-06-20T14:57:05.472,37227763058,84000768
2021-06-20T14:57:06.477,38249044231,84119552
2021-06-20T14:57:07.487,39288222258,84312064
2021-06-20T14:57:08.492,40325459120,84615168
2021-06-20T14:57:09.498,41349368286,84951040
2021-06-20T14:57:10.504,42384297444,85028864
2021-06-20T14:57:11.511,43416782798,85266432
2021-06-20T14:57:12.521,44460187148,85651456
2021-06-20T14:57:13.528,45493423287,85868544
2021-06-20T14:57:14.534,46521928715,85921792
2021-06-20T14:57:15.539,47547184632,85909504
2021-06-20T14:57:16.546,48575953640,85925888
