"Time","CPU","Memory"
2021-06-18T13:43:20.663,123232381,8310784
2021-06-18T13:43:21.667,128671285,8228864
2021-06-18T13:43:22.672,133971976,8249344
2021-06-18T13:43:23.677,139284206,8269824
2021-06-18T13:43:24.681,144672376,8257536
2021-06-18T13:43:25.686,150217995,8286208
2021-06-18T13:43:26.691,155510553,8302592
2021-06-18T13:43:27.696,161254174,8310784
2021-06-18T13:43:28.700,166739775,8310784
2021-06-18T13:43:29.706,172171699,8302592
2021-06-18T13:43:30.711,177729766,8310784
2021-06-18T13:43:31.716,183068386,8310784
2021-06-18T13:43:32.721,188197031,8318976
2021-06-18T13:43:33.729,193556752,8372224
2021-06-18T13:43:34.734,198787758,8339456
2021-06-18T13:43:35.739,204181824,8331264
2021-06-18T13:43:36.744,209505240,8339456
2021-06-18T13:43:37.748,214757229,8339456
2021-06-18T13:43:38.753,220054853,8339456
2021-06-18T13:43:39.758,225311276,8335360
2021-06-18T13:43:40.763,230736091,8351744
2021-06-18T13:43:41.767,236200144,8368128
2021-06-18T13:43:42.772,241486402,8368128
2021-06-18T13:43:43.776,246821283,8364032
2021-06-18T13:43:44.781,252049653,8372224
2021-06-18T13:43:45.786,257450425,8372224
2021-06-18T13:43:46.791,262916349,8372224
2021-06-18T13:43:47.795,268261092,8368128
2021-06-18T13:43:48.800,273725056,8368128
2021-06-18T13:43:49.805,279095703,8351744
2021-06-18T13:43:50.826,880990400,9007104
2021-06-18T13:43:51.842,1813763384,9146368
2021-06-18T13:43:52.859,2757963309,9048064
2021-06-18T13:43:53.877,3689086172,9007104
2021-06-18T13:43:54.902,4610899561,9023488
2021-06-18T13:43:55.913,5540120932,8937472
2021-06-18T13:43:56.930,6456794286,9019392
2021-06-18T13:43:57.951,7348945115,8933376
2021-06-18T13:43:58.970,8233494894,8921088
2021-06-18T13:43:59.979,9099632650,8990720
2021-06-18T13:44:00.998,9999998982,9068544
2021-06-18T13:44:02.007,10927866490,9023488
2021-06-18T13:44:03.034,11877087932,9068544
2021-06-18T13:44:04.046,12808841806,9162752
2021-06-18T13:44:05.058,13758755363,8986624
2021-06-18T13:44:06.074,14703226520,9060352
2021-06-18T13:44:07.085,15608196195,9039872
2021-06-18T13:44:08.097,16543328701,9007104
2021-06-18T13:44:09.116,17496637961,8974336
2021-06-18T13:44:10.141,18450022453,9064448
2021-06-18T13:44:11.157,19386010367,8945664
2021-06-18T13:44:12.167,20345087540,8974336
2021-06-18T13:44:13.190,21309330252,9052160
2021-06-18T13:44:14.202,22205815893,9068544
2021-06-18T13:44:15.220,23132427051,8962048
2021-06-18T13:44:16.236,24103553463,8941568
2021-06-18T13:44:17.248,24990684137,8970240
2021-06-18T13:44:18.260,25898677685,8974336
2021-06-18T13:44:19.279,26827951812,8896512
2021-06-18T13:44:20.293,27705841599,8990720
2021-06-18T13:44:21.313,28625397681,8925184
2021-06-18T13:44:22.337,29560124101,8945664
2021-06-18T13:44:23.357,30518659147,8896512
2021-06-18T13:44:24.367,31441937464,8892416
2021-06-18T13:44:25.393,32375935549,9031680
2021-06-18T13:44:26.409,33338987114,9019392
2021-06-18T13:44:27.428,34231094817,9011200
2021-06-18T13:44:28.447,35170983090,8986624
2021-06-18T13:44:29.460,36050424988,8867840
