"Time","CPU","Memory"
2021-06-18T13:43:32.581,1088239054,9113600
2021-06-18T13:43:33.586,2266110785,42184704
2021-06-18T13:43:34.591,2893230696,42176512
2021-06-18T13:43:35.596,2898933167,42225664
2021-06-18T13:43:36.601,2904725993,42274816
2021-06-18T13:43:37.609,2910185617,42299392
2021-06-18T13:43:38.617,2915980178,42319872
2021-06-18T13:43:39.621,2921776857,42319872
2021-06-18T13:43:40.626,2927459695,42250240
2021-06-18T13:43:41.631,2933241058,42270720
2021-06-18T13:43:42.635,2939077371,42262528
2021-06-18T13:43:43.640,2945149715,42262528
2021-06-18T13:43:44.645,2950804602,42278912
2021-06-18T13:43:45.650,2956689241,42287104
2021-06-18T13:43:46.654,2962459379,42319872
2021-06-18T13:43:47.667,2968012095,42315776
2021-06-18T13:43:48.672,2973964619,42303488
2021-06-18T13:43:49.676,2979666390,42315776
2021-06-18T13:43:50.690,3516160907,43368448
2021-06-18T13:43:51.723,4437816823,43364352
2021-06-18T13:43:52.750,5355539719,43401216
2021-06-18T13:43:53.756,6268754930,43483136
2021-06-18T13:43:54.778,7129957959,43732992
2021-06-18T13:43:55.791,8054564781,43659264
2021-06-18T13:43:56.816,9001769060,43708416
2021-06-18T13:43:57.838,9913623451,43798528
2021-06-18T13:43:58.858,10821568707,43937792
2021-06-18T13:43:59.880,11740554327,43884544
2021-06-18T13:44:00.899,12653755329,43974656
2021-06-18T13:44:01.923,13582868163,43974656
2021-06-18T13:44:02.938,14479593444,44048384
2021-06-18T13:44:03.949,15401122068,44101632
2021-06-18T13:44:04.967,16324528911,44175360
2021-06-18T13:44:05.990,17236120401,44187648
2021-06-18T13:44:07.010,18167034489,44265472
2021-06-18T13:44:08.035,19083940620,44343296
2021-06-18T13:44:09.067,19990965535,44417024
2021-06-18T13:44:10.094,20914247246,44470272
2021-06-18T13:44:11.100,21806947637,44490752
2021-06-18T13:44:12.116,22666897574,44560384
2021-06-18T13:44:13.129,23576312542,44634112
2021-06-18T13:44:14.150,24513775221,44707840
2021-06-18T13:44:15.170,25447751634,44781568
2021-06-18T13:44:16.191,26354431402,44797952
2021-06-18T13:44:17.207,27300437239,44998656
2021-06-18T13:44:18.222,28184833583,44929024
2021-06-18T13:44:19.245,29113736921,45010944
2021-06-18T13:44:20.270,30031420426,45088768
2021-06-18T13:44:21.294,30966856047,45142016
2021-06-18T13:44:22.322,31887655886,45146112
2021-06-18T13:44:23.341,32821245106,45244416
2021-06-18T13:44:24.359,33722043748,45322240
2021-06-18T13:44:25.381,34629466090,45355008
2021-06-18T13:44:26.412,35548253050,45387776
2021-06-18T13:44:27.438,36493007730,45404160
2021-06-18T13:44:28.455,37389569037,45445120
2021-06-18T13:44:29.465,38153843137,45457408
2021-06-18T13:44:30.483,38789931407,45477888
