"Time","CPU","Memory"
2021-06-20T15:08:37.316,100775610,3956736
2021-06-20T15:08:38.321,253337838,20905984
2021-06-20T15:08:39.326,259112708,20815872
2021-06-20T15:08:40.331,264748717,20819968
2021-06-20T15:08:41.336,270470636,20811776
2021-06-20T15:08:42.341,275980032,20824064
2021-06-20T15:08:43.345,281653843,20840448
2021-06-20T15:08:44.350,286968110,20828160
2021-06-20T15:08:45.355,292510505,20832256
2021-06-20T15:08:46.360,298062489,20832256
2021-06-20T15:08:47.365,303792119,20848640
2021-06-20T15:08:48.370,309460816,20869120
2021-06-20T15:08:49.374,314869517,20869120
2021-06-20T15:08:50.384,320474488,20836352
2021-06-20T15:08:51.395,326505155,20832256
2021-06-20T15:08:52.401,332549081,20832256
2021-06-20T15:08:53.406,338124430,20836352
2021-06-20T15:08:54.411,343427549,20852736
2021-06-20T15:08:55.507,349332347,20856832
2021-06-20T15:08:56.512,355034162,20873216
2021-06-20T15:08:57.517,360698380,20873216
2021-06-20T15:08:58.522,366368504,20901888
2021-06-20T15:08:59.527,371899177,20910080
2021-06-20T15:09:00.532,377508683,20865024
2021-06-20T15:09:01.537,383183898,20865024
2021-06-20T15:09:02.542,388857480,20865024
2021-06-20T15:09:03.547,394552511,20873216
2021-06-20T15:09:04.552,400032444,20885504
2021-06-20T15:09:05.557,405847374,20852736
2021-06-20T15:09:06.561,411538742,20865024
2021-06-20T15:09:07.566,417121072,20848640
2021-06-20T15:09:08.571,422895921,20856832
2021-06-20T15:09:09.576,428910618,20869120
2021-06-20T15:09:10.581,434553595,20885504
2021-06-20T15:09:11.586,440149199,20901888
2021-06-20T15:09:12.591,445682668,20914176
2021-06-20T15:09:13.596,451220644,20893696
2021-06-20T15:09:14.601,456905944,20914176
2021-06-20T15:09:15.605,462465033,20885504
2021-06-20T15:09:16.610,468131321,20905984
2021-06-20T15:09:17.615,473610427,20930560
2021-06-20T15:09:18.620,479152992,20942848
2021-06-20T15:09:19.625,486838856,21213184
2021-06-20T15:09:20.630,492467211,21168128
2021-06-20T15:09:21.635,498243247,21155840
2021-06-20T15:09:22.640,503756484,21151744
2021-06-20T15:09:23.652,1032765798,21307392
2021-06-20T15:09:24.667,1929445793,21393408
2021-06-20T15:09:25.689,2851879901,21377024
2021-06-20T15:09:26.710,3735243029,21303296
2021-06-20T15:09:27.728,4630781436,21422080
2021-06-20T15:09:28.747,5558611609,21417984
2021-06-20T15:09:29.769,6457360008,21422080
2021-06-20T15:09:30.788,7362310177,21299200
2021-06-20T15:09:31.800,8265923802,21442560
2021-06-20T15:09:32.818,9171813169,21331968
2021-06-20T15:09:33.834,10070537806,21422080
2021-06-20T15:09:34.856,10968770071,21381120
2021-06-20T15:09:35.866,11894423693,21438464
2021-06-20T15:09:36.884,12800495959,21520384
2021-06-20T15:09:37.912,13718654551,21311488
2021-06-20T15:09:38.928,14615244164,21512192
2021-06-20T15:09:39.946,15581803528,21401600
2021-06-20T15:09:40.962,16527883986,21528576
2021-06-20T15:09:41.980,17438469420,21405696
2021-06-20T15:09:42.996,18359814057,21344256
2021-06-20T15:09:44.011,19246627073,21422080
2021-06-20T15:09:45.032,20218422916,21401600
2021-06-20T15:09:46.045,21150069770,21499904
2021-06-20T15:09:47.067,22031282177,21409792
2021-06-20T15:09:48.081,22938389588,21536768
2021-06-20T15:09:49.098,23865956257,21520384
2021-06-20T15:09:50.115,24847339378,21442560
2021-06-20T15:09:51.140,25748733932,21483520
2021-06-20T15:09:52.152,26653312908,21585920
2021-06-20T15:09:53.168,27545683100,21483520
2021-06-20T15:09:54.188,28444356863,21487616
2021-06-20T15:09:55.208,29341572889,21516288
2021-06-20T15:09:56.231,30277171680,21479424
2021-06-20T15:09:57.251,31171725844,21397504
2021-06-20T15:09:58.264,32095293551,21417984
2021-06-20T15:09:59.279,32987884876,21467136
2021-06-20T15:10:00.294,33880473655,21553152
2021-06-20T15:10:01.324,34833487813,21585920
2021-06-20T15:10:02.341,35754460597,21622784
2021-06-20T15:10:03.352,36687397357,21565440
2021-06-20T15:10:04.369,37572344956,21409792
2021-06-20T15:10:05.392,38505829705,21463040
2021-06-20T15:10:06.405,39408210186,21352448
