"Time","CPU","Memory"
2021-06-21T07:50:21.137,97004480,4071424
2021-06-21T07:50:22.142,251880859,20897792
2021-06-21T07:50:23.147,257352970,20787200
2021-06-21T07:50:24.151,262870316,20807680
2021-06-21T07:50:25.156,268406320,20807680
2021-06-21T07:50:26.161,274031505,20811776
2021-06-21T07:50:27.166,279614642,20828160
2021-06-21T07:50:28.171,285238208,20824064
2021-06-21T07:50:29.175,290770529,20832256
2021-06-21T07:50:30.335,296526193,20832256
2021-06-21T07:50:31.339,302063093,20836352
2021-06-21T07:50:32.344,307534286,20836352
2021-06-21T07:50:33.349,313006422,20828160
2021-06-21T07:50:34.354,318583040,20824064
2021-06-21T07:50:35.358,323921898,20832256
2021-06-21T07:50:36.363,329441930,20865024
2021-06-21T07:50:37.368,335005065,20865024
2021-06-21T07:50:38.373,340672508,20865024
2021-06-21T07:50:39.379,346308568,20856832
2021-06-21T07:50:40.384,351669887,20889600
2021-06-21T07:50:41.389,357015379,20918272
2021-06-21T07:50:42.394,362715616,20910080
2021-06-21T07:50:43.399,368236447,20901888
2021-06-21T07:50:44.404,373949348,20852736
2021-06-21T07:50:45.409,379563792,20828160
2021-06-21T07:50:46.413,385069364,20844544
2021-06-21T07:50:47.418,390661814,20836352
2021-06-21T07:50:48.423,396083840,20844544
2021-06-21T07:50:49.428,401705704,20856832
2021-06-21T07:50:50.432,407264370,20869120
2021-06-21T07:50:51.444,729016260,21282816
2021-06-21T07:50:52.460,1641529495,21213184
2021-06-21T07:50:53.472,2554923336,21372928
2021-06-21T07:50:54.492,3506323445,21184512
2021-06-21T07:50:55.506,4369412065,21200896
2021-06-21T07:50:56.531,5281966875,21164032
2021-06-21T07:50:57.546,6190372549,21168128
2021-06-21T07:50:58.563,7073758444,21319680
2021-06-21T07:50:59.580,7975921780,21286912
2021-06-21T07:51:00.598,8896065433,21295104
2021-06-21T07:51:01.616,9808035208,21327872
2021-06-21T07:51:02.632,10735014978,21315584
2021-06-21T07:51:03.637,11653515787,21262336
2021-06-21T07:51:04.668,12534111450,21307392
2021-06-21T07:51:05.688,13451275767,21192704
2021-06-21T07:51:06.702,14331244811,21291008
2021-06-21T07:51:07.717,15235602800,21192704
2021-06-21T07:51:08.730,16132564551,21311488
2021-06-21T07:51:09.738,17014948851,21377024
2021-06-21T07:51:10.752,17893055248,21323776
2021-06-21T07:51:11.757,18840216944,21196800
2021-06-21T07:51:12.765,19735867127,21667840
2021-06-21T07:51:13.779,20637570551,21590016
2021-06-21T07:51:14.796,21540422396,21491712
2021-06-21T07:51:15.812,22427821324,21504000
2021-06-21T07:51:16.817,23294395018,21458944
2021-06-21T07:51:17.832,24179735072,21475328
2021-06-21T07:51:18.841,25155573960,21491712
2021-06-21T07:51:19.850,26128331882,21405696
2021-06-21T07:51:20.863,27074557266,21520384
2021-06-21T07:51:21.875,27994935091,21397504
2021-06-21T07:51:22.883,28940741066,21434368
2021-06-21T07:51:23.890,29874541597,21487616
2021-06-21T07:51:24.901,30741715045,21655552
2021-06-21T07:51:25.912,31621850990,21549056
2021-06-21T07:51:26.936,32539434733,21491712
2021-06-21T07:51:27.952,33449199865,21561344
2021-06-21T07:51:28.972,34348097831,21532672
2021-06-21T07:51:29.984,35232848103,21508096
2021-06-21T07:51:30.989,36135305353,21581824
2021-06-21T07:51:32.004,37036191323,21413888
2021-06-21T07:51:33.013,37928725358,21471232
2021-06-21T07:51:34.021,38789464902,21630976
