"Time","CPU","Memory"
2021-06-21T07:50:19.592,362071063,39006208
2021-06-21T07:50:20.598,388766827,40214528
2021-06-21T07:50:21.603,394978378,40071168
2021-06-21T07:50:22.608,401119452,40075264
2021-06-21T07:50:23.613,407264140,40218624
2021-06-21T07:50:24.618,413545479,40124416
2021-06-21T07:50:25.623,419609681,40136704
2021-06-21T07:50:26.628,425811984,40148992
2021-06-21T07:50:27.633,431904761,40157184
2021-06-21T07:50:28.638,438036780,40169472
2021-06-21T07:50:29.643,444250277,40194048
2021-06-21T07:50:30.718,450866530,40189952
2021-06-21T07:50:31.723,456932825,40173568
2021-06-21T07:50:32.728,463198568,40185856
2021-06-21T07:50:33.733,469375304,40189952
2021-06-21T07:50:34.738,475380731,40194048
2021-06-21T07:50:35.744,481587650,40194048
2021-06-21T07:50:36.750,488051597,40181760
2021-06-21T07:50:37.755,494073839,40194048
2021-06-21T07:50:38.760,500318259,40194048
2021-06-21T07:50:39.765,506413546,40210432
2021-06-21T07:50:40.770,512512973,40194048
2021-06-21T07:50:41.775,518703162,40194048
2021-06-21T07:50:42.780,524795284,40206336
2021-06-21T07:50:43.785,530898720,40194048
2021-06-21T07:50:44.790,537000906,40210432
2021-06-21T07:50:45.796,543297150,40214528
2021-06-21T07:50:46.801,549519212,40210432
2021-06-21T07:50:47.806,555773470,40181760
2021-06-21T07:50:48.814,562152192,40173568
2021-06-21T07:50:49.819,568273534,40189952
2021-06-21T07:50:50.824,574437813,40189952
2021-06-21T07:50:51.829,622455068,40771584
2021-06-21T07:50:52.842,675759225,40779776
2021-06-21T07:50:53.847,730566931,40779776
2021-06-21T07:50:54.855,784834920,40796160
2021-06-21T07:50:55.863,826366095,40796160
2021-06-21T07:50:56.869,868402926,40800256
2021-06-21T07:50:57.884,922641439,40775680
2021-06-21T07:50:58.889,965864201,40775680
2021-06-21T07:50:59.895,1012485842,40779776
2021-06-21T07:51:00.907,1064315772,40783872
2021-06-21T07:51:01.912,1110223484,40787968
2021-06-21T07:51:02.917,1158353212,40800256
2021-06-21T07:51:03.922,1202054581,40804352
2021-06-21T07:51:04.928,1250065849,40820736
2021-06-21T07:51:05.933,1289846660,40808448
2021-06-21T07:51:06.938,1333425898,40796160
2021-06-21T07:51:07.943,1376717322,40796160
2021-06-21T07:51:08.948,1416317549,40800256
2021-06-21T07:51:09.953,1460583557,40800256
2021-06-21T07:51:10.958,1517883437,40800256
2021-06-21T07:51:11.969,1578003664,40804352
2021-06-21T07:51:12.975,1622851382,40804352
2021-06-21T07:51:13.985,1664902847,40824832
2021-06-21T07:51:14.991,1717687138,40824832
2021-06-21T07:51:15.996,1763792523,40841216
2021-06-21T07:51:17.001,1810039592,40824832
2021-06-21T07:51:18.009,1864692778,40808448
2021-06-21T07:51:19.019,1931668925,40812544
2021-06-21T07:51:20.024,1998023642,40824832
2021-06-21T07:51:21.034,2055972698,40820736
2021-06-21T07:51:22.039,2109977793,40820736
2021-06-21T07:51:23.073,2190599977,40824832
2021-06-21T07:51:24.078,2241613909,40841216
2021-06-21T07:51:25.083,2289961934,40845312
2021-06-21T07:51:26.088,2329441761,40820736
2021-06-21T07:51:27.093,2376409441,40828928
2021-06-21T07:51:28.098,2425880825,40816640
2021-06-21T07:51:29.104,2475877451,40816640
2021-06-21T07:51:30.110,2523363357,40833024
2021-06-21T07:51:31.115,2570081619,40849408
2021-06-21T07:51:32.120,2618757018,40849408
2021-06-21T07:51:33.125,2664300837,40833024
2021-06-21T07:51:34.130,2702699334,40816640
