"Time","CPU","Memory"
2021-06-21T07:57:18.328,99155638,3969024
2021-06-21T07:57:19.334,254597080,20971520
2021-06-21T07:57:20.341,262247772,20881408
2021-06-21T07:57:21.345,268028284,20836352
2021-06-21T07:57:22.350,273533766,20832256
2021-06-21T07:57:23.355,278996517,20840448
2021-06-21T07:57:24.359,284528767,20832256
2021-06-21T07:57:25.364,289892630,20832256
2021-06-21T07:57:26.369,295340748,20840448
2021-06-21T07:57:27.373,300850377,20844544
2021-06-21T07:57:28.378,306454431,20856832
2021-06-21T07:57:29.383,312096948,20897792
2021-06-21T07:57:30.388,317842001,20897792
2021-06-21T07:57:31.393,323273345,20873216
2021-06-21T07:57:32.397,328804938,20881408
2021-06-21T07:57:33.402,334333453,20901888
2021-06-21T07:57:34.407,339991929,20889600
2021-06-21T07:57:35.412,345636709,20840448
2021-06-21T07:57:36.417,351308257,20832256
2021-06-21T07:57:37.422,356676943,20836352
2021-06-21T07:57:38.426,362088223,20832256
2021-06-21T07:57:39.431,367526416,20840448
2021-06-21T07:57:40.436,373079632,20840448
2021-06-21T07:57:41.441,378651894,20844544
2021-06-21T07:57:42.445,384305187,20852736
2021-06-21T07:57:43.450,389730922,20844544
2021-06-21T07:57:44.455,395187006,20865024
2021-06-21T07:57:45.460,400759484,20865024
2021-06-21T07:57:46.464,406153981,20860928
2021-06-21T07:57:47.469,411621809,20873216
2021-06-21T07:57:48.474,417091569,20869120
2021-06-21T07:57:49.478,422449420,20873216
2021-06-21T07:57:50.483,427916808,20889600
2021-06-21T07:57:51.488,433523692,20897792
2021-06-21T07:57:52.493,438913141,20901888
2021-06-21T07:57:53.498,444398900,20910080
2021-06-21T07:57:54.502,449813791,20856832
2021-06-21T07:57:55.538,554569897,21102592
2021-06-21T07:57:56.543,1566454239,21184512
2021-06-21T07:57:57.549,2578059241,21164032
2021-06-21T07:57:58.554,3590225526,21131264
2021-06-21T07:57:59.560,4601858279,21282816
2021-06-21T07:58:00.565,5612838038,21151744
2021-06-21T07:58:01.570,6626681102,21184512
2021-06-21T07:58:02.576,7633968439,21184512
2021-06-21T07:58:03.581,8645968475,21180416
2021-06-21T07:58:04.586,9664029497,21204992
2021-06-21T07:58:05.592,10676461386,21143552
2021-06-21T07:58:06.606,11699590220,21176320
2021-06-21T07:58:07.613,12712427189,21168128
2021-06-21T07:58:08.620,13722031296,21065728
2021-06-21T07:58:09.625,14735148921,21278720
2021-06-21T07:58:10.630,15751468784,21274624
2021-06-21T07:58:11.647,16772348545,21278720
2021-06-21T07:58:12.652,17783864055,21123072
2021-06-21T07:58:13.658,18799856673,21118976
2021-06-21T07:58:14.664,19812450049,21106688
2021-06-21T07:58:15.669,20824505522,21147648
2021-06-21T07:58:16.681,21847468783,21114880
2021-06-21T07:58:17.686,22862131175,21180416
2021-06-21T07:58:18.691,23873609502,21118976
2021-06-21T07:58:19.697,24885710634,21127168
2021-06-21T07:58:20.702,25901235000,21098496
2021-06-21T07:58:21.707,26910119884,21151744
2021-06-21T07:58:22.713,27919903587,21073920
2021-06-21T07:58:23.718,28934309423,21172224
2021-06-21T07:58:24.725,29944527145,21299200
2021-06-21T07:58:25.731,30958520257,21164032
2021-06-21T07:58:26.736,31970426591,21200896
2021-06-21T07:58:27.741,32983549171,21131264
2021-06-21T07:58:28.747,33976558659,21110784
2021-06-21T07:58:29.752,34991779903,21200896
2021-06-21T07:58:30.765,36007811424,21192704
2021-06-21T07:58:31.770,37022413984,21286912
2021-06-21T07:58:32.776,38033888159,21254144
2021-06-21T07:58:33.781,39046855465,21225472
2021-06-21T07:58:34.786,40062289882,21307392
2021-06-21T07:58:35.823,41103103828,21221376
2021-06-21T07:58:36.828,42116028404,21196800
2021-06-21T07:58:37.834,43129559799,21073920
