"Time","CPU","Memory"
2021-06-21T07:57:18.912,373454362,39415808
2021-06-21T07:57:19.994,394391872,40198144
2021-06-21T07:57:21.001,400745666,40161280
2021-06-21T07:57:22.141,407647129,40173568
2021-06-21T07:57:23.147,414039345,40198144
2021-06-21T07:57:24.152,420442855,40222720
2021-06-21T07:57:25.158,426805821,40230912
2021-06-21T07:57:26.163,433042337,40235008
2021-06-21T07:57:27.168,439253827,40226816
2021-06-21T07:57:28.174,445550521,40239104
2021-06-21T07:57:29.180,451842090,40226816
2021-06-21T07:57:30.185,458143587,40239104
2021-06-21T07:57:31.191,464310151,40251392
2021-06-21T07:57:32.197,470292771,40275968
2021-06-21T07:57:33.202,476426254,40259584
2021-06-21T07:57:34.208,482740476,40259584
2021-06-21T07:57:35.213,489073287,40255488
2021-06-21T07:57:36.218,495402702,40255488
2021-06-21T07:57:37.224,501662452,40251392
2021-06-21T07:57:38.229,507826754,40255488
2021-06-21T07:57:39.234,514201669,40271872
2021-06-21T07:57:40.239,520398251,40263680
2021-06-21T07:57:41.245,526595831,40267776
2021-06-21T07:57:42.250,532937042,40267776
2021-06-21T07:57:43.255,539154210,40275968
2021-06-21T07:57:44.260,545455904,40255488
2021-06-21T07:57:45.266,551648919,40280064
2021-06-21T07:57:46.271,558125055,40267776
2021-06-21T07:57:47.276,564360602,40284160
2021-06-21T07:57:48.281,570685247,40308736
2021-06-21T07:57:49.287,576832770,40300544
2021-06-21T07:57:50.292,583113847,40329216
2021-06-21T07:57:51.297,589428679,40259584
2021-06-21T07:57:52.303,595808604,40255488
2021-06-21T07:57:53.308,602294777,40275968
2021-06-21T07:57:54.313,608452076,40263680
2021-06-21T07:57:55.319,614674085,40263680
2021-06-21T07:57:56.324,640972741,40820736
2021-06-21T07:57:57.330,660914219,40820736
2021-06-21T07:57:58.336,679137119,40820736
2021-06-21T07:57:59.342,696216238,40837120
2021-06-21T07:58:00.349,715204191,40837120
2021-06-21T07:58:01.358,732173184,40837120
2021-06-21T07:58:02.364,747851490,40857600
2021-06-21T07:58:03.370,766095214,40853504
2021-06-21T07:58:04.376,784382290,40849408
2021-06-21T07:58:05.382,800345893,40849408
2021-06-21T07:58:06.401,820233928,40837120
2021-06-21T07:58:07.408,842072924,40837120
2021-06-21T07:58:08.414,861795395,40951808
2021-06-21T07:58:09.420,880495960,40878080
2021-06-21T07:58:10.426,898779398,40853504
2021-06-21T07:58:11.433,919668155,40865792
2021-06-21T07:58:12.439,935389530,40865792
2021-06-21T07:58:13.445,951234513,40898560
2021-06-21T07:58:14.451,969665459,40972288
2021-06-21T07:58:15.458,992040529,40968192
2021-06-21T07:58:16.464,1009055526,40898560
2021-06-21T07:58:17.471,1027367147,40906752
2021-06-21T07:58:18.477,1047120494,40894464
2021-06-21T07:58:19.483,1065492036,40968192
2021-06-21T07:58:20.490,1081924125,40906752
2021-06-21T07:58:21.496,1098986964,40878080
2021-06-21T07:58:22.502,1117412921,40873984
2021-06-21T07:58:23.517,1135903359,40882176
2021-06-21T07:58:24.523,1152055549,40882176
2021-06-21T07:58:25.529,1171503417,41062400
2021-06-21T07:58:26.535,1188672832,41017344
2021-06-21T07:58:27.541,1208089623,40931328
2021-06-21T07:58:28.547,1226574330,40898560
2021-06-21T07:58:29.553,1244761166,40886272
2021-06-21T07:58:30.560,1263601010,40902656
2021-06-21T07:58:31.566,1282080906,40914944
2021-06-21T07:58:32.572,1304016850,40898560
2021-06-21T07:58:33.578,1323545958,40886272
2021-06-21T07:58:34.584,1342020026,40886272
2021-06-21T07:58:35.590,1359326449,40890368
2021-06-21T07:58:36.596,1381582420,40898560
2021-06-21T07:58:37.602,1398652310,40898560
