"Time","CPU","Memory"
2021-06-21T08:01:01.140,99628241,3956736
2021-06-21T08:01:02.145,255507101,20959232
2021-06-21T08:01:03.150,261066694,20791296
2021-06-21T08:01:04.155,266733533,20803584
2021-06-21T08:01:05.159,272266364,20819968
2021-06-21T08:01:06.164,277772565,20832256
2021-06-21T08:01:07.169,283351020,20807680
2021-06-21T08:01:08.174,288736745,20815872
2021-06-21T08:01:09.179,294278658,20824064
2021-06-21T08:01:10.183,299733999,20836352
2021-06-21T08:01:11.188,305184342,20860928
2021-06-21T08:01:12.193,310593473,20852736
2021-06-21T08:01:13.214,316241712,20832256
2021-06-21T08:01:14.219,321786348,20836352
2021-06-21T08:01:15.223,327176510,20852736
2021-06-21T08:01:16.228,332629006,20869120
2021-06-21T08:01:17.233,338094261,20893696
2021-06-21T08:01:18.238,343495546,20889600
2021-06-21T08:01:19.243,348788821,20897792
2021-06-21T08:01:20.248,354239899,20905984
2021-06-21T08:01:21.255,359721216,20905984
2021-06-21T08:01:22.259,365314041,20897792
2021-06-21T08:01:23.264,370963910,20905984
2021-06-21T08:01:24.271,376883707,20910080
2021-06-21T08:01:25.275,382610467,20930560
2021-06-21T08:01:26.280,388069068,20873216
2021-06-21T08:01:27.285,393530432,20840448
2021-06-21T08:01:28.290,398989015,20852736
2021-06-21T08:01:29.295,404726644,20873216
2021-06-21T08:01:30.300,410372271,20877312
2021-06-21T08:01:31.304,415822171,20881408
2021-06-21T08:01:32.310,490377012,21151744
2021-06-21T08:01:33.332,1477641152,21143552
2021-06-21T08:01:34.343,2411895467,21184512
2021-06-21T08:01:35.356,3375654752,21323776
2021-06-21T08:01:36.372,4353576090,21303296
2021-06-21T08:01:37.392,5301471637,21282816
2021-06-21T08:01:38.402,6227816981,21172224
2021-06-21T08:01:39.419,7164853543,21188608
2021-06-21T08:01:40.440,8049047897,21315584
2021-06-21T08:01:41.454,8955039023,21225472
2021-06-21T08:01:42.471,9837986583,21196800
2021-06-21T08:01:43.486,10763450544,21532672
2021-06-21T08:01:44.506,11671238291,21442560
2021-06-21T08:01:45.524,12591995857,21446656
2021-06-21T08:01:46.536,13487602018,21426176
2021-06-21T08:01:47.542,14384512185,21450752
2021-06-21T08:01:48.550,15314278149,21590016
2021-06-21T08:01:49.560,16239663533,21397504
2021-06-21T08:01:50.576,17174872550,21471232
2021-06-21T08:01:51.593,18079337999,21438464
2021-06-21T08:01:52.608,19012321960,21549056
2021-06-21T08:01:53.619,19912329143,21381120
2021-06-21T08:01:54.630,20898240584,21483520
2021-06-21T08:01:55.646,21820970076,21430272
2021-06-21T08:01:56.659,22783255882,21393408
2021-06-21T08:01:57.670,23723632141,21504000
2021-06-21T08:01:58.675,24577220561,21598208
2021-06-21T08:01:59.689,25476384041,21479424
2021-06-21T08:02:00.703,26418296442,21594112
2021-06-21T08:02:01.714,27357196267,21630976
2021-06-21T08:02:02.723,28271758328,21483520
2021-06-21T08:02:03.739,29174310092,21610496
2021-06-21T08:02:04.747,30104772165,21372928
2021-06-21T08:02:05.762,31013904810,21467136
2021-06-21T08:02:06.770,31915741463,21463040
2021-06-21T08:02:07.782,32838854283,21491712
2021-06-21T08:02:08.794,33725113490,21590016
2021-06-21T08:02:09.806,34586182656,21549056
2021-06-21T08:02:10.812,35495264316,21417984
2021-06-21T08:02:11.821,36390244077,21446656
2021-06-21T08:02:12.832,37287246517,21487616
2021-06-21T08:02:13.847,38174166447,21442560
2021-06-21T08:02:14.872,39035659465,21471232
