"Time","CPU","Memory"
2021-06-21T08:00:59.696,362086333,39006208
2021-06-21T08:01:00.702,391163540,40140800
2021-06-21T08:01:01.709,397397385,40034304
2021-06-21T08:01:02.714,403599258,40058880
2021-06-21T08:01:03.719,409867594,40075264
2021-06-21T08:01:04.725,415944553,40079360
2021-06-21T08:01:05.730,422132334,40075264
2021-06-21T08:01:06.736,428227585,40087552
2021-06-21T08:01:07.741,434367185,40095744
2021-06-21T08:01:08.746,440489815,40095744
2021-06-21T08:01:09.757,446484471,40091648
2021-06-21T08:01:10.762,452717756,40103936
2021-06-21T08:01:11.768,459054788,40099840
2021-06-21T08:01:12.773,465191392,40087552
2021-06-21T08:01:13.778,471368140,40112128
2021-06-21T08:01:14.783,477398461,40095744
2021-06-21T08:01:15.789,483564314,40087552
2021-06-21T08:01:16.794,489917634,40116224
2021-06-21T08:01:17.800,496807900,40099840
2021-06-21T08:01:18.805,502936359,40128512
2021-06-21T08:01:19.810,509075587,40136704
2021-06-21T08:01:20.815,515118388,40120320
2021-06-21T08:01:21.820,521241406,40120320
2021-06-21T08:01:22.825,527644024,40136704
2021-06-21T08:01:23.831,533777011,40124416
2021-06-21T08:01:24.836,539981176,40132608
2021-06-21T08:01:25.841,546240183,40140800
2021-06-21T08:01:26.846,552525212,40136704
2021-06-21T08:01:27.856,558620424,40153088
2021-06-21T08:01:28.862,568983673,40202240
2021-06-21T08:01:29.867,575099388,40116224
2021-06-21T08:01:30.872,581366519,40116224
2021-06-21T08:01:31.939,587790682,40112128
2021-06-21T08:01:32.944,643106634,40665088
2021-06-21T08:01:33.949,692099866,40673280
2021-06-21T08:01:34.955,759929196,40677376
2021-06-21T08:01:35.964,838638371,40685568
2021-06-21T08:01:36.969,893514955,40693760
2021-06-21T08:01:37.974,948144943,40693760
2021-06-21T08:01:38.980,1004213217,40706048
2021-06-21T08:01:39.989,1059896550,40714240
2021-06-21T08:01:40.994,1102748364,40722432
2021-06-21T08:01:41.999,1143125469,40714240
2021-06-21T08:01:43.005,1192986959,40714240
2021-06-21T08:01:44.010,1243650042,40730624
2021-06-21T08:01:45.015,1297710639,40730624
2021-06-21T08:01:46.020,1341596909,40730624
2021-06-21T08:01:47.025,1383526367,40763392
2021-06-21T08:01:48.030,1433041783,40763392
2021-06-21T08:01:49.035,1478398048,40796160
2021-06-21T08:01:50.040,1534764182,40804352
2021-06-21T08:01:51.046,1586520897,40714240
2021-06-21T08:01:52.051,1635561326,40730624
2021-06-21T08:01:53.065,1682970535,40726528
2021-06-21T08:01:54.073,1738866877,40734720
2021-06-21T08:01:55.078,1798634733,40718336
2021-06-21T08:01:56.083,1851140936,40751104
2021-06-21T08:01:57.088,1918567545,40742912
2021-06-21T08:01:58.093,1959943175,40755200
2021-06-21T08:01:59.109,2013749973,40759296
2021-06-21T08:02:00.114,2063191124,40767488
2021-06-21T08:02:01.119,2119290488,40779776
2021-06-21T08:02:02.124,2167250751,40779776
2021-06-21T08:02:03.129,2216798157,40775680
2021-06-21T08:02:04.134,2264960533,40787968
2021-06-21T08:02:05.139,2307741483,40824832
2021-06-21T08:02:06.145,2358292402,40759296
2021-06-21T08:02:07.150,2402757052,40771584
2021-06-21T08:02:08.155,2452651737,40775680
2021-06-21T08:02:09.160,2500106910,40779776
2021-06-21T08:02:10.185,2566736634,40771584
2021-06-21T08:02:11.190,2608537869,40763392
2021-06-21T08:02:12.195,2650978909,40689664
2021-06-21T08:02:13.200,2695317451,40693760
2021-06-21T08:02:14.215,2735092519,40701952
