"Time","CPU","Memory"
2021-06-21T08:05:26.652,99597542,3940352
2021-06-21T08:05:27.660,253600869,20865024
2021-06-21T08:05:28.665,259098698,20754432
2021-06-21T08:05:29.670,264627446,20762624
2021-06-21T08:05:30.675,270129308,20762624
2021-06-21T08:05:31.680,275450016,20770816
2021-06-21T08:05:32.684,280815369,20766720
2021-06-21T08:05:33.728,286319530,20791296
2021-06-21T08:05:34.733,291776422,20783104
2021-06-21T08:05:35.738,297219582,20799488
2021-06-21T08:05:36.742,302617164,20791296
2021-06-21T08:05:37.747,308130970,20824064
2021-06-21T08:05:38.753,313639968,20844544
2021-06-21T08:05:39.758,319078795,20836352
2021-06-21T08:05:40.763,324605411,20840448
2021-06-21T08:05:41.767,330007677,20840448
2021-06-21T08:05:42.772,335453653,20848640
2021-06-21T08:05:43.807,341274818,20840448
2021-06-21T08:05:44.812,346694078,20889600
2021-06-21T08:05:45.818,351967618,20905984
2021-06-21T08:05:46.827,357675963,20901888
2021-06-21T08:05:47.837,363231315,20918272
2021-06-21T08:05:48.842,368826853,20918272
2021-06-21T08:05:49.846,374265254,20930560
2021-06-21T08:05:50.851,379824181,20934656
2021-06-21T08:05:51.856,385233814,20918272
2021-06-21T08:05:52.861,390724493,20922368
2021-06-21T08:05:53.865,396245733,20922368
2021-06-21T08:05:54.870,402080276,20910080
2021-06-21T08:05:55.890,407691610,20918272
2021-06-21T08:05:56.895,413262745,20938752
2021-06-21T08:05:57.900,418756456,20914176
2021-06-21T08:05:58.905,424154871,20922368
2021-06-21T08:05:59.910,429670747,20918272
2021-06-21T08:06:00.915,435199970,20951040
2021-06-21T08:06:01.919,442635243,21188608
2021-06-21T08:06:02.932,892270369,21348352
2021-06-21T08:06:03.948,1781639645,21331968
2021-06-21T08:06:04.959,2705408297,21381120
2021-06-21T08:06:05.972,3616529863,21368832
2021-06-21T08:06:06.980,4522066020,21422080
2021-06-21T08:06:07.997,5461140501,21340160
2021-06-21T08:06:09.012,6415009151,21274624
2021-06-21T08:06:10.028,7319774848,21270528
2021-06-21T08:06:11.038,8224813917,21340160
2021-06-21T08:06:12.046,9105611476,21569536
2021-06-21T08:06:13.056,9970262932,21532672
2021-06-21T08:06:14.076,10855840655,21438464
2021-06-21T08:06:15.086,11769550359,21422080
2021-06-21T08:06:16.098,12680803288,21467136
2021-06-21T08:06:17.109,13593159827,21331968
2021-06-21T08:06:18.126,14454250820,21499904
2021-06-21T08:06:19.146,15361532519,21463040
2021-06-21T08:06:20.160,16267725257,21413888
2021-06-21T08:06:21.191,17201828777,21422080
2021-06-21T08:06:22.208,18103159181,21381120
2021-06-21T08:06:23.224,18993594052,21442560
2021-06-21T08:06:24.244,19926472427,21491712
2021-06-21T08:06:25.256,20844624716,21319680
2021-06-21T08:06:26.268,21789366392,21409792
2021-06-21T08:06:27.275,22743844001,21417984
2021-06-21T08:06:28.292,23666576053,21417984
2021-06-21T08:06:29.302,24647731789,21381120
2021-06-21T08:06:30.315,25573304127,21438464
2021-06-21T08:06:31.329,26504703203,21319680
2021-06-21T08:06:32.356,27364765724,21499904
2021-06-21T08:06:33.372,28251355883,21504000
2021-06-21T08:06:34.383,29158629612,21438464
2021-06-21T08:06:35.400,30055817292,21532672
2021-06-21T08:06:36.413,30967335558,21495808
2021-06-21T08:06:37.428,31851240379,21344256
2021-06-21T08:06:38.439,32771445869,21458944
2021-06-21T08:06:39.450,33637395649,21352448
2021-06-21T08:06:40.471,34549337158,21344256
2021-06-21T08:06:41.485,35490754001,21565440
2021-06-21T08:06:42.504,36407732405,21438464
2021-06-21T08:06:43.515,37320518304,21467136
2021-06-21T08:06:44.528,38229736001,21553152
2021-06-21T08:06:45.552,39156539870,21344256
2021-06-21T08:06:46.565,40084359008,21446656
2021-06-21T08:06:47.588,41023378854,21381120
2021-06-21T08:06:48.604,41955681874,21581824
2021-06-21T08:06:49.615,42888088636,21458944
2021-06-21T08:06:50.632,43803918299,21491712
2021-06-21T08:06:51.646,44683468566,21352448
