"Time","CPU","Memory"
2021-06-21T09:18:02.861,96885524,4083712
2021-06-21T09:18:03.867,252038314,20987904
2021-06-21T09:18:04.915,258487191,20869120
2021-06-21T09:18:05.921,264570470,20914176
2021-06-21T09:18:06.926,269939807,20918272
2021-06-21T09:18:07.931,275641523,20930560
2021-06-21T09:18:08.936,281220801,20926464
2021-06-21T09:18:09.941,286724179,20946944
2021-06-21T09:18:10.945,292377497,20946944
2021-06-21T09:18:11.950,297918076,20926464
2021-06-21T09:18:12.957,303865266,20951040
2021-06-21T09:18:13.962,309490119,20963328
2021-06-21T09:18:14.967,315039595,20963328
2021-06-21T09:18:15.972,320533772,20971520
2021-06-21T09:18:16.976,326136347,20983808
2021-06-21T09:18:17.981,331667397,20979712
2021-06-21T09:18:18.986,337292834,20992000
2021-06-21T09:18:20.000,342746267,20987904
2021-06-21T09:18:21.012,348555920,20992000
2021-06-21T09:18:22.017,353938913,21012480
2021-06-21T09:18:23.022,359422812,21012480
2021-06-21T09:18:24.027,364927698,21032960
2021-06-21T09:18:25.031,370589998,21037056
2021-06-21T09:18:26.036,376181623,20975616
2021-06-21T09:18:27.041,381737134,20983808
2021-06-21T09:18:28.046,387331951,20983808
2021-06-21T09:18:29.051,392834392,20983808
2021-06-21T09:18:30.056,398512911,21000192
2021-06-21T09:18:31.061,404140415,20967424
2021-06-21T09:18:32.065,409805999,20967424
2021-06-21T09:18:33.070,415453946,20967424
2021-06-21T09:18:34.075,420988965,20967424
2021-06-21T09:18:35.080,428296307,21217280
2021-06-21T09:18:36.085,434120771,21229568
2021-06-21T09:18:37.089,439658548,21213184
2021-06-21T09:18:38.094,445204021,21229568
2021-06-21T09:18:39.099,450775578,21241856
2021-06-21T09:18:40.104,456271641,21221376
2021-06-21T09:18:41.108,461854918,21221376
2021-06-21T09:18:42.113,467340279,21225472
2021-06-21T09:18:43.118,472867755,21213184
2021-06-21T09:18:44.123,478342837,21221376
2021-06-21T09:18:45.127,484805470,21262336
2021-06-21T09:18:46.132,490414267,21282816
2021-06-21T09:18:47.137,495956584,21282816
2021-06-21T09:18:48.142,501483665,21245952
2021-06-21T09:18:49.147,507127105,21262336
2021-06-21T09:18:50.152,512782627,21266432
2021-06-21T09:18:51.163,638282241,21622784
2021-06-21T09:18:52.180,1559297112,21417984
2021-06-21T09:18:53.204,2462197518,21491712
2021-06-21T09:18:54.229,3389096569,21479424
2021-06-21T09:18:55.240,4278631984,21651456
2021-06-21T09:18:56.252,5153432696,21483520
2021-06-21T09:18:57.272,6065284731,21598208
2021-06-21T09:18:58.288,6986058720,21479424
2021-06-21T09:18:59.310,7868542618,21516288
2021-06-21T09:19:00.328,8805350093,21577728
2021-06-21T09:19:01.348,9722479572,21532672
2021-06-21T09:19:02.358,10633044960,21614592
2021-06-21T09:19:03.372,11522131034,21557248
2021-06-21T09:19:04.382,12447066696,21544960
2021-06-21T09:19:05.390,13391603754,21577728
2021-06-21T09:19:06.408,14350626386,21544960
2021-06-21T09:19:07.422,15260976920,21524480
2021-06-21T09:19:08.430,16130360340,21540864
2021-06-21T09:19:09.452,17020352404,21520384
2021-06-21T09:19:10.473,17958724613,21544960
2021-06-21T09:19:11.488,18848516781,21495808
2021-06-21T09:19:12.504,19763747714,21590016
2021-06-21T09:19:13.524,20664833907,21598208
2021-06-21T09:19:14.529,21571456975,21712896
2021-06-21T09:19:15.547,22474652846,21610496
2021-06-21T09:19:16.566,23407401190,21581824
2021-06-21T09:19:17.580,24317247257,21487616
2021-06-21T09:19:18.600,25226244104,21737472
2021-06-21T09:19:19.624,26176839068,21606400
2021-06-21T09:19:20.641,27075602604,21594112
2021-06-21T09:19:21.664,27938911636,21565440
2021-06-21T09:19:22.678,28834785116,21712896
2021-06-21T09:19:23.688,29722713341,21483520
2021-06-21T09:19:24.694,30621434023,21708800
2021-06-21T09:19:25.701,31531220174,21598208
2021-06-21T09:19:26.717,32395693269,21626880
2021-06-21T09:19:27.732,33287212257,21610496
2021-06-21T09:19:28.751,34191012885,21635072
2021-06-21T09:19:29.762,35112750358,21590016
2021-06-21T09:19:30.776,36022952139,21614592
2021-06-21T09:19:31.792,36965379950,21532672
2021-06-21T09:19:32.800,37865752027,21573632
