"Time","CPU","Memory"
2021-06-21T09:18:05.598,363281614,39378944
2021-06-21T09:18:06.604,386269749,40243200
2021-06-21T09:18:07.609,392515625,40185856
2021-06-21T09:18:08.615,398748058,40194048
2021-06-21T09:18:09.620,404885443,40210432
2021-06-21T09:18:10.625,410987614,40218624
2021-06-21T09:18:11.630,417095772,40239104
2021-06-21T09:18:12.635,423365419,40251392
2021-06-21T09:18:13.641,429490802,40275968
2021-06-21T09:18:14.646,435751492,40271872
2021-06-21T09:18:15.651,441937836,40259584
2021-06-21T09:18:16.656,448071217,40251392
2021-06-21T09:18:17.683,454261631,40271872
2021-06-21T09:18:18.689,460424407,40267776
2021-06-21T09:18:19.698,470048720,40300544
2021-06-21T09:18:20.703,476331352,40288256
2021-06-21T09:18:21.709,482873592,40259584
2021-06-21T09:18:22.714,489072329,40271872
2021-06-21T09:18:23.719,495205556,40271872
2021-06-21T09:18:24.724,501500945,40275968
2021-06-21T09:18:25.729,507769014,40288256
2021-06-21T09:18:26.734,513937652,40292352
2021-06-21T09:18:27.740,520161656,40263680
2021-06-21T09:18:28.745,526281697,40288256
2021-06-21T09:18:29.750,532485445,40308736
2021-06-21T09:18:30.755,538552003,40304640
2021-06-21T09:18:31.760,544745383,40308736
2021-06-21T09:18:32.765,550963157,40304640
2021-06-21T09:18:33.771,557179425,40325120
2021-06-21T09:18:34.776,563481615,40341504
2021-06-21T09:18:35.781,569572437,40357888
2021-06-21T09:18:36.786,575785031,40361984
2021-06-21T09:18:37.792,582162748,40337408
2021-06-21T09:18:38.797,588365239,40345600
2021-06-21T09:18:39.802,594481445,40361984
2021-06-21T09:18:40.807,600593298,40321024
2021-06-21T09:18:41.812,606738794,40329216
2021-06-21T09:18:42.817,612819291,40341504
2021-06-21T09:18:43.822,618968515,40341504
2021-06-21T09:18:44.827,625158246,40349696
2021-06-21T09:18:45.833,631349878,40349696
2021-06-21T09:18:46.838,637621021,40370176
2021-06-21T09:18:47.843,643818569,40349696
2021-06-21T09:18:48.848,649950175,40370176
2021-06-21T09:18:49.853,656205363,40386560
2021-06-21T09:18:50.858,662298677,40370176
2021-06-21T09:18:51.864,707321198,40878080
2021-06-21T09:18:52.871,753817858,40878080
2021-06-21T09:18:53.876,799737642,40849408
2021-06-21T09:18:54.881,843277167,40865792
2021-06-21T09:18:55.887,890980337,40886272
2021-06-21T09:18:56.892,941431221,40878080
2021-06-21T09:18:57.897,990428423,40882176
2021-06-21T09:18:58.902,1041243175,40878080
2021-06-21T09:18:59.907,1091465756,40873984
2021-06-21T09:19:00.912,1137378296,40878080
2021-06-21T09:19:01.918,1180381589,40878080
2021-06-21T09:19:02.923,1219129014,40882176
2021-06-21T09:19:03.929,1269495592,40878080
2021-06-21T09:19:04.934,1320364811,40886272
2021-06-21T09:19:05.939,1373119283,40873984
2021-06-21T09:19:06.944,1432434651,40878080
2021-06-21T09:19:07.950,1474862878,40882176
2021-06-21T09:19:08.955,1519568051,40898560
2021-06-21T09:19:09.960,1558533426,40910848
2021-06-21T09:19:10.965,1609806066,40894464
2021-06-21T09:19:11.971,1655238613,40882176
2021-06-21T09:19:12.976,1696701112,40898560
2021-06-21T09:19:13.996,1762947371,40914944
2021-06-21T09:19:15.001,1808964120,40919040
2021-06-21T09:19:16.006,1850719128,40882176
2021-06-21T09:19:17.012,1898567189,40873984
2021-06-21T09:19:18.096,1961081760,40890368
2021-06-21T09:19:19.103,2020955585,40820736
2021-06-21T09:19:20.109,2061225242,40800256
2021-06-21T09:19:21.118,2097987456,40800256
2021-06-21T09:19:22.123,2143573974,40808448
2021-06-21T09:19:23.128,2182947524,40812544
2021-06-21T09:19:24.133,2228486490,40816640
2021-06-21T09:19:25.138,2279431764,40841216
2021-06-21T09:19:26.143,2326199060,40853504
2021-06-21T09:19:27.148,2376149203,40865792
2021-06-21T09:19:28.154,2423632404,40849408
2021-06-21T09:19:29.160,2474513075,40849408
2021-06-21T09:19:30.166,2517387253,40853504
2021-06-21T09:19:31.172,2575289996,40853504
2021-06-21T09:19:32.177,2635352529,40833024
2021-06-21T09:19:33.183,2677570475,40845312
