"Time","CPU","Memory"
2021-06-21T09:23:25.424,98297771,3973120
2021-06-21T09:23:26.430,259548783,20901888
2021-06-21T09:23:27.435,264909616,20815872
2021-06-21T09:23:28.439,270358341,20860928
2021-06-21T09:23:29.444,275756124,20860928
2021-06-21T09:23:30.449,281036791,20869120
2021-06-21T09:23:31.453,286718069,20885504
2021-06-21T09:23:32.458,292084814,20885504
2021-06-21T09:23:33.463,297637678,20889600
2021-06-21T09:23:34.468,303069210,20869120
2021-06-21T09:23:35.473,308599887,20881408
2021-06-21T09:23:36.478,314228576,20885504
2021-06-21T09:23:37.483,319594517,20901888
2021-06-21T09:23:38.489,325466205,20926464
2021-06-21T09:23:39.493,331006505,20852736
2021-06-21T09:23:40.498,336086371,20852736
2021-06-21T09:23:41.504,341336463,20856832
2021-06-21T09:23:42.511,346691720,20881408
2021-06-21T09:23:43.516,352216950,20885504
2021-06-21T09:23:44.521,357607124,20922368
2021-06-21T09:23:45.526,363173054,20905984
2021-06-21T09:23:46.530,368711479,20922368
2021-06-21T09:23:47.535,374144105,20951040
2021-06-21T09:23:48.540,379683344,20881408
2021-06-21T09:23:49.545,385118272,20881408
2021-06-21T09:23:50.550,390709259,20922368
2021-06-21T09:23:51.555,396281302,20942848
2021-06-21T09:23:52.559,401741579,20942848
2021-06-21T09:23:53.565,407323793,20955136
2021-06-21T09:23:54.570,413204848,20926464
2021-06-21T09:23:55.574,418532967,20951040
2021-06-21T09:23:56.579,425978861,21204992
2021-06-21T09:23:57.584,431516439,21209088
2021-06-21T09:23:58.589,436914451,21204992
2021-06-21T09:23:59.593,442436130,21188608
2021-06-21T09:24:00.598,447971464,21204992
2021-06-21T09:24:01.603,453466175,21225472
2021-06-21T09:24:02.607,458864855,21217280
2021-06-21T09:24:03.612,464499814,21213184
2021-06-21T09:24:04.617,470217016,21233664
2021-06-21T09:24:05.622,475936076,21225472
2021-06-21T09:24:06.626,482280325,21229568
2021-06-21T09:24:07.631,487813030,21241856
2021-06-21T09:24:08.636,493304211,21237760
2021-06-21T09:24:09.641,498904774,21245952
2021-06-21T09:24:10.646,504513354,21250048
2021-06-21T09:24:11.651,509894873,21233664
2021-06-21T09:24:12.655,515470839,21229568
2021-06-21T09:24:13.668,1031421807,21430272
2021-06-21T09:24:14.676,1967604391,21458944
2021-06-21T09:24:15.684,2881323669,21635072
2021-06-21T09:24:16.696,3770317517,21606400
2021-06-21T09:24:17.710,4677757374,21561344
2021-06-21T09:24:18.726,5600298535,21610496
2021-06-21T09:24:19.737,6538206472,21573632
2021-06-21T09:24:20.752,7419776729,21467136
2021-06-21T09:24:21.767,8330481637,21602304
2021-06-21T09:24:22.788,9234706374,21663744
2021-06-21T09:24:23.810,10176561980,21614592
2021-06-21T09:24:24.820,11057766803,21557248
2021-06-21T09:24:25.838,11989678006,21446656
2021-06-21T09:24:26.856,12884554734,21557248
2021-06-21T09:24:27.878,13789510040,21528576
2021-06-21T09:24:28.890,14691683808,21495808
2021-06-21T09:24:29.908,15588211407,21524480
2021-06-21T09:24:30.930,16480779281,21573632
2021-06-21T09:24:31.956,17378904737,21647360
2021-06-21T09:24:32.973,18283547744,21516288
2021-06-21T09:24:33.992,19216046825,21417984
2021-06-21T09:24:35.016,20122724023,21585920
2021-06-21T09:24:36.038,21062123409,21471232
2021-06-21T09:24:37.046,21964464893,21516288
2021-06-21T09:24:38.068,22889212026,21495808
2021-06-21T09:24:39.078,23803903528,21458944
2021-06-21T09:24:40.088,24713184630,21372928
2021-06-21T09:24:41.108,25612373101,21487616
2021-06-21T09:24:42.116,26476487379,21639168
2021-06-21T09:24:43.130,27396469477,21590016
2021-06-21T09:24:44.138,28295296599,21630976
2021-06-21T09:24:45.148,29202449830,21581824
2021-06-21T09:24:46.160,30121888118,21491712
2021-06-21T09:24:47.172,31056879136,21446656
2021-06-21T09:24:48.189,31953406060,21585920
2021-06-21T09:24:49.201,32831323824,21577728
2021-06-21T09:24:50.220,33714613261,21409792
2021-06-21T09:24:51.238,34625340407,21528576
2021-06-21T09:24:52.247,35517041555,21598208
2021-06-21T09:24:53.261,36435396239,21553152
2021-06-21T09:24:54.275,37371357947,21524480
2021-06-21T09:24:55.298,38299865087,21540864
