"Time","CPU","Memory"
2021-06-21T09:23:27.802,366293536,39313408
2021-06-21T09:23:28.808,391607234,40296448
2021-06-21T09:23:29.813,397946378,40194048
2021-06-21T09:23:30.819,404275362,40198144
2021-06-21T09:23:31.824,410695033,40169472
2021-06-21T09:23:32.829,416860284,40173568
2021-06-21T09:23:33.836,423067830,40177664
2021-06-21T09:23:34.841,429644171,40198144
2021-06-21T09:23:35.847,435810175,40214528
2021-06-21T09:23:36.852,442101303,40222720
2021-06-21T09:23:37.859,448190160,40206336
2021-06-21T09:23:38.864,454415096,40222720
2021-06-21T09:23:39.872,460841900,40239104
2021-06-21T09:23:40.878,467024966,40222720
2021-06-21T09:23:41.884,473214261,40189952
2021-06-21T09:23:42.889,479666433,40169472
2021-06-21T09:23:43.929,486317651,40169472
2021-06-21T09:23:44.934,492526995,40181760
2021-06-21T09:23:45.939,498841208,40189952
2021-06-21T09:23:46.945,505077122,40194048
2021-06-21T09:23:47.950,511169298,40185856
2021-06-21T09:23:48.955,517435891,40202240
2021-06-21T09:23:49.960,523591582,40202240
2021-06-21T09:23:50.965,529732832,40210432
2021-06-21T09:23:51.970,535969614,40177664
2021-06-21T09:23:52.976,542144166,40198144
2021-06-21T09:23:53.981,548412563,40194048
2021-06-21T09:23:54.986,554548253,40210432
2021-06-21T09:23:55.991,560917968,40230912
2021-06-21T09:23:56.997,567176869,40198144
2021-06-21T09:23:58.002,573388946,40185856
2021-06-21T09:23:59.007,579610787,40210432
2021-06-21T09:24:00.012,585832823,40243200
2021-06-21T09:24:01.017,592048693,40255488
2021-06-21T09:24:02.023,598247068,40218624
2021-06-21T09:24:03.028,604474100,40218624
2021-06-21T09:24:04.033,610912081,40235008
2021-06-21T09:24:05.038,617019724,40255488
2021-06-21T09:24:06.044,623452280,40284160
2021-06-21T09:24:07.049,629662280,40255488
2021-06-21T09:24:08.055,635986948,40251392
2021-06-21T09:24:09.060,642141035,40271872
2021-06-21T09:24:10.065,648470603,40255488
2021-06-21T09:24:11.070,654731466,40271872
2021-06-21T09:24:12.075,660977521,40235008
2021-06-21T09:24:13.081,667193467,40235008
2021-06-21T09:24:14.086,734398713,40783872
2021-06-21T09:24:15.091,788284871,40800256
2021-06-21T09:24:16.106,827698619,40812544
2021-06-21T09:24:17.113,881637383,40796160
2021-06-21T09:24:18.118,932392795,40800256
2021-06-21T09:24:19.124,979509840,40812544
2021-06-21T09:24:20.129,1039539319,40763392
2021-06-21T09:24:21.146,1084937929,40771584
2021-06-21T09:24:22.152,1129557541,40722432
2021-06-21T09:24:23.158,1176948532,40726528
2021-06-21T09:24:24.164,1224058770,40738816
2021-06-21T09:24:25.184,1283961313,40742912
2021-06-21T09:24:26.189,1330189389,40767488
2021-06-21T09:24:27.194,1382208012,40771584
2021-06-21T09:24:28.200,1427067195,40787968
2021-06-21T09:24:29.227,1499621230,40824832
2021-06-21T09:24:30.233,1539357765,40783872
2021-06-21T09:24:31.238,1580891375,40779776
2021-06-21T09:24:32.243,1623131791,40779776
2021-06-21T09:24:33.250,1670955412,40783872
2021-06-21T09:24:34.256,1727212713,40792064
2021-06-21T09:24:35.268,1779404302,40837120
2021-06-21T09:24:36.273,1829054850,40833024
2021-06-21T09:24:37.279,1873292549,40820736
2021-06-21T09:24:38.284,1927279026,40751104
2021-06-21T09:24:39.289,1968939588,40771584
2021-06-21T09:24:40.295,2013186917,40783872
2021-06-21T09:24:41.303,2062702555,40787968
2021-06-21T09:24:42.323,2113609915,40779776
2021-06-21T09:24:43.328,2169733373,40771584
2021-06-21T09:24:44.333,2211704725,40808448
2021-06-21T09:24:45.339,2256733355,40828928
2021-06-21T09:24:46.344,2304693529,40837120
2021-06-21T09:24:47.349,2357053649,40808448
2021-06-21T09:24:48.355,2398821835,40824832
2021-06-21T09:24:49.364,2452393348,40828928
2021-06-21T09:24:50.373,2508204565,40849408
2021-06-21T09:24:51.378,2549568974,40804352
2021-06-21T09:24:52.384,2596938369,40828928
2021-06-21T09:24:53.389,2653079970,40816640
2021-06-21T09:24:54.394,2702564786,40833024
2021-06-21T09:24:55.399,2764671865,40808448
