"Time","CPU","Memory"
2021-06-21T09:23:40.303,1049031672,9080832
2021-06-21T09:23:41.308,2226356876,42164224
2021-06-21T09:23:42.313,2879242869,42106880
2021-06-21T09:23:43.318,2884644348,42119168
2021-06-21T09:23:44.322,2890369228,42127360
2021-06-21T09:23:45.328,2896143305,42123264
2021-06-21T09:23:46.332,2902435525,42168320
2021-06-21T09:23:47.337,2908279878,42188800
2021-06-21T09:23:48.342,2914138558,42192896
2021-06-21T09:23:49.347,2919905881,42188800
2021-06-21T09:23:50.351,2925439285,42188800
2021-06-21T09:23:51.356,2931362555,42188800
2021-06-21T09:23:52.361,2937047000,42188800
2021-06-21T09:23:53.366,2943049829,42205184
2021-06-21T09:23:54.371,2948804864,42205184
2021-06-21T09:23:55.375,2954494361,42221568
2021-06-21T09:23:56.380,2960659232,42225664
2021-06-21T09:23:57.384,2966274832,42229760
2021-06-21T09:23:58.389,2971780431,42217472
2021-06-21T09:23:59.394,2977496026,42221568
2021-06-21T09:24:00.399,2983256617,42237952
2021-06-21T09:24:01.403,2989125237,42278912
2021-06-21T09:24:02.408,2995013711,42287104
2021-06-21T09:24:03.413,3000679835,42311680
2021-06-21T09:24:04.417,3006713831,42311680
2021-06-21T09:24:05.422,3012507732,42229760
2021-06-21T09:24:06.427,3018142197,42246144
2021-06-21T09:24:07.432,3023899030,42242048
2021-06-21T09:24:08.437,3029680066,42262528
2021-06-21T09:24:09.441,3035404925,42254336
2021-06-21T09:24:10.446,3041218969,42262528
2021-06-21T09:24:11.451,3047358895,42278912
2021-06-21T09:24:12.456,3052881564,42323968
2021-06-21T09:24:13.472,3375740496,43220992
2021-06-21T09:24:14.489,4360262911,43630592
2021-06-21T09:24:15.502,5296606861,43757568
2021-06-21T09:24:16.509,6193338660,44101632
2021-06-21T09:24:17.543,7144982813,44232704
2021-06-21T09:24:18.584,8132144957,44556288
2021-06-21T09:24:19.604,9102696057,44830720
2021-06-21T09:24:20.621,10022441246,44969984
2021-06-21T09:24:21.634,10966210895,45420544
2021-06-21T09:24:22.639,11848756453,45498368
2021-06-21T09:24:23.653,12766529272,45834240
2021-06-21T09:24:24.676,13659883430,45924352
2021-06-21T09:24:25.691,14623622420,46125056
2021-06-21T09:24:26.703,15562466538,46456832
2021-06-21T09:24:27.733,16514367728,46915584
2021-06-21T09:24:28.756,17417670463,46915584
2021-06-21T09:24:29.773,18343397515,47116288
2021-06-21T09:24:30.797,19278347579,47439872
2021-06-21T09:24:31.820,20207671950,47763456
2021-06-21T09:24:32.840,21134850676,47833088
2021-06-21T09:24:33.853,22076705675,48099328
2021-06-21T09:24:34.876,23000136515,48402432
2021-06-21T09:24:35.888,23913404139,48652288
2021-06-21T09:24:36.901,24840602915,48840704
2021-06-21T09:24:37.920,25777044819,49057792
2021-06-21T09:24:38.933,26714015080,49283072
2021-06-21T09:24:39.949,27640241597,49496064
2021-06-21T09:24:40.972,28587805298,49713152
2021-06-21T09:24:41.991,29504701780,50126848
2021-06-21T09:24:42.997,30459631105,50163712
2021-06-21T09:24:44.013,31380585931,50348032
2021-06-21T09:24:45.025,32295325938,50728960
2021-06-21T09:24:46.060,33218387102,50872320
2021-06-21T09:24:47.077,34176482946,51191808
2021-06-21T09:24:48.088,35117166984,51326976
2021-06-21T09:24:49.104,36031728937,51712000
2021-06-21T09:24:50.128,36969219535,51941376
2021-06-21T09:24:51.143,37911587131,52011008
2021-06-21T09:24:52.160,38807469572,52404224
2021-06-21T09:24:53.182,39736041362,52527104
2021-06-21T09:24:54.200,40656938814,52854784
2021-06-21T09:24:55.232,41595949781,52928512
2021-06-21T09:24:56.249,42349583215,52924416
