"Time","CPU","Memory"
2021-06-21T09:26:37.204,106793215,12021760
2021-06-21T09:26:38.220,153092401,22724608
2021-06-21T09:26:39.225,292301011,41119744
2021-06-21T09:26:40.367,298036508,41144320
2021-06-21T09:26:41.372,303593754,41168896
2021-06-21T09:26:42.377,309252930,41095168
2021-06-21T09:26:43.386,314570693,41132032
2021-06-21T09:26:44.398,320135826,41099264
2021-06-21T09:26:45.405,325584298,41091072
2021-06-21T09:26:46.409,331057060,41127936
2021-06-21T09:26:47.414,336549087,41136128
2021-06-21T09:26:48.419,342077970,41132032
2021-06-21T09:26:49.430,347511427,41123840
2021-06-21T09:26:50.437,353369602,41127936
2021-06-21T09:26:51.442,358827492,41148416
2021-06-21T09:26:52.447,364448437,41156608
2021-06-21T09:26:53.452,369973466,41177088
2021-06-21T09:26:54.457,375512124,41172992
2021-06-21T09:26:55.461,380939871,41168896
2021-06-21T09:26:56.466,386389958,41181184
2021-06-21T09:26:57.471,392094188,41197568
2021-06-21T09:26:58.476,397475945,41222144
2021-06-21T09:26:59.480,403044653,41222144
2021-06-21T09:27:00.485,408603560,41222144
2021-06-21T09:27:01.490,414011055,41226240
2021-06-21T09:27:02.494,419532316,41226240
2021-06-21T09:27:03.499,425032884,41234432
2021-06-21T09:27:04.504,430535637,41222144
2021-06-21T09:27:05.508,436029427,41230336
2021-06-21T09:27:06.513,441521365,41218048
2021-06-21T09:27:07.518,447118194,41213952
2021-06-21T09:27:08.534,955129729,42053632
2021-06-21T09:27:09.552,1842562876,41963520
2021-06-21T09:27:10.570,2718264320,41984000
2021-06-21T09:27:11.583,3615774554,41918464
2021-06-21T09:27:12.602,4561207032,41955328
2021-06-21T09:27:13.630,5483490531,41971712
2021-06-21T09:27:14.642,6386795410,41959424
2021-06-21T09:27:15.662,7303150040,41930752
2021-06-21T09:27:16.671,8190752621,41967616
2021-06-21T09:27:17.685,9096630032,41947136
2021-06-21T09:27:18.702,10045547840,41996288
2021-06-21T09:27:19.711,10956143382,42016768
2021-06-21T09:27:20.725,11879016505,42127360
2021-06-21T09:27:21.737,12813384192,42045440
2021-06-21T09:27:22.758,13749954418,41947136
2021-06-21T09:27:23.768,14669198521,42016768
2021-06-21T09:27:24.786,15621884697,42131456
2021-06-21T09:27:25.802,16541254187,41922560
2021-06-21T09:27:26.814,17400405084,42160128
2021-06-21T09:27:27.819,18277036235,41967616
2021-06-21T09:27:28.827,19198192073,42123264
2021-06-21T09:27:29.843,20136088648,42082304
2021-06-21T09:27:30.852,21044415302,42053632
2021-06-21T09:27:31.859,21903005901,42192896
2021-06-21T09:27:32.867,22838346364,42156032
2021-06-21T09:27:33.886,23762032073,42045440
2021-06-21T09:27:34.906,24651569760,42168320
2021-06-21T09:27:35.925,25613981685,41984000
2021-06-21T09:27:36.939,26520383915,42033152
2021-06-21T09:27:37.950,27429979007,42041344
2021-06-21T09:27:38.971,28379694197,42041344
2021-06-21T09:27:39.986,29306090848,42065920
2021-06-21T09:27:41.011,30182605275,42061824
2021-06-21T09:27:42.030,31096863046,42049536
2021-06-21T09:27:43.042,32027216490,42065920
2021-06-21T09:27:44.051,32913056224,42090496
2021-06-21T09:27:45.064,33879745960,41984000
2021-06-21T09:27:46.080,34828898845,42037248
2021-06-21T09:27:47.102,35746579221,41963520
2021-06-21T09:27:48.118,36687042643,42065920
2021-06-21T09:27:49.130,37569230798,42086400
2021-06-21T09:27:50.143,38440813169,42139648
