"Time","CPU","Memory"
2021-06-21T09:32:57.680,125764646,7475200
2021-06-21T09:32:58.687,258743044,20926464
2021-06-21T09:32:59.691,264560967,20828160
2021-06-21T09:33:00.696,270071243,20836352
2021-06-21T09:33:01.703,277100993,20848640
2021-06-21T09:33:02.707,282757359,20844544
2021-06-21T09:33:03.712,288255844,20865024
2021-06-21T09:33:04.717,293789527,20885504
2021-06-21T09:33:05.723,299372349,20873216
2021-06-21T09:33:06.728,305906673,20897792
2021-06-21T09:33:07.733,311469344,20914176
2021-06-21T09:33:08.738,316994649,20946944
2021-06-21T09:33:09.743,322623379,20959232
2021-06-21T09:33:10.750,327943421,20959232
2021-06-21T09:33:11.755,333425080,20979712
2021-06-21T09:33:12.763,338812280,20987904
2021-06-21T09:33:13.768,344227863,20967424
2021-06-21T09:33:14.772,349717175,20983808
2021-06-21T09:33:15.777,355205947,20987904
2021-06-21T09:33:16.782,360791954,21000192
2021-06-21T09:33:17.787,366357921,21020672
2021-06-21T09:33:18.791,371805139,21037056
2021-06-21T09:33:19.796,377327307,21049344
2021-06-21T09:33:20.801,382849190,21065728
2021-06-21T09:33:21.805,388347413,21049344
2021-06-21T09:33:22.810,393900721,21053440
2021-06-21T09:33:23.825,576282129,21303296
2021-06-21T09:33:24.842,1524813334,21352448
2021-06-21T09:33:25.854,2391905051,21307392
2021-06-21T09:33:26.876,3269562857,21659648
2021-06-21T09:33:27.886,4199103624,21479424
2021-06-21T09:33:28.900,5088008339,21544960
2021-06-21T09:33:29.907,6002464919,21626880
2021-06-21T09:33:30.920,6892434361,21663744
2021-06-21T09:33:31.931,7790619333,21483520
2021-06-21T09:33:32.950,8698259543,21413888
2021-06-21T09:33:33.969,9605192967,21475328
2021-06-21T09:33:34.977,10554222591,21508096
2021-06-21T09:33:35.992,11538883644,21413888
2021-06-21T09:33:37.002,12460820309,21549056
2021-06-21T09:33:38.018,13375234451,21495808
2021-06-21T09:33:39.025,14248474000,21495808
2021-06-21T09:33:40.054,15167172509,21561344
2021-06-21T09:33:41.065,16040246217,21524480
2021-06-21T09:33:42.082,16946754063,21622784
2021-06-21T09:33:43.094,17847443927,21585920
2021-06-21T09:33:44.116,18753812095,21553152
2021-06-21T09:33:45.140,19735097153,21413888
2021-06-21T09:33:46.157,20719316746,21446656
2021-06-21T09:33:47.172,21688825885,21442560
2021-06-21T09:33:48.187,22642252215,21549056
2021-06-21T09:33:49.198,23560646958,21430272
2021-06-21T09:33:50.214,24493784102,21553152
2021-06-21T09:33:51.222,25408217302,21651456
2021-06-21T09:33:52.242,26335466413,21610496
2021-06-21T09:33:53.256,27232934465,21540864
2021-06-21T09:33:54.272,28118576077,21508096
2021-06-21T09:33:55.309,29099462221,21622784
2021-06-21T09:33:56.323,30008577393,21512192
2021-06-21T09:33:57.342,30881667165,21532672
2021-06-21T09:33:58.360,31758322786,21577728
2021-06-21T09:33:59.378,32677652220,21504000
2021-06-21T09:34:00.464,33628240925,21606400
2021-06-21T09:34:01.481,34512275137,21635072
2021-06-21T09:34:02.494,35426277076,21614592
2021-06-21T09:34:03.508,36310345284,21684224
2021-06-21T09:34:04.515,37206379169,21618688
2021-06-21T09:34:05.672,38217170767,21680128
2021-06-21T09:34:06.681,39055952662,21553152
