"Time","CPU","Memory"
2021-06-21T09:33:10.203,1061719594,9121792
2021-06-21T09:33:11.208,2249003273,42213376
2021-06-21T09:33:12.213,2929544458,42151936
2021-06-21T09:33:13.218,2935385933,42147840
2021-06-21T09:33:14.225,2941167826,42192896
2021-06-21T09:33:15.230,2946625042,42188800
2021-06-21T09:33:16.234,2952464430,42201088
2021-06-21T09:33:17.239,2958693344,42213376
2021-06-21T09:33:18.283,2964506150,42196992
2021-06-21T09:33:19.287,2969993207,42196992
2021-06-21T09:33:20.292,2975727469,42201088
2021-06-21T09:33:21.297,2981374234,42213376
2021-06-21T09:33:22.301,2987060039,42217472
2021-06-21T09:33:23.306,2992849698,42229760
2021-06-21T09:33:24.311,3641717556,43180032
2021-06-21T09:33:25.322,4592939765,43446272
2021-06-21T09:33:26.334,5510560433,43737088
2021-06-21T09:33:27.339,6393711539,43921408
2021-06-21T09:33:28.354,7307984586,44269568
2021-06-21T09:33:29.373,8243377973,44388352
2021-06-21T09:33:30.390,9162703874,44683264
2021-06-21T09:33:31.421,10105762111,44949504
2021-06-21T09:33:32.426,11042817035,45121536
2021-06-21T09:33:33.460,11985759023,45387776
2021-06-21T09:33:34.476,12936269636,45678592
2021-06-21T09:33:35.496,13904297142,45928448
2021-06-21T09:33:36.515,14831269265,46026752
2021-06-21T09:33:37.540,15788548208,46338048
2021-06-21T09:33:38.546,16744914111,46596096
2021-06-21T09:33:39.560,17673195675,46850048
2021-06-21T09:33:40.592,18615719690,47005696
2021-06-21T09:33:41.612,19595476134,47316992
2021-06-21T09:33:42.641,20520933746,47783936
2021-06-21T09:33:43.664,21435937056,47808512
2021-06-21T09:33:44.690,22364224211,47976448
2021-06-21T09:33:45.723,23336940089,48308224
2021-06-21T09:33:46.744,24245938608,48521216
2021-06-21T09:33:47.758,25230037552,48898048
2021-06-21T09:33:48.782,26188562052,48955392
2021-06-21T09:33:49.803,27168852126,49340416
2021-06-21T09:33:50.816,28060583636,49500160
2021-06-21T09:33:51.832,29025428301,49664000
2021-06-21T09:33:52.852,29969603489,49967104
2021-06-21T09:33:53.872,30914260323,50266112
2021-06-21T09:33:54.893,31852489501,50470912
2021-06-21T09:33:55.908,32811873011,50647040
2021-06-21T09:33:56.921,33716734937,50941952
2021-06-21T09:33:57.937,34680568667,51109888
2021-06-21T09:33:58.956,35624743364,51322880
2021-06-21T09:33:59.975,36545768814,51601408
2021-06-21T09:34:00.996,37518445876,51912704
2021-06-21T09:34:02.012,38409832347,52076544
2021-06-21T09:34:03.033,39383543087,52203520
2021-06-21T09:34:04.046,40333023606,52584448
2021-06-21T09:34:05.072,41275279840,52707328
2021-06-21T09:34:06.078,42152617475,52838400
2021-06-21T09:34:07.098,42915063822,52846592
