"Time","CPU","Memory"
2021-06-21T10:38:42.844,97700353,3993600
2021-06-21T10:38:44.081,258793700,20852736
2021-06-21T10:38:45.086,264361965,20869120
2021-06-21T10:38:46.090,269558943,20869120
2021-06-21T10:38:47.095,274897371,20918272
2021-06-21T10:38:48.100,280189738,20942848
2021-06-21T10:38:49.104,285677780,20942848
2021-06-21T10:38:50.109,291096303,20946944
2021-06-21T10:38:51.113,296451819,20938752
2021-06-21T10:38:52.118,302567759,20959232
2021-06-21T10:38:53.123,307899066,20963328
2021-06-21T10:38:54.128,313479586,20987904
2021-06-21T10:38:55.132,318934451,20983808
2021-06-21T10:38:56.137,324263599,20979712
2021-06-21T10:38:57.142,329780575,20996096
2021-06-21T10:38:58.146,335051988,21008384
2021-06-21T10:38:59.151,340417768,21000192
2021-06-21T10:39:00.155,345748149,20996096
2021-06-21T10:39:01.160,351071985,21000192
2021-06-21T10:39:02.165,356392831,20996096
2021-06-21T10:39:03.170,361995525,20971520
2021-06-21T10:39:04.174,367328983,20971520
2021-06-21T10:39:05.179,372799574,20979712
2021-06-21T10:39:06.184,757580580,21299200
2021-06-21T10:39:07.189,1768716317,21254144
2021-06-21T10:39:08.194,2782421881,21311488
2021-06-21T10:39:09.200,3791831947,21401600
2021-06-21T10:39:10.205,4802862456,21450752
2021-06-21T10:39:11.210,5818171952,21385216
2021-06-21T10:39:12.220,6829831180,21381120
2021-06-21T10:39:13.225,7842028441,21422080
2021-06-21T10:39:14.231,8857305255,21516288
2021-06-21T10:39:15.237,9865967014,21475328
2021-06-21T10:39:16.242,10880517111,21479424
2021-06-21T10:39:17.254,11900922494,21454848
2021-06-21T10:39:18.260,12912104545,21463040
2021-06-21T10:39:19.266,13915002264,21635072
2021-06-21T10:39:20.272,14932025461,21610496
2021-06-21T10:39:21.277,15945854044,21626880
2021-06-21T10:39:22.287,16960836707,21626880
2021-06-21T10:39:23.294,17976237114,21643264
2021-06-21T10:39:24.299,18984545361,21647360
2021-06-21T10:39:25.304,19990335923,21553152
2021-06-21T10:39:26.310,21006274273,21585920
2021-06-21T10:39:27.430,22133722053,21516288
2021-06-21T10:39:28.435,23146058185,21590016
2021-06-21T10:39:29.440,24155139529,21540864
2021-06-21T10:39:30.445,25167192910,21446656
2021-06-21T10:39:31.452,26183668349,21549056
2021-06-21T10:39:32.462,27198227717,21647360
2021-06-21T10:39:33.468,28211033576,21618688
2021-06-21T10:39:34.473,29224179399,21606400
2021-06-21T10:39:35.478,30241393471,21528576
2021-06-21T10:39:36.483,31254210258,21590016
2021-06-21T10:39:37.496,32276444223,21581824
2021-06-21T10:39:38.501,33286653898,21508096
2021-06-21T10:39:39.507,34300064258,21508096
2021-06-21T10:39:40.512,35304153428,21458944
2021-06-21T10:39:41.517,36317348452,21438464
2021-06-21T10:39:42.529,37318885712,21561344
2021-06-21T10:39:43.535,38331101465,21618688
2021-06-21T10:39:44.540,39341449244,21659648
2021-06-21T10:39:45.549,40357329107,21577728
2021-06-21T10:39:46.554,41373151577,21655552
2021-06-21T10:39:47.621,42439558827,21626880
