"Time","CPU","Memory"
2021-06-18T13:47:53.285,82101284,3854336
2021-06-18T13:47:54.294,126499354,8302592
2021-06-18T13:47:55.299,132215161,8220672
2021-06-18T13:47:56.304,137536735,8245248
2021-06-18T13:47:57.309,142897639,8241152
2021-06-18T13:47:58.314,148398529,8249344
2021-06-18T13:47:59.318,153631107,8241152
2021-06-18T13:48:00.324,158932510,8237056
2021-06-18T13:48:01.329,164291210,8257536
2021-06-18T13:48:02.334,169649052,8257536
2021-06-18T13:48:03.338,175089930,8269824
2021-06-18T13:48:04.343,180336297,8265728
2021-06-18T13:48:05.347,185621859,8261632
2021-06-18T13:48:06.353,190776092,8261632
2021-06-18T13:48:07.357,195947830,8269824
2021-06-18T13:48:08.362,201319687,8286208
2021-06-18T13:48:09.367,206739718,8278016
2021-06-18T13:48:10.373,211993242,8273920
2021-06-18T13:48:11.377,217262188,8273920
2021-06-18T13:48:12.382,222636677,8286208
2021-06-18T13:48:13.387,228029511,8273920
2021-06-18T13:48:14.391,233355591,8286208
2021-06-18T13:48:15.396,238666096,8245248
2021-06-18T13:48:16.401,244020590,8257536
2021-06-18T13:48:17.405,249558976,8241152
2021-06-18T13:48:18.410,254786723,8241152
2021-06-18T13:48:19.414,260098420,8257536
2021-06-18T13:48:20.421,265372440,8269824
2021-06-18T13:48:21.426,270819956,8265728
2021-06-18T13:48:22.430,276237260,8253440
2021-06-18T13:48:23.435,281675962,8282112
2021-06-18T13:48:24.440,287030031,8331264
2021-06-18T13:48:25.445,292319734,8290304
2021-06-18T13:48:26.449,297717699,8282112
2021-06-18T13:48:27.454,303045772,8278016
2021-06-18T13:48:28.459,308837946,8302592
2021-06-18T13:48:29.463,314014645,8278016
2021-06-18T13:48:30.471,319321815,8298496
2021-06-18T13:48:31.475,324612294,8286208
2021-06-18T13:48:32.480,330072979,8273920
2021-06-18T13:48:33.485,335512763,8298496
2021-06-18T13:48:34.490,341120632,8298496
2021-06-18T13:48:35.494,346618664,8302592
2021-06-18T13:48:36.499,351982022,8290304
2021-06-18T13:48:37.504,357286613,8318976
2021-06-18T13:48:38.508,362508772,8335360
2021-06-18T13:48:39.513,367992873,8327168
2021-06-18T13:48:40.518,373261989,8302592
2021-06-18T13:48:41.523,378549908,8318976
2021-06-18T13:48:42.527,383860465,8302592
2021-06-18T13:48:43.532,389213954,8327168
2021-06-18T13:48:44.537,394633546,8339456
2021-06-18T13:48:45.541,400212632,8347648
2021-06-18T13:48:46.554,1206978531,8843264
2021-06-18T13:48:47.566,2116320882,8953856
2021-06-18T13:48:48.584,3005196086,9093120
2021-06-18T13:48:49.598,3905677241,8986624
2021-06-18T13:48:50.619,4851008938,8941568
2021-06-18T13:48:51.628,5763066598,8957952
2021-06-18T13:48:52.647,6687254450,9068544
2021-06-18T13:48:53.662,7630975185,9064448
2021-06-18T13:48:54.678,8529439887,8855552
2021-06-18T13:48:55.692,9433322828,8962048
2021-06-18T13:48:56.715,10350691218,8953856
2021-06-18T13:48:57.730,11253898085,8839168
2021-06-18T13:48:58.742,12177273897,8851456
2021-06-18T13:48:59.761,13116303449,8957952
2021-06-18T13:49:00.779,14055362687,8863744
2021-06-18T13:49:01.797,15020806103,8966144
2021-06-18T13:49:02.815,15911592613,8945664
2021-06-18T13:49:03.834,16815409814,8949760
2021-06-18T13:49:04.846,17731911526,8884224
2021-06-18T13:49:05.858,18634926572,8945664
2021-06-18T13:49:06.878,19555396731,8957952
2021-06-18T13:49:07.894,20494589426,8957952
2021-06-18T13:49:08.910,21472567357,8929280
2021-06-18T13:49:09.918,22408702061,8904704
2021-06-18T13:49:10.934,23325321504,8957952
2021-06-18T13:49:11.954,24254899483,8953856
2021-06-18T13:49:12.966,25219209537,8843264
2021-06-18T13:49:13.982,26146466118,8957952
2021-06-18T13:49:14.995,27067390079,8962048
2021-06-18T13:49:15.999,27982005651,8835072
2021-06-18T13:49:17.007,28932027643,8912896
2021-06-18T13:49:18.026,29884191891,8925184
2021-06-18T13:49:19.043,30794674898,8933376
2021-06-18T13:49:20.062,31716840287,8892416
2021-06-18T13:49:21.076,32683210401,8941568
2021-06-18T13:49:22.093,33546239293,8957952
2021-06-18T13:49:23.114,34472552473,8990720
2021-06-18T13:49:24.134,35317869531,8970240
