"Time","CPU","Memory"
2021-06-18T13:47:54.900,361698174,39186432
2021-06-18T13:47:55.906,392013550,40275968
2021-06-18T13:47:56.911,398205632,40173568
2021-06-18T13:47:57.916,404574317,40194048
2021-06-18T13:47:58.921,410720045,40169472
2021-06-18T13:47:59.930,416911270,40185856
2021-06-18T13:48:00.935,423109527,40185856
2021-06-18T13:48:01.941,429419830,40218624
2021-06-18T13:48:02.946,435554225,40226816
2021-06-18T13:48:03.951,441903184,40214528
2021-06-18T13:48:04.959,448135443,40214528
2021-06-18T13:48:05.965,454164309,40210432
2021-06-18T13:48:06.970,460201423,40235008
2021-06-18T13:48:07.976,466309618,40218624
2021-06-18T13:48:08.981,472321605,40222720
2021-06-18T13:48:09.986,478397324,40239104
2021-06-18T13:48:10.992,484654897,40222720
2021-06-18T13:48:11.997,490773090,40218624
2021-06-18T13:48:13.002,496956716,40218624
2021-06-18T13:48:14.008,503132617,40218624
2021-06-18T13:48:15.013,509571518,40239104
2021-06-18T13:48:16.026,515883890,40247296
2021-06-18T13:48:17.031,522023396,40259584
2021-06-18T13:48:18.036,528275431,40288256
2021-06-18T13:48:19.041,534527086,40202240
2021-06-18T13:48:20.047,540886651,40210432
2021-06-18T13:48:21.052,547196726,40226816
2021-06-18T13:48:22.057,553317388,40218624
2021-06-18T13:48:23.062,559515537,40218624
2021-06-18T13:48:24.067,565802188,40218624
2021-06-18T13:48:25.073,571930451,40222720
2021-06-18T13:48:26.078,578160982,40239104
2021-06-18T13:48:27.083,584357356,40247296
2021-06-18T13:48:28.088,590620809,40271872
2021-06-18T13:48:29.094,596977693,40292352
2021-06-18T13:48:30.099,603202954,40292352
2021-06-18T13:48:31.104,609534657,40308736
2021-06-18T13:48:32.110,615764023,40304640
2021-06-18T13:48:33.115,622086496,40308736
2021-06-18T13:48:34.120,628382352,40300544
2021-06-18T13:48:35.125,634864981,40300544
2021-06-18T13:48:36.130,640977706,40292352
2021-06-18T13:48:37.136,647169561,40296448
2021-06-18T13:48:38.141,653539946,40308736
2021-06-18T13:48:39.147,659818153,40312832
2021-06-18T13:48:40.152,666028053,40312832
2021-06-18T13:48:41.157,672203597,40321024
2021-06-18T13:48:42.162,678607171,40312832
2021-06-18T13:48:43.168,684865325,40329216
2021-06-18T13:48:44.173,691196464,40312832
2021-06-18T13:48:45.178,697516991,40308736
2021-06-18T13:48:46.190,724150827,41123840
2021-06-18T13:48:47.206,745667688,41136128
2021-06-18T13:48:48.216,776843207,41160704
2021-06-18T13:48:49.242,804687583,41140224
2021-06-18T13:48:50.257,837912231,41140224
2021-06-18T13:48:51.264,861359100,41156608
2021-06-18T13:48:52.286,890440715,41185280
2021-06-18T13:48:53.302,920841886,41177088
2021-06-18T13:48:54.314,944556258,41140224
2021-06-18T13:48:55.337,977601892,41144320
2021-06-18T13:48:56.362,1009721574,41123840
2021-06-18T13:48:57.383,1040024994,41127936
2021-06-18T13:48:58.410,1070730580,41127936
2021-06-18T13:48:59.438,1097016606,41127936
2021-06-18T13:49:00.457,1129373784,41140224
2021-06-18T13:49:01.478,1151700913,41127936
2021-06-18T13:49:02.506,1174258613,41123840
2021-06-18T13:49:03.522,1213713315,41148416
2021-06-18T13:49:04.550,1234343793,41066496
2021-06-18T13:49:05.578,1267461715,41082880
2021-06-18T13:49:06.589,1292508498,41086976
2021-06-18T13:49:07.618,1329105183,41234432
2021-06-18T13:49:08.631,1354443813,41078784
2021-06-18T13:49:09.658,1383558753,41078784
2021-06-18T13:49:10.673,1408951056,41091072
2021-06-18T13:49:11.683,1434424164,41099264
2021-06-18T13:49:12.722,1458397298,41095168
2021-06-18T13:49:13.746,1482049349,41078784
2021-06-18T13:49:14.766,1521042868,41099264
2021-06-18T13:49:15.782,1554107987,41078784
2021-06-18T13:49:16.814,1575351073,41091072
2021-06-18T13:49:17.832,1599555700,41082880
2021-06-18T13:49:18.848,1627700702,41095168
2021-06-18T13:49:19.872,1664876849,41086976
2021-06-18T13:49:20.904,1690303281,41095168
2021-06-18T13:49:21.919,1712689502,41111552
2021-06-18T13:49:22.947,1734527684,41099264
2021-06-18T13:49:23.970,1767099556,41082880
