"Time","CPU","Memory"
2021-06-18T13:50:16.842,84127333,4399104
2021-06-18T13:50:17.851,126285160,8404992
2021-06-18T13:50:18.856,131753975,8298496
2021-06-18T13:50:19.860,137220824,8327168
2021-06-18T13:50:20.865,142522686,8310784
2021-06-18T13:50:21.870,148007078,8368128
2021-06-18T13:50:22.875,153442670,8380416
2021-06-18T13:50:23.880,158828290,8327168
2021-06-18T13:50:24.884,164351812,8323072
2021-06-18T13:50:25.889,169842768,8318976
2021-06-18T13:50:26.894,175194883,8298496
2021-06-18T13:50:27.899,180433239,8323072
2021-06-18T13:50:28.907,185708368,8310784
2021-06-18T13:50:29.912,191089956,8323072
2021-06-18T13:50:30.916,196498416,8351744
2021-06-18T13:50:31.921,201798092,8351744
2021-06-18T13:50:32.926,207116233,8355840
2021-06-18T13:50:33.930,212473253,8347648
2021-06-18T13:50:34.936,218065680,8368128
2021-06-18T13:50:35.940,223498701,8359936
2021-06-18T13:50:36.945,228823281,8372224
2021-06-18T13:50:37.950,234125323,8339456
2021-06-18T13:50:38.954,239573198,8343552
2021-06-18T13:50:39.959,244868185,8343552
2021-06-18T13:50:40.964,250240615,8368128
2021-06-18T13:50:41.976,502794651,9035776
2021-06-18T13:50:42.987,1411533338,9134080
2021-06-18T13:50:43.994,2313471685,9007104
2021-06-18T13:50:45.020,3249779207,8986624
2021-06-18T13:50:46.046,4217989868,8998912
2021-06-18T13:50:47.054,5206440708,8957952
2021-06-18T13:50:48.066,6181410980,9166848
2021-06-18T13:50:49.079,7081190082,9076736
2021-06-18T13:50:50.097,8007432472,9043968
2021-06-18T13:50:51.104,8906718186,9056256
2021-06-18T13:50:52.120,9872160160,9175040
2021-06-18T13:50:53.132,10792231128,9048064
2021-06-18T13:50:54.140,11694559732,8929280
2021-06-18T13:50:55.149,12635546758,8949760
2021-06-18T13:50:56.159,13526691001,9166848
2021-06-18T13:50:57.188,14429386571,8945664
2021-06-18T13:50:58.199,15347898911,9121792
2021-06-18T13:50:59.216,16346005283,9031680
2021-06-18T13:51:00.231,17234874477,8941568
2021-06-18T13:51:01.249,18202238152,9048064
2021-06-18T13:51:02.268,19160640103,9179136
2021-06-18T13:51:03.277,20100859402,9064448
2021-06-18T13:51:04.290,21038505081,8990720
2021-06-18T13:51:05.311,21934990524,9043968
2021-06-18T13:51:06.324,22843312020,8982528
2021-06-18T13:51:07.337,23740799842,8966144
