,users,values,time,fails
0,11,0.0,13:50:45,0.0
1,36,19.0,13:50:50,0.0
2,56,22.0,13:50:55,0.0
3,76,21.6,13:51:00,0.0
4,96,21.4,13:51:05,0.0
5,116,24.3,13:51:10,0.0
6,136,23.7,13:51:15,0.0
7,156,23.9,13:51:20,0.0
8,181,22.9,13:51:25,0.0
9,201,23.1,13:51:30,0.0
10,221,27.4,13:51:35,0.0
11,241,27.6,13:51:40,0.0
12,261,27.1,13:51:45,0.0
13,281,24.2,13:51:50,0.0
14,303,24.8,13:51:55,0.0
15,326,24.4,13:52:00,0.0
16,346,22.9,13:52:05,0.0
17,366,22.8,13:52:10,0.0
18,386,19.9,13:52:15,0.0
19,406,24.1,13:52:20,0.0
20,426,24.6,13:52:25,0.0
21,446,26.0,13:52:30,0.0
22,466,27.4,13:52:35,0.0
23,491,25.6,13:52:40,0.0
24,511,24.3,13:52:45,0.0
25,531,24.5,13:52:50,0.0
26,551,26.2,13:52:55,0.0
27,571,25.8,13:53:00,0.7
28,591,26.2,13:53:05,3.2
29,612,25.9,13:53:10,4.3
30,631,25.6,13:53:15,4.2
31,656,26.6,13:53:20,4.2
32,676,27.6,13:53:25,4.3
33,696,25.0,13:53:30,4.3
34,716,26.1,13:53:35,4.2
35,737,24.5,13:53:40,4.1
36,756,25.0,13:53:45,4.3
37,776,27.6,13:53:50,4.3
38,801,30.4,13:53:55,4.2
39,821,28.1,13:54:00,4.3
40,841,27.1,13:54:05,4.3
41,861,27.9,13:54:10,4.3
42,881,26.0,13:54:15,4.2
43,901,24.5,13:54:20,4.1
44,923,27.5,13:54:25,4.2
45,946,30.1,13:54:30,4.2
46,966,27.5,13:54:35,4.1
47,986,26.4,13:54:40,4.1
48,1006,27.0,13:54:45,4.3
49,1026,28.0,13:54:50,4.3
50,1047,27.5,13:54:55,4.2
51,1066,26.7,13:55:00,4.2
52,1086,26.6,13:55:05,4.3
53,1111,26.6,13:55:10,4.2
54,1131,30.5,13:55:15,6.6
55,1151,34.3,13:55:20,8.4
56,1171,32.7,13:55:25,8.4
57,1191,31.2,13:55:30,8.3
58,1211,32.8,13:55:35,8.5
59,1233,30.6,13:55:40,8.5
60,1256,31.8,13:55:45,8.5
61,1276,35.0,13:55:50,8.5
62,1296,28.8,13:55:55,6.9
63,1316,29.6,13:56:00,8.5
64,1336,31.6,13:56:05,8.3
65,1357,29.9,13:56:10,8.5
66,1376,30.7,13:56:15,8.4
67,1396,35.6,13:56:20,8.4
68,1421,34.4,13:56:25,8.5
69,1441,34.3,13:56:30,8.5
70,1461,32.1,13:56:35,6.8
71,1481,30.9,13:56:40,6.7
72,1501,31.9,13:56:45,8.4
