"Time","CPU","Memory"
2021-06-18T14:11:33.190,189757528,17965056
2021-06-18T14:11:34.490,319553699,32542720
2021-06-18T14:11:35.495,327599309,32673792
2021-06-18T14:11:36.500,332995622,32665600
2021-06-18T14:11:37.505,338544603,32706560
2021-06-18T14:11:38.510,343945964,32763904
2021-06-18T14:11:39.515,349349345,32800768
2021-06-18T14:11:40.519,354745914,32804864
2021-06-18T14:11:41.538,359987047,32829440
2021-06-18T14:11:42.549,365580641,32829440
2021-06-18T14:11:43.554,370728490,32837632
2021-06-18T14:11:44.559,376371982,32837632
2021-06-18T14:11:45.564,381860332,32837632
2021-06-18T14:11:46.569,387373991,32833536
2021-06-18T14:11:47.574,393044250,32849920
2021-06-18T14:11:48.578,398314095,32833536
2021-06-18T14:11:49.583,403664082,32854016
2021-06-18T14:11:50.588,409020803,32854016
2021-06-18T14:11:51.593,414489411,32866304
2021-06-18T14:11:52.598,420080123,32849920
2021-06-18T14:11:53.603,425549548,32837632
2021-06-18T14:11:54.607,430875508,32849920
2021-06-18T14:11:55.612,436316861,32866304
2021-06-18T14:11:56.617,441671460,32845824
2021-06-18T14:11:57.622,447283149,32768000
2021-06-18T14:11:58.627,452635885,32784384
2021-06-18T14:11:59.631,457989696,32796672
2021-06-18T14:12:00.636,463354365,32821248
2021-06-18T14:12:01.641,468758925,32813056
2021-06-18T14:12:02.646,474345628,32837632
2021-06-18T14:12:03.650,479786011,32841728
2021-06-18T14:12:04.659,494463312,32854016
2021-06-18T14:12:05.697,509376748,32854016
2021-06-18T14:12:06.731,526486092,32870400
2021-06-18T14:12:07.762,540958942,32878592
2021-06-18T14:12:08.797,560346091,32870400
2021-06-18T14:12:09.822,575913982,32866304
2021-06-18T14:12:10.846,588726830,32866304
2021-06-18T14:12:11.878,605437558,32886784
2021-06-18T14:12:12.918,622468484,32903168
2021-06-18T14:12:13.946,639382603,32886784
2021-06-18T14:12:14.978,659681529,32886784
2021-06-18T14:12:16.009,678130689,32882688
2021-06-18T14:12:17.057,695151058,32894976
2021-06-18T14:12:18.081,710978501,32890880
2021-06-18T14:12:19.122,724602312,32874496
2021-06-18T14:12:20.130,740533194,32870400
2021-06-18T14:12:21.154,756769964,32874496
2021-06-18T14:12:22.174,772363941,32882688
2021-06-18T14:12:23.234,788600993,32800768
2021-06-18T14:12:24.273,802361775,32784384
2021-06-18T14:12:25.302,822051360,32788480
2021-06-18T14:12:26.333,836636856,32800768
2021-06-18T14:12:27.361,852395075,32817152
2021-06-18T14:12:28.406,870012326,32821248
2021-06-18T14:12:29.444,886064403,32821248
2021-06-18T14:12:30.465,903254906,32821248
2021-06-18T14:12:31.483,914706189,32825344
2021-06-18T14:12:32.503,928899134,32813056
2021-06-18T14:12:33.513,945317297,32817152
2021-06-18T14:12:34.530,959460676,32817152
2021-06-18T14:12:35.582,976404242,32808960
2021-06-18T14:12:36.641,993671973,32800768
2021-06-18T14:12:37.686,1011083256,32804864
2021-06-18T14:12:38.705,1029177519,32800768
2021-06-18T14:12:39.754,1041687210,32800768
2021-06-18T14:12:40.763,1054916473,32821248
2021-06-18T14:12:41.786,1070136440,32841728
2021-06-18T14:12:42.854,1086757848,32837632
