"Time","CPU","Memory"
2021-06-18T14:11:30.142,81713492,4001792
2021-06-18T14:11:31.147,127934993,8421376
2021-06-18T14:11:32.151,133242297,8327168
2021-06-18T14:11:33.156,138595999,8318976
2021-06-18T14:11:34.160,144083874,8323072
2021-06-18T14:11:35.165,149415944,8351744
2021-06-18T14:11:36.170,154697151,8339456
2021-06-18T14:11:37.175,160260180,8359936
2021-06-18T14:11:38.179,165600926,8376320
2021-06-18T14:11:39.184,170885424,8355840
2021-06-18T14:11:40.192,176386259,8364032
2021-06-18T14:11:41.197,181724096,8355840
2021-06-18T14:11:42.202,186833423,8355840
2021-06-18T14:11:43.207,192212414,8364032
2021-06-18T14:11:44.212,197522006,8364032
2021-06-18T14:11:45.217,202705250,8380416
2021-06-18T14:11:46.221,208170272,8396800
2021-06-18T14:11:47.226,213385983,8380416
2021-06-18T14:11:48.230,218640444,8368128
2021-06-18T14:11:49.235,224013094,8380416
2021-06-18T14:11:50.239,229597651,8400896
2021-06-18T14:11:51.244,234997999,8388608
2021-06-18T14:11:52.249,240312701,8396800
2021-06-18T14:11:53.254,245682956,8400896
2021-06-18T14:11:54.258,251055230,8396800
2021-06-18T14:11:55.263,256375953,8380416
2021-06-18T14:11:56.267,261617636,8380416
2021-06-18T14:11:57.272,267048846,8368128
2021-06-18T14:11:58.277,272364191,8384512
2021-06-18T14:11:59.282,277854560,8384512
2021-06-18T14:12:00.286,283279581,8400896
2021-06-18T14:12:01.291,288537465,8380416
2021-06-18T14:12:02.296,293828054,8368128
2021-06-18T14:12:03.301,299383930,8392704
2021-06-18T14:12:04.312,762290482,9097216
2021-06-18T14:12:05.327,1663974560,9089024
2021-06-18T14:12:06.343,2548330874,8966144
2021-06-18T14:12:07.358,3479029005,9015296
2021-06-18T14:12:08.374,4436505371,9035776
2021-06-18T14:12:09.393,5362855560,9162752
2021-06-18T14:12:10.409,6306953223,9166848
2021-06-18T14:12:11.426,7237072461,9035776
2021-06-18T14:12:12.445,8186646944,9023488
2021-06-18T14:12:13.462,9106506999,9142272
2021-06-18T14:12:14.473,10034002896,9129984
2021-06-18T14:12:15.488,10930242347,9138176
2021-06-18T14:12:16.499,11805147912,9072640
2021-06-18T14:12:17.523,12727678201,9129984
2021-06-18T14:12:18.538,13645684761,9150464
2021-06-18T14:12:19.545,14597284246,9072640
2021-06-18T14:12:20.551,15489443604,9101312
2021-06-18T14:12:21.564,16393671760,9236480
2021-06-18T14:12:22.574,17348625903,9052160
2021-06-18T14:12:23.593,18269461756,9023488
2021-06-18T14:12:24.611,19174834841,9134080
2021-06-18T14:12:25.624,20117644560,9080832
2021-06-18T14:12:26.644,21035190962,8998912
2021-06-18T14:12:27.666,21941110693,9003008
2021-06-18T14:12:28.687,22856862380,9003008
2021-06-18T14:12:29.706,23796831040,9003008
2021-06-18T14:12:30.726,24750706511,9105408
2021-06-18T14:12:31.757,25709133061,9097216
2021-06-18T14:12:32.783,26648570806,8998912
2021-06-18T14:12:33.791,27537923518,9195520
2021-06-18T14:12:34.805,28506919811,9031680
2021-06-18T14:12:35.817,29417351295,9150464
2021-06-18T14:12:36.827,30387390643,9109504
2021-06-18T14:12:37.837,31330096608,9105408
2021-06-18T14:12:38.850,32293217704,9076736
2021-06-18T14:12:39.870,33258204437,9121792
2021-06-18T14:12:40.875,34241910795,9105408
2021-06-18T14:12:41.887,35211867323,9048064
2021-06-18T14:12:42.903,36075129916,9019392
