"Time","CPU","Memory"
2021-06-22T08:56:17.957,99830830,4182016
2021-06-22T08:56:18.962,255429450,21151744
2021-06-22T08:56:19.968,261207958,21041152
2021-06-22T08:56:20.975,267089395,21094400
2021-06-22T08:56:21.980,272758835,21090304
2021-06-22T08:56:22.984,278533613,21086208
2021-06-22T08:56:23.989,284038031,21086208
2021-06-22T08:56:24.995,289673037,21078016
2021-06-22T08:56:26.002,295358373,21086208
2021-06-22T08:56:27.008,301361287,21094400
2021-06-22T08:56:28.013,306826825,21114880
2021-06-22T08:56:29.018,312553555,21131264
2021-06-22T08:56:30.022,317881252,21147648
2021-06-22T08:56:31.027,323490147,21090304
2021-06-22T08:56:32.044,329138902,21098496
2021-06-22T08:56:33.048,334716210,21102592
2021-06-22T08:56:34.053,340297962,21098496
2021-06-22T08:56:35.058,345838030,21102592
2021-06-22T08:56:36.063,351487639,21118976
2021-06-22T08:56:37.067,357150331,21102592
2021-06-22T08:56:38.072,362722496,21106688
2021-06-22T08:56:39.077,368302153,21135360
2021-06-22T08:56:40.082,373897262,21114880
2021-06-22T08:56:41.087,379575192,21123072
2021-06-22T08:56:42.092,385384096,21159936
2021-06-22T08:56:43.097,390998278,21159936
2021-06-22T08:56:44.102,396583836,21143552
2021-06-22T08:56:45.107,402322487,21127168
2021-06-22T08:56:46.112,441173915,21606400
2021-06-22T08:56:47.124,580641530,21889024
2021-06-22T08:56:48.136,678952610,21991424
2021-06-22T08:56:49.141,936088420,22429696
2021-06-22T08:56:50.148,1248343111,23064576
2021-06-22T08:56:51.156,1456997332,23183360
2021-06-22T08:56:52.162,1695604196,23269376
2021-06-22T08:56:53.166,1970579264,23494656
2021-06-22T08:56:54.171,2235627218,23891968
2021-06-22T08:56:55.176,2481835219,24260608
2021-06-22T08:56:56.181,2696968503,24530944
2021-06-22T08:56:57.186,2951488846,25182208
2021-06-22T08:56:58.196,3189888807,25628672
2021-06-22T08:56:59.204,3480592121,25858048
2021-06-22T08:57:00.209,3847949863,26329088
2021-06-22T08:57:01.220,4086696694,26619904
2021-06-22T08:57:02.226,4366087983,26914816
2021-06-22T08:57:03.231,4596675000,27602944
2021-06-22T08:57:04.245,4830277377,27918336
2021-06-22T08:57:05.250,5068143767,28143616
2021-06-22T08:57:06.255,5424759950,28639232
2021-06-22T08:57:07.260,5713292497,28930048
2021-06-22T08:57:08.265,5968433623,29077504
2021-06-22T08:57:09.270,6203778764,29122560
2021-06-22T08:57:10.276,6472721138,29405184
2021-06-22T08:57:11.280,6744358015,29519872
2021-06-22T08:57:12.286,7003925472,29790208
2021-06-22T08:57:13.292,7214282908,29761536
2021-06-22T08:57:14.297,7432392995,29995008
2021-06-22T08:57:15.302,7664019707,29921280
2021-06-22T08:57:16.308,7970669591,30212096
2021-06-22T08:57:17.313,8271520119,30150656
2021-06-22T08:57:18.320,8557218057,30240768
2021-06-22T08:57:19.326,8897038462,30232576
2021-06-22T08:57:20.331,9260688270,30310400
2021-06-22T08:57:21.336,9569190071,30613504
2021-06-22T08:57:22.341,9829537431,30683136
2021-06-22T08:57:23.346,10111961149,31055872
2021-06-22T08:57:24.350,10360873684,31023104
2021-06-22T08:57:25.355,10579316426,31031296
2021-06-22T08:57:26.360,10913560844,31113216
2021-06-22T08:57:27.365,11162807787,31301632
2021-06-22T08:57:28.370,11391883618,31449088
2021-06-22T08:57:29.375,11718741120,31625216
2021-06-22T08:57:30.379,11932734340,31576064
2021-06-22T08:57:31.384,12152100344,31674368
2021-06-22T08:57:32.389,12437361827,31752192
2021-06-22T08:57:33.409,12711412679,32104448
2021-06-22T08:57:34.415,12935966602,32288768
