"Time","CPU","Memory"
2021-06-22T09:23:49.111,382921391,39936000
2021-06-22T09:23:50.193,399552926,40275968
2021-06-22T09:23:51.198,405827352,40189952
2021-06-22T09:23:52.203,412148536,40226816
2021-06-22T09:23:53.209,418363066,40226816
2021-06-22T09:23:54.214,424719165,40218624
2021-06-22T09:23:55.219,430860564,40226816
2021-06-22T09:23:56.224,437016783,40239104
2021-06-22T09:23:57.229,443215934,40239104
2021-06-22T09:23:58.236,449481286,40230912
2021-06-22T09:23:59.242,455665307,40218624
2021-06-22T09:24:00.247,461809590,40226816
2021-06-22T09:24:01.253,468058458,40230912
2021-06-22T09:24:02.259,474370746,40235008
2021-06-22T09:24:03.264,480596163,40251392
2021-06-22T09:24:04.269,486898960,40259584
2021-06-22T09:24:05.274,493347497,40255488
2021-06-22T09:24:06.279,499462676,40292352
2021-06-22T09:24:07.284,505507906,40284160
2021-06-22T09:24:08.289,511706374,40275968
2021-06-22T09:24:09.295,517785418,40259584
2021-06-22T09:24:10.300,524129380,40267776
2021-06-22T09:24:11.305,530480872,40296448
2021-06-22T09:24:12.310,536722035,40304640
2021-06-22T09:24:13.315,543219435,40304640
2021-06-22T09:24:14.320,549257742,40316928
2021-06-22T09:24:15.326,555595240,40255488
2021-06-22T09:24:16.331,561838282,40275968
2021-06-22T09:24:17.336,579201895,40914944
2021-06-22T09:24:18.341,589997984,40800256
2021-06-22T09:24:19.347,602040827,40804352
2021-06-22T09:24:20.353,618778102,40845312
2021-06-22T09:24:21.358,632198751,40853504
2021-06-22T09:24:22.363,650224837,40828928
2021-06-22T09:24:23.369,669597270,40828928
2021-06-22T09:24:24.375,688074558,40861696
2021-06-22T09:24:25.382,708567538,40861696
2021-06-22T09:24:26.388,725440469,40861696
2021-06-22T09:24:27.394,741584454,40882176
2021-06-22T09:24:28.400,761322423,40886272
2021-06-22T09:24:29.406,778384008,40890368
2021-06-22T09:24:30.413,796186197,40902656
2021-06-22T09:24:31.420,814205127,40923136
2021-06-22T09:24:32.426,833729015,40910848
2021-06-22T09:24:33.432,850126434,40910848
2021-06-22T09:24:34.438,868110780,40923136
2021-06-22T09:24:35.443,886766774,40927232
2021-06-22T09:24:36.449,905021556,40927232
2021-06-22T09:24:37.455,924699155,40923136
2021-06-22T09:24:38.460,944206747,40943616
2021-06-22T09:24:39.466,961750781,40964096
2021-06-22T09:24:40.472,980931332,40931328
2021-06-22T09:24:41.479,1001727059,40931328
2021-06-22T09:24:42.485,1019891517,40931328
2021-06-22T09:24:43.491,1038695798,40927232
2021-06-22T09:24:44.498,1057137565,40951808
2021-06-22T09:24:45.504,1075854227,40931328
2021-06-22T09:24:46.509,1095017021,40931328
2021-06-22T09:24:47.515,1116019364,40931328
2021-06-22T09:24:48.521,1136408106,40931328
2021-06-22T09:24:49.527,1154218109,40947712
2021-06-22T09:24:50.533,1172242467,40947712
2021-06-22T09:24:51.539,1191736718,40947712
2021-06-22T09:24:52.546,1212386026,40947712
2021-06-22T09:24:53.553,1230608859,40947712
2021-06-22T09:24:54.558,1250640099,40951808
2021-06-22T09:24:55.564,1268591323,40960000
2021-06-22T09:24:56.570,1290759642,40939520
2021-06-22T09:24:57.576,1310284736,40960000
2021-06-22T09:24:58.582,1331256510,40960000
2021-06-22T09:24:59.588,1349198972,40960000
2021-06-22T09:25:00.594,1371658537,40955904
2021-06-22T09:25:01.600,1393248623,40976384
2021-06-22T09:25:02.606,1410092176,40980480
2021-06-22T09:25:03.612,1416084549,40955904
2021-06-22T09:25:04.627,1422158196,40960000
2021-06-22T09:25:05.635,1428428501,40943616
