"Time","CPU","Memory"
2021-06-22T10:33:32.109,158091139,17932288
2021-06-22T10:33:33.130,1185482978,22028288
2021-06-22T10:33:34.136,2409170605,43970560
2021-06-22T10:33:35.141,2945458043,60661760
2021-06-22T10:33:36.146,2951062417,60710912
2021-06-22T10:33:37.151,2956792176,60760064
2021-06-22T10:33:38.196,2963048138,60792832
2021-06-22T10:33:39.200,2969089580,60805120
2021-06-22T10:33:40.205,2975068814,60837888
2021-06-22T10:33:41.210,2981079522,60809216
2021-06-22T10:33:42.215,2986946833,60796928
2021-06-22T10:33:43.219,2992574707,60821504
2021-06-22T10:33:44.224,2998501163,60841984
2021-06-22T10:33:45.229,3004518196,60850176
2021-06-22T10:33:46.234,3010399844,60821504
2021-06-22T10:33:47.239,3016674018,60833792
2021-06-22T10:33:48.244,3022577555,60833792
2021-06-22T10:33:49.248,3028516897,60850176
2021-06-22T10:33:50.253,3034614320,60850176
2021-06-22T10:33:51.258,3040141081,60854272
2021-06-22T10:33:52.263,3045921667,60874752
2021-06-22T10:33:53.267,3051795722,60866560
2021-06-22T10:33:54.272,3057611854,60874752
2021-06-22T10:33:55.277,3063730671,60874752
2021-06-22T10:33:56.281,3069636923,60858368
2021-06-22T10:33:57.286,3075453069,60870656
2021-06-22T10:33:58.291,3081576232,60989440
2021-06-22T10:33:59.296,3087132434,60870656
2021-06-22T10:34:00.301,3092951128,60882944
2021-06-22T10:34:01.306,3099003917,60866560
2021-06-22T10:34:02.310,3105629366,60887040
2021-06-22T10:34:03.315,3111317580,60891136
2021-06-22T10:34:04.320,3116980439,60891136
2021-06-22T10:34:05.325,3123018229,60891136
2021-06-22T10:34:06.330,3128647549,60891136
2021-06-22T10:34:07.334,3230219035,61923328
2021-06-22T10:34:08.339,3753422807,62255104
2021-06-22T10:34:09.344,4087709530,62607360
2021-06-22T10:34:10.350,5101102839,62980096
2021-06-22T10:34:11.355,5750673554,63299584
2021-06-22T10:34:12.362,6770220101,63586304
2021-06-22T10:34:13.368,7796183479,64032768
2021-06-22T10:34:14.375,8819763461,64401408
2021-06-22T10:34:15.380,9833628249,64716800
2021-06-22T10:34:16.386,10831201220,65482752
2021-06-22T10:34:17.392,11849869047,65855488
2021-06-22T10:34:18.397,12858841724,66400256
2021-06-22T10:34:19.403,13885077544,66945024
2021-06-22T10:34:20.409,14906342541,67543040
2021-06-22T10:34:21.416,15923480621,67719168
2021-06-22T10:34:22.421,16947681162,68358144
2021-06-22T10:34:23.428,17972994751,68739072
2021-06-22T10:34:24.433,18998815289,68960256
2021-06-22T10:34:25.439,20027755951,69705728
2021-06-22T10:34:26.445,21045102960,69951488
2021-06-22T10:34:27.450,22073729263,70324224
2021-06-22T10:34:28.456,23065984236,70557696
2021-06-22T10:34:29.461,24087238363,71065600
2021-06-22T10:34:30.470,25103391070,71405568
2021-06-22T10:34:31.477,26123065383,71737344
2021-06-22T10:34:32.482,27135088779,72142848
2021-06-22T10:34:33.488,28165185005,72560640
2021-06-22T10:34:34.493,29181104072,72605696
2021-06-22T10:34:35.499,30203787984,73043968
2021-06-22T10:34:36.505,31228470660,73289728
2021-06-22T10:34:37.510,32250516761,73437184
2021-06-22T10:34:38.516,33240500248,73695232
2021-06-22T10:34:39.528,34257352898,73998336
2021-06-22T10:34:40.534,35282690175,74145792
2021-06-22T10:34:41.539,36312083426,74608640
2021-06-22T10:34:42.544,37328219154,74788864
2021-06-22T10:34:43.550,38343895665,75223040
2021-06-22T10:34:44.556,39368640108,75530240
2021-06-22T10:34:45.561,40394075813,75665408
2021-06-22T10:34:46.567,41407980787,76251136
2021-06-22T10:34:47.572,42433540037,76677120
2021-06-22T10:34:48.578,43450845717,76877824
2021-06-22T10:34:49.583,44475053461,77041664
2021-06-22T10:34:50.588,45484192854,77406208
2021-06-22T10:34:51.593,46497563550,77373440
2021-06-22T10:34:52.600,47502666435,77860864
2021-06-22T10:34:53.609,48521575098,78057472
2021-06-22T10:34:54.614,49530327452,78360576
2021-06-22T10:34:55.622,50544138861,78778368
2021-06-22T10:34:56.627,51572790553,79052800
2021-06-22T10:34:57.633,52595342759,79056896
2021-06-22T10:34:58.639,53610585093,79278080
2021-06-22T10:34:59.645,54639131266,79568896
2021-06-22T10:35:00.655,55655272971,79777792
2021-06-22T10:35:01.661,56679733522,80084992
2021-06-22T10:35:02.667,57698706227,80252928
2021-06-22T10:35:03.673,58727781083,80510976
2021-06-22T10:35:04.684,59752578445,80846848
2021-06-22T10:35:05.719,60804001891,81235968
2021-06-22T10:35:06.726,61824880123,81276928
2021-06-22T10:35:07.731,62846222777,81354752
2021-06-22T10:35:08.737,63861199313,81416192
2021-06-22T10:35:09.742,64876892317,81514496
2021-06-22T10:35:10.754,65891631280,81682432
2021-06-22T10:35:11.759,66912505749,81858560
2021-06-22T10:35:12.765,67934095977,82165760
2021-06-22T10:35:13.770,68951349466,82345984
2021-06-22T10:35:14.775,69978855923,82546688
2021-06-22T10:35:15.787,70998009661,82530304
2021-06-22T10:35:16.792,72015254703,82542592
2021-06-22T10:35:17.798,73027630848,82616320
2021-06-22T10:35:18.804,74043355891,82694144
2021-06-22T10:35:19.810,75058384482,82931712
2021-06-22T10:35:20.821,76078154396,82841600
2021-06-22T10:35:21.827,77093835283,82931712
2021-06-22T10:35:22.832,78112393681,82849792
2021-06-22T10:35:23.838,79128346907,83066880
2021-06-22T10:35:24.843,80147537860,83144704
2021-06-22T10:35:25.871,81181960887,83574784
2021-06-22T10:35:26.876,82199923142,83705856
2021-06-22T10:35:27.882,83213075805,83853312
