"Time","CPU","Memory"
2021-06-22T09:52:01.065,186544512,18051072
2021-06-22T09:52:02.166,303042540,30736384
2021-06-22T09:52:03.269,327076207,32763904
2021-06-22T09:52:04.273,332481757,32714752
2021-06-22T09:52:05.278,338015752,32714752
2021-06-22T09:52:06.283,343496006,32714752
2021-06-22T09:52:07.288,348909921,32735232
2021-06-22T09:52:08.297,354501564,32763904
2021-06-22T09:52:09.302,359631871,32776192
2021-06-22T09:52:10.308,365044744,32772096
2021-06-22T09:52:11.314,370432557,32796672
2021-06-22T09:52:12.319,375771611,32821248
2021-06-22T09:52:13.323,381241494,32817152
2021-06-22T09:52:14.328,386665548,32821248
2021-06-22T09:52:15.333,391906513,32817152
2021-06-22T09:52:16.338,397487062,32817152
2021-06-22T09:52:17.342,402700141,32833536
2021-06-22T09:52:18.347,407926531,32751616
2021-06-22T09:52:19.352,413359246,32751616
2021-06-22T09:52:20.356,418608345,32751616
2021-06-22T09:52:21.361,423977273,32751616
2021-06-22T09:52:22.366,429279662,32755712
2021-06-22T09:52:23.370,434564025,32755712
2021-06-22T09:52:24.375,439926771,32796672
2021-06-22T09:52:25.380,445414294,32817152
2021-06-22T09:52:26.385,450713804,32825344
2021-06-22T09:52:27.389,456038686,32833536
2021-06-22T09:52:28.394,461399566,32825344
2021-06-22T09:52:29.399,466855297,32833536
2021-06-22T09:52:30.404,472213678,32804864
2021-06-22T09:52:31.409,477612738,32804864
2021-06-22T09:52:32.413,482884444,32833536
2021-06-22T09:52:33.418,488115770,32845824
2021-06-22T09:52:34.423,493605264,32858112
2021-06-22T09:52:35.428,499326334,32845824
2021-06-22T09:52:36.433,504680863,32845824
2021-06-22T09:52:37.437,510165867,32862208
2021-06-22T09:52:38.442,515301523,32808960
