,users,values,time
0,4,2.0,13:56:17
1,10,11.428571428571429,13:56:22
2,10,12.3,13:56:27
3,10,14.4,13:56:32
4,10,14.1,13:56:37
5,10,13.5,13:56:42
6,10,13.7,13:56:47
7,10,13.5,13:56:52
8,10,13.2,13:56:57
9,10,12.8,13:57:02
10,10,12.7,13:57:07
11,10,13.1,13:57:12
12,10,14.0,13:57:17
13,10,13.3,13:57:22
14,10,12.7,13:57:27
15,10,12.0,13:57:32
16,10,12.8,13:57:37
17,10,13.1,13:57:42
18,10,12.3,13:57:47
19,10,11.8,13:57:52
20,10,11.9,13:57:57
21,10,13.0,13:58:02
22,10,12.8,13:58:07
23,10,12.9,13:58:12
24,10,13.9,13:58:17
25,10,12.6,13:58:22
26,10,12.2,13:58:27
27,10,12.7,13:58:32
28,10,12.9,13:58:37
29,10,12.6,13:58:42
30,10,12.6,13:58:47
31,10,12.5,13:58:52
32,10,12.8,13:58:57
33,10,13.2,13:59:02
34,10,12.7,13:59:07
35,10,12.8,13:59:12
36,10,13.6,13:59:17
37,10,13.4,13:59:22
38,10,13.1,13:59:27
39,10,13.3,13:59:32
40,10,13.1,13:59:37
41,10,13.2,13:59:42
42,10,13.3,13:59:47
43,10,12.4,13:59:52
44,10,12.4,13:59:57
45,10,12.3,14:00:02
46,10,12.8,14:00:07
47,10,12.4,14:00:12
48,10,13.0,14:00:17
49,10,13.7,14:00:22
50,10,13.0,14:00:27
51,10,12.1,14:00:32
52,10,12.3,14:00:37
53,10,12.3,14:00:42
54,10,13.0,14:00:47
55,10,13.6,14:00:52
56,10,13.1,14:00:57
57,10,13.2,14:01:02
58,10,12.7,14:01:07
59,10,12.6,14:01:12
60,10,13.3,14:01:17
61,10,12.6,14:01:22
62,10,12.7,14:01:27
63,10,12.3,14:01:32
64,10,12.7,14:01:37
65,10,12.7,14:01:42
66,10,12.9,14:01:47
67,10,13.8,14:01:52
68,10,13.4,14:01:57
69,10,13.1,14:02:02
70,10,13.3,14:02:07
71,10,13.3,14:02:12
72,10,12.8,14:02:17
73,10,12.6,14:02:22
74,10,12.3,14:02:27
75,10,13.1,14:02:32
76,10,13.6,14:02:37
77,10,13.3,14:02:42
78,10,13.6,14:02:47
79,10,13.5,14:02:52
80,10,13.4,14:02:57
81,10,13.2,14:03:02
82,10,12.8,14:03:07
83,10,13.0,14:03:12
84,10,13.2,14:03:17
85,10,12.8,14:03:22
86,10,12.8,14:03:27
87,10,13.3,14:03:32
88,10,13.0,14:03:37
89,10,12.4,14:03:42
90,10,11.8,14:03:47
91,10,10.6,14:03:52
92,10,11.4,14:03:57
93,10,11.9,14:04:02
94,10,12.1,14:04:07
95,10,12.1,14:04:12
96,10,13.2,14:04:17
97,10,13.5,14:04:22
98,10,13.6,14:04:27
99,10,13.8,14:04:32
100,10,12.6,14:04:37
101,10,12.3,14:04:42
102,10,13.0,14:04:47
103,10,12.8,14:04:52
104,10,12.9,14:04:57
105,10,12.7,14:05:02
106,10,13.2,14:05:07
107,10,13.1,14:05:12
108,10,12.8,14:05:17
109,10,12.7,14:05:22
110,10,13.1,14:05:27
111,10,13.2,14:05:32
112,10,12.8,14:05:37
113,10,12.7,14:05:42
114,10,13.1,14:05:47
115,10,14.0,14:05:52
116,10,13.4,14:05:57
117,10,12.2,14:06:02
118,10,12.4,14:06:07
119,10,12.4,14:06:12
120,10,12.9,14:06:17
121,10,13.0,14:06:22
122,10,12.8,14:06:27
123,10,12.3,14:06:32
124,10,12.7,14:06:37
125,10,13.5,14:06:42
126,10,12.9,14:06:47
127,10,11.8,14:06:52
128,10,12.4,14:06:57
129,10,12.5,14:07:02
130,10,13.2,14:07:07
131,10,12.9,14:07:12
132,10,12.2,14:07:17
133,10,12.6,14:07:22
134,10,13.2,14:07:27
135,10,13.1,14:07:32
136,10,12.6,14:07:37
137,10,12.7,14:07:42
138,10,13.0,14:07:47
139,10,13.1,14:07:52
140,10,13.2,14:07:57
141,10,13.2,14:08:02
142,10,12.6,14:08:07
143,10,12.4,14:08:12
144,10,13.2,14:08:17
145,10,12.8,14:08:22
146,10,12.9,14:08:27
147,10,12.4,14:08:32
148,10,13.1,14:08:37
149,10,13.3,14:08:42
150,10,11.6,14:08:47
151,10,12.3,14:08:52
152,10,12.2,14:08:57
153,10,13.1,14:09:02
154,10,13.2,14:09:07
155,10,12.8,14:09:12
156,10,12.6,14:09:17
157,10,12.9,14:09:22
158,10,12.2,14:09:27
