"Time","CPU","Memory"
2021-06-22T09:23:48.732,96107623,3956736
2021-06-22T09:23:49.738,257365648,20938752
2021-06-22T09:23:50.743,263001557,20828160
2021-06-22T09:23:51.747,268523161,20840448
2021-06-22T09:23:52.752,273981776,20848640
2021-06-22T09:23:53.757,279378257,20815872
2021-06-22T09:23:54.771,285002468,20836352
2021-06-22T09:23:55.776,290456886,20840448
2021-06-22T09:23:56.780,295937850,20865024
2021-06-22T09:23:57.785,301393654,20860928
2021-06-22T09:23:58.790,306808957,20852736
2021-06-22T09:23:59.795,312239898,20848640
2021-06-22T09:24:00.800,317769201,20848640
2021-06-22T09:24:01.805,323372027,20848640
2021-06-22T09:24:02.809,328832080,20869120
2021-06-22T09:24:03.814,334183396,20860928
2021-06-22T09:24:04.818,339585387,20852736
2021-06-22T09:24:05.823,345048717,20869120
2021-06-22T09:24:06.828,350404089,20881408
2021-06-22T09:24:07.832,355850370,20885504
2021-06-22T09:24:08.837,361233600,20901888
2021-06-22T09:24:09.842,366865930,20885504
2021-06-22T09:24:10.846,372225856,20893696
2021-06-22T09:24:11.851,377567929,20910080
2021-06-22T09:24:12.856,382952138,20897792
2021-06-22T09:24:13.861,388761018,20914176
2021-06-22T09:24:14.865,394187271,20930560
2021-06-22T09:24:15.870,399600035,20914176
2021-06-22T09:24:16.878,404985718,20910080
2021-06-22T09:24:17.883,467487977,21417984
2021-06-22T09:24:18.888,645727058,21536768
2021-06-22T09:24:19.892,773672037,21737472
2021-06-22T09:24:20.898,1042837010,22315008
2021-06-22T09:24:22.037,1259647838,22646784
2021-06-22T09:24:23.042,1512426842,22982656
2021-06-22T09:24:24.047,1759667296,23461888
2021-06-22T09:24:25.052,2091131758,23908352
2021-06-22T09:24:26.056,2321667645,24535040
2021-06-22T09:24:27.065,2596745451,24588288
2021-06-22T09:24:28.069,2825209704,24915968
2021-06-22T09:24:29.074,3075815382,25387008
2021-06-22T09:24:30.079,3313333034,25497600
2021-06-22T09:24:31.083,3633377918,25804800
2021-06-22T09:24:32.088,3926304836,25931776
2021-06-22T09:24:33.093,4191074344,26390528
2021-06-22T09:24:34.097,4447769590,26648576
2021-06-22T09:24:35.107,4686909246,26832896
2021-06-22T09:24:36.119,4863213126,27172864
2021-06-22T09:24:37.128,5098973165,27430912
2021-06-22T09:24:38.132,5417019402,27430912
2021-06-22T09:24:39.138,5616105439,27570176
2021-06-22T09:24:40.142,5904864658,27598848
2021-06-22T09:24:41.147,6224724438,27795456
2021-06-22T09:24:42.152,6479263252,27918336
2021-06-22T09:24:43.157,6752582166,28155904
2021-06-22T09:24:44.166,7024147527,28168192
2021-06-22T09:24:45.171,7266529361,28119040
2021-06-22T09:24:46.176,7474036441,28262400
2021-06-22T09:24:47.180,7700245707,28311552
2021-06-22T09:24:48.185,7960685575,28532736
2021-06-22T09:24:49.191,8220071013,28676096
2021-06-22T09:24:50.195,8452334300,28581888
2021-06-22T09:24:51.200,8749579401,28692480
2021-06-22T09:24:52.209,9063663374,28975104
2021-06-22T09:24:53.214,9304742835,29171712
2021-06-22T09:24:54.218,9569444126,29224960
2021-06-22T09:24:55.223,9754081535,29163520
2021-06-22T09:24:56.228,10002010669,29773824
2021-06-22T09:24:57.236,10251708164,29650944
2021-06-22T09:24:58.241,10505437512,30117888
2021-06-22T09:24:59.247,10705100331,30498816
2021-06-22T09:25:00.253,11027643150,30695424
2021-06-22T09:25:01.258,11321658092,30535680
2021-06-22T09:25:02.263,11596850327,30658560
2021-06-22T09:25:03.268,12470899589,30580736
2021-06-22T09:25:04.273,13479158034,30461952
2021-06-22T09:25:05.278,13640727657,30253056
