"Time","CPU","Memory"
2021-06-22T08:56:15.106,366223207,39710720
2021-06-22T08:56:16.115,387697652,40374272
2021-06-22T08:56:17.120,393924325,40280064
2021-06-22T08:56:18.125,400342386,40304640
2021-06-22T08:56:19.130,406398887,40325120
2021-06-22T08:56:20.136,412712249,40333312
2021-06-22T08:56:21.141,419159931,40345600
2021-06-22T08:56:22.146,425377759,40357888
2021-06-22T08:56:23.153,431688906,40382464
2021-06-22T08:56:24.269,438396781,40382464
2021-06-22T08:56:25.488,444961887,40382464
2021-06-22T08:56:26.493,451052572,40402944
2021-06-22T08:56:27.557,457519417,40402944
2021-06-22T08:56:28.562,463877262,40439808
2021-06-22T08:56:29.571,470048307,40419328
2021-06-22T08:56:30.576,476191861,40423424
2021-06-22T08:56:31.581,482566788,40423424
2021-06-22T08:56:32.586,488714857,40423424
2021-06-22T08:56:33.596,494918255,40419328
2021-06-22T08:56:34.698,501294135,40423424
2021-06-22T08:56:35.706,507807150,40423424
2021-06-22T08:56:36.713,514188461,40431616
2021-06-22T08:56:37.718,520353181,40452096
2021-06-22T08:56:38.737,526604883,40464384
2021-06-22T08:56:39.743,532753131,40361984
2021-06-22T08:56:40.748,539933392,40390656
2021-06-22T08:56:41.754,546378043,40402944
2021-06-22T08:56:42.759,552648310,40435712
2021-06-22T08:56:43.764,558961652,40435712
2021-06-22T08:56:44.769,565290638,40468480
2021-06-22T08:56:45.774,582434211,40992768
2021-06-22T08:56:46.827,594752241,40992768
2021-06-22T08:56:47.832,606883463,41005056
2021-06-22T08:56:48.838,625100959,41021440
2021-06-22T08:56:49.844,643198291,41037824
2021-06-22T08:56:50.850,661194882,41041920
2021-06-22T08:56:51.855,677956629,41058304
2021-06-22T08:56:52.866,697641164,41074688
2021-06-22T08:56:53.872,717372114,41074688
2021-06-22T08:56:54.886,735321202,41111552
2021-06-22T08:56:55.892,754909456,41111552
2021-06-22T08:56:56.898,775158936,41107456
2021-06-22T08:56:57.904,791842815,41127936
2021-06-22T08:56:58.910,809712395,41127936
2021-06-22T08:56:59.916,830256063,41127936
2021-06-22T08:57:00.924,850629622,41132032
2021-06-22T08:57:01.933,870513415,41144320
2021-06-22T08:57:02.940,888358545,41144320
2021-06-22T08:57:03.946,906591218,41168896
2021-06-22T08:57:04.951,926270387,41168896
2021-06-22T08:57:05.957,945909844,41168896
2021-06-22T08:57:06.963,965189159,41205760
2021-06-22T08:57:07.969,984601737,41205760
2021-06-22T08:57:08.975,1004212943,41205760
2021-06-22T08:57:09.981,1023951216,41168896
2021-06-22T08:57:10.986,1042944162,41181184
2021-06-22T08:57:11.995,1061074558,41172992
2021-06-22T08:57:13.001,1080969791,41172992
2021-06-22T08:57:14.007,1099845567,41177088
2021-06-22T08:57:15.013,1117914713,41197568
2021-06-22T08:57:16.019,1136109018,41172992
2021-06-22T08:57:17.026,1154689153,41193472
2021-06-22T08:57:18.033,1174378393,41177088
2021-06-22T08:57:19.038,1195120262,41172992
2021-06-22T08:57:20.044,1214796627,41160704
2021-06-22T08:57:21.050,1234462731,41172992
2021-06-22T08:57:22.062,1256054657,41177088
2021-06-22T08:57:23.068,1277011648,41172992
2021-06-22T08:57:24.074,1296822940,41205760
2021-06-22T08:57:25.080,1316873405,41189376
2021-06-22T08:57:26.086,1337748063,41189376
2021-06-22T08:57:27.093,1357298819,41193472
2021-06-22T08:57:28.098,1376855061,41189376
2021-06-22T08:57:29.105,1413687787,41209856
2021-06-22T08:57:30.111,1433172932,41209856
2021-06-22T08:57:31.116,1451558122,41209856
2021-06-22T08:57:32.125,1472551329,41209856
2021-06-22T08:57:33.131,1491838993,41226240
2021-06-22T08:57:34.137,1512882067,41205760
