"Time","CPU","Memory"
2021-06-22T09:24:00.558,1065993202,9146368
2021-06-22T09:24:01.563,2257407301,42242048
2021-06-22T09:24:02.569,2934896342,42168320
2021-06-22T09:24:03.574,2940920984,42184704
2021-06-22T09:24:04.579,2946752409,42192896
2021-06-22T09:24:05.583,2952663339,42205184
2021-06-22T09:24:06.588,2958933766,42213376
2021-06-22T09:24:07.593,2964976630,42196992
2021-06-22T09:24:08.598,2970943572,42209280
2021-06-22T09:24:09.603,2976848905,42209280
2021-06-22T09:24:10.608,2982880676,42213376
2021-06-22T09:24:11.613,2988763236,42246144
2021-06-22T09:24:12.618,2994709822,42258432
2021-06-22T09:24:13.625,3000966542,42270720
2021-06-22T09:24:14.630,3007331400,42295296
2021-06-22T09:24:15.635,3013038810,42311680
2021-06-22T09:24:16.639,3019095848,42291200
2021-06-22T09:24:17.644,3082603734,43057152
2021-06-22T09:24:18.649,3672091814,43446272
2021-06-22T09:24:19.655,4147349538,43712512
2021-06-22T09:24:20.660,5163705813,44052480
2021-06-22T09:24:21.666,5900707384,44621824
2021-06-22T09:24:22.673,6922551066,45256704
2021-06-22T09:24:23.678,7941651713,45551616
2021-06-22T09:24:24.686,8961511751,45998080
2021-06-22T09:24:25.691,9978180166,46440448
2021-06-22T09:24:26.697,10996478741,46841856
2021-06-22T09:24:27.714,12013398509,47173632
2021-06-22T09:24:28.723,13042507510,47661056
2021-06-22T09:24:29.728,14071395038,48128000
2021-06-22T09:24:30.734,15091338772,48513024
2021-06-22T09:24:31.739,16110689252,48857088
2021-06-22T09:24:32.745,17129572777,49217536
2021-06-22T09:24:33.751,18160720995,49852416
2021-06-22T09:24:34.757,19178515042,49995776
2021-06-22T09:24:35.762,20209145152,50511872
2021-06-22T09:24:36.768,21228585014,50712576
2021-06-22T09:24:37.774,22245104793,50954240
2021-06-22T09:24:38.780,23271546947,51142656
2021-06-22T09:24:39.786,24294942036,51568640
2021-06-22T09:24:40.805,25300437409,51908608
2021-06-22T09:24:41.811,26316154783,51904512
2021-06-22T09:24:42.818,27339533940,52432896
2021-06-22T09:24:43.824,28361255048,52617216
2021-06-22T09:24:44.830,29375420793,52559872
2021-06-22T09:24:45.835,30398498971,53014528
2021-06-22T09:24:46.841,31414829543,53059584
2021-06-22T09:24:47.846,32417389215,53198848
2021-06-22T09:24:48.852,33445035990,53571584
2021-06-22T09:24:49.858,34456385630,53690368
2021-06-22T09:24:50.864,35478801818,54161408
2021-06-22T09:24:51.870,36492967615,54460416
2021-06-22T09:24:52.875,37506791245,54939648
2021-06-22T09:24:53.881,38527572764,55099392
2021-06-22T09:24:54.887,39554814166,55431168
2021-06-22T09:24:55.901,40593934444,55762944
2021-06-22T09:24:56.907,41597643628,56102912
2021-06-22T09:24:57.913,42624220416,56631296
2021-06-22T09:24:58.919,43634512858,57163776
2021-06-22T09:24:59.924,44655020769,57683968
2021-06-22T09:25:00.938,45686592958,57839616
2021-06-22T09:25:01.944,46687846880,58064896
2021-06-22T09:25:02.949,47714592240,58413056
2021-06-22T09:25:03.956,48737694118,58712064
2021-06-22T09:25:04.961,49752081507,58531840
2021-06-22T09:25:06.054,50850547680,58388480
