"Time","CPU","Memory"
2021-06-22T10:16:01.598,100566036,4120576
2021-06-22T10:16:02.604,265269422,21073920
2021-06-22T10:16:03.609,270820741,20983808
2021-06-22T10:16:04.614,276658116,21000192
2021-06-22T10:16:05.619,282339908,20975616
2021-06-22T10:16:06.624,288041998,20975616
2021-06-22T10:16:07.629,293644862,20971520
2021-06-22T10:16:08.634,299548705,20992000
2021-06-22T10:16:09.639,305238963,20979712
2021-06-22T10:16:10.644,310749430,20967424
2021-06-22T10:16:11.648,316281764,20992000
2021-06-22T10:16:12.691,322306793,20983808
2021-06-22T10:16:13.697,327953625,20897792
2021-06-22T10:16:14.701,333845195,20918272
2021-06-22T10:16:15.706,339404061,20893696
2021-06-22T10:16:16.759,345516847,20897792
2021-06-22T10:16:17.764,351058936,20930560
2021-06-22T10:16:18.769,356697038,20926464
2021-06-22T10:16:19.774,362231570,20893696
2021-06-22T10:16:20.779,367910054,20914176
2021-06-22T10:16:21.784,373731908,20914176
2021-06-22T10:16:22.789,379658455,20934656
2021-06-22T10:16:23.794,385272456,20975616
2021-06-22T10:16:24.799,390838323,21016576
2021-06-22T10:16:25.804,396591841,21024768
2021-06-22T10:16:26.809,402415934,20992000
2021-06-22T10:16:27.814,408343826,20992000
2021-06-22T10:16:28.819,413993777,20987904
2021-06-22T10:16:29.824,419631281,20987904
2021-06-22T10:16:30.829,425558125,20992000
2021-06-22T10:16:31.834,431262674,20992000
2021-06-22T10:16:32.839,438884716,21286912
2021-06-22T10:16:33.844,444500725,21250048
2021-06-22T10:16:34.850,450249222,21270528
2021-06-22T10:16:35.855,455780802,21258240
2021-06-22T10:16:36.859,461437305,21225472
2021-06-22T10:16:37.864,467062091,21225472
2021-06-22T10:16:38.869,472741069,21245952
2021-06-22T10:16:39.874,478298913,21254144
2021-06-22T10:16:40.879,484059365,21225472
2021-06-22T10:16:41.884,489718324,21250048
2021-06-22T10:16:42.890,496627656,21200896
2021-06-22T10:16:43.895,502356547,21196800
2021-06-22T10:16:44.900,508457589,21196800
2021-06-22T10:16:45.905,514062440,21184512
2021-06-22T10:16:46.910,588574787,21487616
2021-06-22T10:16:47.915,701427249,21639168
2021-06-22T10:16:48.920,883415435,22155264
2021-06-22T10:16:49.925,1117201200,22622208
2021-06-22T10:16:50.932,1416446362,22982656
2021-06-22T10:16:51.937,1643546701,23257088
2021-06-22T10:16:52.942,1860398186,23502848
2021-06-22T10:16:53.947,2111954974,24027136
2021-06-22T10:16:54.953,2446909606,24506368
2021-06-22T10:16:55.958,2753804103,24993792
2021-06-22T10:16:56.963,3054378282,25464832
2021-06-22T10:16:57.968,3302059971,25919488
2021-06-22T10:16:58.973,3507924288,26144768
2021-06-22T10:16:59.977,3818356705,26554368
2021-06-22T10:17:00.982,4091814310,26972160
2021-06-22T10:17:01.987,4331189434,27271168
2021-06-22T10:17:02.992,4654882970,27598848
2021-06-22T10:17:03.997,5000108625,27951104
2021-06-22T10:17:05.002,5349719305,28536832
2021-06-22T10:17:06.008,5610563949,28762112
2021-06-22T10:17:07.014,5917712104,29458432
2021-06-22T10:17:08.019,6248420471,29802496
2021-06-22T10:17:09.024,6477049700,30023680
2021-06-22T10:17:10.029,6701744351,29958144
2021-06-22T10:17:11.034,6970856410,30281728
2021-06-22T10:17:12.039,7188993800,30531584
2021-06-22T10:17:13.046,7558142349,30883840
2021-06-22T10:17:14.051,7855793977,31059968
2021-06-22T10:17:15.057,8423943452,31043584
2021-06-22T10:17:16.063,9050691661,30994432
2021-06-22T10:17:17.068,10063655465,30826496
2021-06-22T10:17:18.074,10588007357,30494720
2021-06-22T10:17:19.079,10594094541,30314496
2021-06-22T10:17:20.084,10600858835,30052352
2021-06-22T10:17:21.089,10615918163,29962240
2021-06-22T10:17:22.094,10940123315,29802496
2021-06-22T10:17:23.099,11245008867,29966336
2021-06-22T10:17:24.104,11469232470,29974528
2021-06-22T10:17:25.109,11761503640,30027776
2021-06-22T10:17:26.115,12038584126,30044160
2021-06-22T10:17:27.120,12300241957,29843456
2021-06-22T10:17:28.127,12611093579,29765632
2021-06-22T10:17:29.132,12910934583,29937664
2021-06-22T10:17:30.137,13235220171,29986816
